CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006
Lợi nhuận gộp###Gross profit	193238	191470	1075412	295093	275673	254397	250153	1122088	297164	313792	278946	237271	1125654	305475	298393	269787	263849	940986	306659	257224	239239	216195	1129254	273256	292359	301000	258257	1148612	269607	320100	287491	261396	1096035	259941	297000	292881	263418	984072	304874	284675	206540	187976	960955	228207	282797	294033	161644	400578	187691	121322	49905	42707	143965	46242	38240	33448	26664	80499	23177	16775	20286	20262	77530	27895	16496	39135	77199
Doanh thu hoạt động tài chính###Financial activities Revenues	341	60	5403	351	1545	2159	1347	5643	1736	805	1598	1503	8569	1128	2005	3118	2319	397762	3142	3445	26372	273390	10647	2676	2673	-1169	6639	17364	2980	4587	5570	4227	34790	9393	6331	10546	5665	40301	6882	7449	15999	11426	48871	19117	15178	10978	6451	186098	8014	159642	10601	1886	35139	16233	2339	8535	9185	62110	22399	16282	13990	9439	20649	11734	4339	4549	3858
Chi phí tài chính###Financial Expenses	4207	3207	3725	2833	279	256	357	4314	456	965	72	2820	16771	4148	4521	3634	4467	71532	4456	5321	30922	32423	28148	7211	7329	6271	7348	33445	6832	7443	9124	9795	80968	10609	13363	38473	18295	145368	45808	32309	36612	32600	134321	47371	35100	39719	16814	48171	23796	14391	4359	4209	18497	6764	3275	4393	3169	16871	3953	4774	5587	299	672	246	319	42	66
Chi phí bán hàng###Selling Expenses	164854	203218	911863	245766	235413	208869	221718	910579	230557	259997	218252	201755	900876	243158	242674	205794	221099	766610	247149	209876	177520	172989	718380	184370	177704	178258	172154	672513	167879	182395	161487	164727	623197	144503	171540	146730	158215	508966	132348	160318	110511	103027	374118	121237	112676	76214	67886	177895	69785	51573	36176	24658	101567	32702	24748	21820	22283	68517	18573	14082	16916	18947	72990	24797	16055	38603	57183
Chi phí quản lý doanh nghiệp###Managing Expenses	19336	9243	74870	28895	15186	21627	9237	79407	29353	15588	24472	9993	79551	28583	16200	24742	10026	80073	34104	9603	25969	28713	173243	53487	32599	55689	33483	207377	58329	41031	57546	47771	169093	73157	40774	44764	20919	133529	49361	34733	36261	16117	120896	47402	24830	34871	14108	62071	39192	12509	2964	3479	12381	4667	3533	2796	3291	11247	4263	1810	2309	2865	10934	6115	1304	3380	14991
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	5182	-24138	90358	17951	26340	25804	20187	133431	38534	38047	37747	24206	137026	30713	37002	38734	30576	420533	24092	35868	31201	255459	220130	30864	77401	59613	51911	252640	39547	93817	64904	43331	257567	41065	77653	73460	71654	236682	84238	64764	39156	47658	380492	31313	125369	154206	69286	298539	62932	202491	17007	12248	46660	18342	9022	12975	7106	45973	18788	12389	9464	7590	13584	8471	3157	1658	8817
Thu nhập khác###Other incomes	34	690	3564	897	1152	983	611	24125	5919	1748	106	127	2088	843	49	798	398	5503	2315	1962	465	3212	10832	7915	2371	2543	1742	9350	3107	1539	9341	1831	25020	7847	1421	5547	5659	44752	9709	6156	16804	12938	34224	6711	17269	4433	4612	16838	12723	11340	613	31	10678	958	165	9659	435	1446	143	522	323	457	0	723	31	5192	12
Chi phí khác###Other Expenses	30	156	736	316	490	-237	247	20255	4907	1204	3	0	895	323	-1452	2006	18	3462	1370	661	1646	970	4030	1499	3677	582	511	15385	4559	996	9302	402	4475	992	890	360	535	26369	2988	3836	10027	10289	21486	4443	15980	1187	1274	3312	2228	737	317	30	13946	972	21	13328	165	14753	14596	91	65	1	0	17	0	0	0
Lợi nhuận khác###Other profits	4	534	2828	581	662	1221	364	3870	1012	543	103	127	1193	520	1500	-1208	380	2041	945	1301	-1181	2242	6802	6417	-1306	1960	1231	-6034	-1452	543	39	1429	20544	6855	530	5187	5124	18383	6721	2320	6777	2650	12738	2268	1289	3245	3339	13526	10495	10603	296	1	-3268	-15	145	-3668	270	-13308	-14453	431	258	456	5830	706	31	0	12
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	5186	-23604	93186	18531	27003	27025	20550	137302	39546	38590	37850	24333	138218	31233	38503	37527	30956	422573	25037	37169	30021	257701	226931	37281	76095	61574	53142	246606	38095	94360	64942	44760	278111	47921	78184	77862	76778	255065	90959	67084	44444	50308	393230	33581	359914	157451	72625	312065	73468	213101	17303	12249	43392	18328	9167	9306	7376	32666	4335	12820	9722	8047	19413	9178	3188	6851	8829
Chi phí thuế TNDN###Corporate Income Tax Expenses	1735	0	18934	3777	5505	5472	4215	27663	7413	7754	7388	4869	28471	6453	7847	7938	6234	80871	5114	7457	6916	66348	62336	19689	19080	13962	9628	55150	25161	21023	3136	4906	40431	6196	10527	0	0	43275	0	0	0	6279	50375	6371	17188	18514	7866	37356	1424	36314	-828	1332	3418	1577	1604	1715	543	2575	-2114	3033	930	1090	1947	1891	0	0	2472
Chi phí thuế TNDN###Corporate Income Tax Expenses	1735	0	18756	3777	5505	5472	4215	27778	5002	8468	9085	4869	28830	6453	7847	8296	6234	82869	5114	7457	6916	66348	60304	18344	19080	14566	9628	67507	28245	21023	13464	4512	42509	6590	10527	14841	10591	46695	20239	7624	7954	6279	50375	6371	17188	18293	7866	37316	1464	36340	1337	1332	3418	1577	1604	754	543	2575	-2114	3033	930	1091	1947	1892	0	0	2472
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	178	0	0	0	0	-114	2411	-714	-1697	0	-358	0	0	-358	0	-1998	0	0	0	0	2032	1344	0	-604	0	-12357	-3084	0	-10329	394	-2079	-394	0	0	0	-3420	0	0	0	0	0	0	0	0	0	40	-40	-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	3451	-23604	74251	14754	21498	21553	16335	109638	32133	30836	30463	19464	109747	24780	30656	29589	24722	341702	19923	29712	23105	191353	217786	17592	57016	47612	43514	242654	12933	73338	61807	39854	237681	41724	67657	64706	66186	211790	70720	59460	36490	44029	342855	27210	109470	139158	64759	274709	72044	176786	15966	10917	39974	16751	7562	8553	6833	30091	6448	9787	8792	6956	17467	7286	3188	6851	6357
---Cac Chi So Tai Chinh---																																																																			
EBITDA	0.41	0.07	0.92	0.92	0.81	0.48	0.20	0.16	0.16	0.07	0.10	0.13	0.31	0.31	0.35	0.28	0.81	1.23	1.23	1.42	1.37	1.26	1.10	1.10	1.20	1.29	1.52	1.47	1.47	1.40	1.40	1.06	1.20	1.20	1.09	1.17	1.26	1.26	1.26	1.37	1.35	1.28	1.42	1.42	1.46	1.23	1.16	1.08	1.08	0.83	1.22	1.29	1.23	1.23	1.12	1.04	0.95	1.12	1.12	1.27	1.36	1.37	2.38	2.38	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	13.47	14.41	26.75	26.75	29.20	31.09	32.30	28.03	28.03	27.74	28.37	27.98	21.86	21.86	19.52	15.08	14.13	12.77	12.77	12.79	12.87	12.94	11.85	11.85	12.28	13.95	12.15	12.35	12.35	16.53	14.28	16.09	12.32	12.32	10.19	7.98	7.39	6.94	6.94	6.90	8.60	8.23	7.22	7.22	8.36	6.09	7.02	8.98	8.98	8.24	6.20	4.85	4.77	4.77	6.36	3.76	2.01	2.06	2.06	2.55	2.15	3.10	9.37	9.37	0.00	0.00	0.00
