CAN DOI KE TOAN	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	 2009	Q4 2009	 2008	Q4 2008	 2007
Chi phí bán hàng###Selling Expenses	140	11749	274	41	5790	186	9482	201	148	3015	214	9339	185	240	4096	384	9841	337	438	4058	398	10389	244	410	2397	439	5619	727	482	2204	25	3949	0	0	587	0	0	0	0	0	0	0	0	0	0	0	2784	0
Chi phí quản lý doanh nghiệp###Managing Expenses	6250	30444	10292	10461	5365	6940	23702	9179	7589	5507	3815	22721	7511	6317	4609	6059	26396	7602	7428	5310	8259	24108	7127	6820	5049	6602	25692	9290	7073	5287	6012	23022	8894	5743	5954	7193	23419	6275	6264	5637	5112	19238	5553	5114	3979	16176	16742	10233
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-279	8956	5683	681	3773	522	8699	5768	2847	-180	264	4650	3758	577	-673	730	-12798	-1814	-1819	-2672	-6515	-6118	1351	-1871	-2157	-3256	4566	-779	-452	6328	-123	-2030	-2759	826	384	-334	6704	2587	1840	2000	830	8060	2799	1019	1118	7609	40227	6427
Thu nhập khác###Other incomes	348	477	220	185	17	55	450	19	8	417	6	139	36	81	5	16	728	15	74	285	355	8959	2760	5042	538	619	3596	684	1747	590	576	3283	995	919	785	603	3851	1139	1159	602	540	2517	389	1112	612	2000	1648	1772
Chi phí khác###Other Expenses	0	3	0	1	2	0	151	144	0	0	7	39	1	20	18	0	42	34	0	0	8	2812	578	2231	3	0	846	54	257	327	209	28	6	6	3	13	110	0	3	105	2	367	25	314	25	313	42	59
Lợi nhuận khác###Other profits	348	475	220	184	15	55	299	-125	8	417	-1	100	35	62	-12	16	686	-19	74	285	347	6147	2182	2810	535	619	2750	629	1490	263	367	3255	989	913	782	590	3742	1139	1155	498	538	2150	363	798	586	1687	1606	1713
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	70	9431	5903	865	3788	578	8998	5643	2855	237	263	4751	3792	638	-685	746	-12112	-1834	-1745	-2387	-6168	28	3533	940	-1622	-2637	7316	-149	1039	6591	245	1224	-1770	1739	1166	256	10446	3726	6861	2498	1368	10209	3162	1817	1704	9296	41833	8140
Chi phí thuế TNDN###Corporate Income Tax Expenses	14	1882	1186	173	423	116	315	315	0	0	0	0	0	0	0	0	0	0	0	0	0	4	49	0	0	0	1851	0	56	0	0	295	0	0	0	64	2620	932	749	624	342	2520	791	454	426	1549	12124	1144
Chi phí thuế TNDN###Corporate Income Tax Expenses	14	1882	1186	173	423	116	315	315	0	0	0	0	0	0	0	0	0	0	0	0	0	4	49	0	0	0	1851	0	56	1851	0	295	0	435	347	0	2620	932	0	624	342	2520	791	454	426	1549	12124	1144
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-61	61	0	0	0	-64	64	0	0	749	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	56	7549	4716	692	3365	462	8682	5328	2855	237	263	4751	3792	638	-685	746	-12112	-1834	-1745	-2387	-6168	25	3484	940	-1622	-2637	5465	-149	983	4801	183	929	-1770	1304	883	192	7826	2795	2247	1873	1026	7689	2372	1363	1278	7747	29709	6996
---Cac Chi So Tai Chinh---																																																
EBITDA	-0.02	-0.03	-0.03	-0.08	-0.25	0.04	0.06	0.06	0.36	-0.10	-0.36	-0.30	-0.30	-0.37	0.35	0.48	0.44	0.44	0.35	0.00	-0.09	-0.42	-0.42	-0.33	-0.41	-0.73	0.59	0.59	0.02	-0.37	-0.48	-0.33	-0.33	-0.32	-0.04	0.01	-0.52	-0.52	109.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	49.40	49.40	49.40	49.40	31.37	38.42	38.42	38.42	41.31	33.62	33.62	34.58	34.58	33.62	28.82	33.14	25.94	25.94	24.98	24.98	24.02	25.45	25.45	24.60	25.93	29.63	34.17	34.17	25.74	23.85	27.17	17.18	17.18	14.64	12.19	14.64	16.10	16.10	17.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
