CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Giá vốn hàng bán###Cost of goods sold	14370	17522	507789	319665	36187	91179	58681	356549	263192	70886	8295	13895	-206130	-248833	14679	14628	8556	266828	14706	13802	246437	-2143	540712	169294	219475	119296	16350	892867	839629	22134	30127	2134	374765	273981	29604	50258	20468	198103	170961	15265	3860	28153	107883	18586	9400	69055	10291	346035	171391	56722	110255	41710	405462	287934	36439	76321	1263	122108	35032	36156	42133	54221	336333	207475	60578	136806	26847	205483	235906	10528	11645	8501	199219
Lợi nhuận gộp###Gross profit	32620	23112	188171	130039	11046	27774	19312	110524	82332	22046	4702	1724	185965	182079	2163	2580	1769	247442	3594	2343	226180	18015	314741	217127	38844	49922	24972	333195	302211	15365	9439	4917	256678	145880	28768	57086	26620	-147421	-140150	-3252	586	-3496	31660	18639	837	8763	1861	670705	234058	115442	282086	39295	709421	441896	176023	77243	2800	192041	79610	105400	20036	49677	371774	170890	59642	66896	40165	130626	66091	15071	18331	14762	178765
Doanh thu hoạt động tài chính###Financial activities Revenues	844	36	2509	1240	66	-117	1320	78366	14506	254	1025	62581	11371	5353	1008	2051	2290	8770	2321	2042	-255	4661	7524	937	3521	1757	204	12170	1096	29	10884	162	2792	874	747	330	837	7785	953	1143	3625	1409	5349	1164	2014	798	882	50633	6850	2824	18988	22045	215746	60509	176158	13771	6852	23757	6313	19641	13493	12294	13438	3019	3479	5058	574	5636	21966	724	11109	10623	9133
Chi phí tài chính###Financial Expenses	1654	721	220	121	429	-833	502	616	11099	-12655	672	406	-22817	2123	-22813	-2318	-1583	-20828	-14099	-408	-730	-4082	-60455	-530	-65948	2652	3371	32933	20355	-3161	29850	-15530	42117	26489	5813	12237	-2486	28728	-3555	9116	47819	-22997	27578	50226	143	-22797	84	52256	26655	1856	932	133	10203	-9093	21198	905	0	5152	20638	5	17601	21	2	2	0	0	0	0	0	0	0	0	0
Chi phí bán hàng###Selling Expenses	716	2276	7330	5441	263	1118	509	3910	1525	1651	250	485	5846	4519	424	388	515	6274	2439	1257	1461	1117	3912	2217	1626	2010	1566	1121	186	382	348	205	3080	2717	398	1727	844	3377	813	822	885	807	4321	2133	667	1505	15	3410	1349	869	634	557	737	1546	365	183	0	1247	468	177	353	249	935	298	216	197	0	510	118	112	280	0	646
Chi phí quản lý doanh nghiệp###Managing Expenses	10700	11667	38542	13062	3234	14939	7308	46235	18290	22341	2081	3485	40840	31762	3017	7214	1860	36647	-4173	5314	38736	8789	74061	47130	25857	7939	7617	148700	98849	8334	26147	15906	131983	71306	14117	32455	13235	114860	37765	19528	50694	13396	75287	28703	13154	20437	1595	49209	12158	15786	12382	9278	37407	12497	9669	13758	0	29563	5178	7315	2401	4141	25679	8339	6500	6051	5078	15916	7337	2671	4929	427	13100
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	19246	8484	140966	110213	7186	11255	12313	135931	63727	10963	2724	59929	169975	149028	22544	-653	3267	230722	21749	-1778	185860	16853	301895	168011	80831	37079	12622	162612	164194	9839	-38161	4499	82290	46243	9187	10997	15864	-303166	-174221	-31575	-95188	6708	-84362	-61260	-11114	10415	1049	611622	200746	99755	287126	51371	876821	497454	320948	76168	9651	179835	59639	117544	13174	57561	358596	165270	56406	65705	35661	119835	80602	13011	24231	24958	174152
Thu nhập khác###Other incomes	2	72	832	594	72	166	0	475	471	3	1	0	12689	6	11	12666	6	5056	-69	11724	85	92	23	26	5	0	0	55626	5464	0	50134	10	938	493	0	446	0	398	45	27	326	0	27	2366	0	-137	142	80	1	53	26	0	1736	1687	87	10	0	38	14	8	0	6	730	26258	49	9	0	939	2	5	931	0	354
Chi phí khác###Other Expenses	16	36	1923	1027	120	382	374	1520	1077	239	104	59	3977	3428	294	133	43	7305	4545	6804	61	171	11662	11342	124	174	29	4744	4624	119	0	0	555	444	0	149	27	709	12	74	113	0	117	33	80	4	1	304	43	261	120	0	20422	18713	1331	414	0	329	14	0	0	0	48	4621	0	0	0	929	0	0	929	0	312
Lợi nhuận khác###Other profits	-13	35	-1091	-433	-49	-216	-374	-1046	-606	-236	-103	-59	8712	-3422	-283	12533	-37	-2249	-4615	4920	24	-79	-11639	-11316	-119	-174	-29	50883	840	-119	50134	10	383	48	0	297	-27	-311	33	-47	213	0	-90	2334	-80	-141	142	-224	-42	-208	-95	0	-18685	-17026	-1244	-404	0	-291	0	8	0	6	682	21637	49	9	0	10	2	5	3	0	42
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	19232	8519	139875	109780	7137	11039	11939	134885	63122	10727	2621	59870	178686	142254	22261	11880	3230	228473	15132	3142	185884	16774	290256	156694	80712	36905	12592	191634	165034	9719	11973	4509	74700	39567	9187	10427	15837	-303477	-174187	-31622	-102242	6708	-84452	-73113	-11194	10274	1190	611398	200704	99547	287031	51371	866467	480428	319704	75763	9651	173253	59639	117553	13174	57567	359278	186907	56455	65714	35661	119845	80604	13016	24233	24958	174194
Chi phí thuế TNDN###Corporate Income Tax Expenses	4791	2309	32645	31728	1737	2623	2217	21320	10564	814	26	9780	35959	32280	180	108	1198	47995	3792	111	37223	1741	64385	42591	6944	11939	3124	53150	53176	63	32	15	3603	2099	31	1454	0	1064	0	0	0	127	-4988	-1778	265	-3030	262	153598	51257	24553	71816	12984	161317	86619	55598	0	0	54370	17209	44350	11250	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	4555	2309	35042	29332	1737	2623	2217	12281	11116	814	26	189	36163	32485	180	108	1198	49742	2665	111	37483	1741	64842	43048	6944	11939	3124	53365	53391	63	32	15	1085	1020	31	16	18	1787	882	0	311	127	7604	-1797	265	8959	262	151769	49932	24553	71692	12413	153919	86619	55598	0	0	63663	17209	44350	11251	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	236	0	-2397	2397	0	0	0	9039	-552	0	0	9591	-204	-204	0	0	0	-1747	1127	0	-260	0	-457	-457	0	0	0	-214	-214	0	0	0	2518	1079	0	1439	0	-722	0	0	0	0	-12592	19	0	-11989	0	1829	1325	0	0	571	7398	0	0	0	0	-9294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	14155	5757	109612	77113	5734	10055	11025	117543	57925	9750	2595	-781	154198	-1271	80	564	-394	181961	11340	3031	148661	15033	226637	114103	73768	24966	9469	120573	111858	9657	11941	4494	71097	37468	9156	8973	15818	-304541	-175069	-31622	-102554	6581	-79465	-71335	-11459	13304	928	457800	149447	74994	215339	38387	705150	393809	264106	75763	9651	118884	42430	73202	1923	57567	359278	186907	56455	65714	35661	119845	80604	13016	24233	24958	174194
---Cac Chi So Tai Chinh---																																																																									
EBITDA	0.73	0.34	0.78	0.78	0.70	0.95	0.67	0.51	0.51	0.59	0.49	0.27	0.46	0.46	0.32	0.57	0.83	0.66	0.66	0.61	0.69	0.81	0.95	0.95	1.04	1.52	1.17	0.94	0.94	0.87	0.82	0.64	1.08	1.08	1.26	1.36	1.41	1.10	1.10	1.09	0.96	0.92	1.30	1.30	1.36	1.45	1.59	1.53	1.53	1.13	0.99	0.90	0.86	0.86	1.12	1.23	1.31	1.39	1.39	1.22	1.10	1.55	1.46	1.46	1.47	1.30	1.12	1.28	1.28	1.03	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	23.45	14.70	17.00	17.00	16.30	19.60	22.67	18.39	18.39	19.02	20.24	25.30	25.47	25.47	23.57	23.20	22.05	18.85	18.85	22.86	17.16	15.48	18.85	18.85	16.20	17.81	18.69	20.13	20.13	19.57	14.36	21.66	14.84	14.84	8.98	11.23	15.64	17.49	17.49	18.29	28.79	25.27	18.29	18.29	22.78	25.27	40.10	49.33	49.33	52.94	62.16	59.76	63.77	63.77	62.44	31.32	15.66	17.62	17.62	31.98	14.72	33.78	79.66	79.66	89.86	100.37	61.75	23.32	23.32	9.20	0.00	0.00	0.00
