CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006	 2005
Chi phí bán hàng###Selling Expenses	119878	107252	489644	166089	102130	150484	70941	485529	133999	139556	137239	75398	503536	155776	113377	123297	111085	464181	116384	121247	118165	108255	429905	98850	111437	114833	104786	331657	89843	94032	89110	58671	341999	79811	94084	81427	86677	265990	74532	69598	63690	58170	181970	57734	46261	49546	28429	118151	26195	35187	27388	29550	99426	31620	23810	25450	16896	71987	17018	15566	16126	65688	66887	48766
Chi phí quản lý doanh nghiệp###Managing Expenses	48178	55722	222946	63206	52380	61400	45910	222452	59888	50039	56121	56405	214062	62473	52423	53194	46707	182076	55335	41187	45124	40388	161494	43894	38647	43333	35951	128310	36951	33172	33840	24347	135952	43248	32850	32281	27573	110603	34182	28482	24265	23674	72565	29913	14734	16488	11333	46986	13153	11235	13415	9800	39046	14331	8050	8114	10139	31292	6778	9645	9314	32168	38602	27384
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	58205	53284	214807	81038	43236	35597	54987	216838	85653	50759	25614	51551	323663	99659	75066	87590	61305	281231	73061	71550	75044	61556	250295	79935	60352	54586	54782	214626	64424	61517	59444	29577	226674	52063	61794	62713	50104	168987	49514	46328	43516	29633	125183	27866	39907	34641	22866	91229	20670	24940	25066	20876	74493	18514	20815	18631	15710	59170	17258	15371	11936	35397	19652	28205
Thu nhập khác###Other incomes	759	3747	2496	1209	656	322	665	1427	1655	1978	339	716	1678	442	562	2871	596	4764	1007	1218	1218	1322	6918	3560	1537	1125	735	2982	1428	742	774	532	3991	-1495	1797	3138	551	5209	5155	54	-14	14	879	161	284	291	142	208	63	141	3	0	682	290	192	135	65	58	31	60	130	12983	0	1403
Chi phí khác###Other Expenses	381	3334	2464	805	1359	25	632	2055	-170	1849	315	61	2692	18	116	5344	0	2816	654	713	1149	299	2586	3349	506	862	-166	7038	4249	222	5	3056	514	-1158	1297	146	229	331	114	21	-263	459	1821	1423	335	62	1	16	14	0	2	1	5618	4624	822	107	65	432	0	353	2	1176	0	232
Lợi nhuận khác###Other profits	378	414	31	404	-702	297	33	-628	1825	129	25	655	-1014	425	446	-2473	596	1948	352	505	69	1022	4333	211	1031	263	902	-4056	-2821	520	769	-2523	3477	-337	500	2992	321	4877	5041	33	248	-445	-942	-1262	-51	229	141	191	50	141	2	-1	-4936	-4334	-630	28	0	-374	31	-293	128	11807	1239	1171
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	58583	53698	214839	81442	42533	35894	55020	216210	87479	50887	25638	52206	322649	100015	75524	85117	61792	283179	73442	72035	75113	62578	254628	80146	61384	54849	55684	211161	61602	62036	60214	27054	230909	51795	62777	65735	50438	173864	53740	46463	44473	29188	124240	26604	39856	34870	23007	91421	20720	25081	25067	20875	69557	14181	20185	18659	15710	58796	17289	15078	12063	47204	20891	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	9559	12454	44247	18747	7600	8292	9618	41437	16476	9063	4818	11288	62231	18337	14578	17833	11478	54953	15961	13781	13820	11400	50960	16665	11650	11955	9950	47796	16347	11794	14024	5631	59716	16892	14479	16836	0	45714	0	0	0	5879	33541	5314	13052	9551	5624	25173	5234	6262	8586	5146	18510	4478	5082	5092	3927	12757	5823	2566	0	8956	4925	6761
Chi phí thuế TNDN###Corporate Income Tax Expenses	10681	12839	42433	17640	7390	8296	9117	45182	16629	8434	9043	11284	62894	18571	14888	18016	11414	55784	16158	14111	13152	12371	51154	16746	11747	12236	9684	48124	16849	11689	13487	6099	59713	16664	14639	16893	11516	45040	14367	10016	13753	6904	34857	6682	12957	9635	5582	25140	5202	6298	8410	5230	18627	4595	5082	4665	3927	12757	5823	4222	442	8956	4925	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-1122	-385	1813	1108	210	-5	500	-3746	-153	629	-4226	4	-662	-233	-310	-183	64	-830	-197	-331	667	-970	-193	-81	-97	-281	266	-328	-502	105	537	-467	3	228	-160	-57	-9	674	122	16	1560	-1025	-1315	-1368	95	-84	43	32	32	-36	176	-84	-117	-117	0	0	0	0	0	-1656	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	55422	44290	187757	68743	38455	29996	50620	193269	76781	48864	20821	44257	279731	87885	65663	66833	59206	245856	57481	58254	61293	51178	226368	63481	49733	42894	45734	180911	45255	50242	46190	21423	171193	34903	48298	48900	38930	128151	39251	36431	29160	23309	90699	21290	26804	25319	17382	66248	15485	18819	16481	15730	51047	9703	15102	13994	11782	46038	11466	12512	11622	38248	15965	22614
---Cac Chi So Tai Chinh---																																																																
EBITDA	0.53	0.45	0.20	0.20	0.36	0.49	0.48	0.38	0.38	0.34	0.25	0.07	0.11	0.11	0.30	0.53	0.55	0.73	0.73	0.59	0.50	0.40	0.24	0.24	0.30	0.22	0.25	0.21	0.21	0.26	0.39	0.37	0.58	0.58	0.54	0.51	0.50	0.30	0.30	0.42	0.22	0.25	0.21	0.21	0.06	0.26	0.36	0.59	0.59	0.88	0.80	0.73	0.69	0.69	0.75	0.79	0.92	1.67	1.67	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	53.20	47.65	57.48	57.48	57.52	61.10	66.19	61.57	61.57	79.08	70.10	86.06	101.70	101.70	100.67	106.48	84.13	79.11	79.11	85.70	79.80	53.15	42.54	42.54	38.94	39.42	34.19	33.73	33.73	34.88	35.57	40.19	38.59	38.59	33.58	37.86	31.21	20.89	20.89	18.74	16.40	12.89	8.29	8.29	9.16	8.49	10.50	11.39	11.39	9.35	9.29	9.32	11.11	11.11	11.24	8.92	5.59	5.90	5.90	0.00	0.00	0.00	0.00	0.00
