CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Doanh thu hoạt động tài chính###Financial activities Revenues	37364	36569	122488	31981	32232	32289	25986	107785	27658	28668	28149	23311	88780	22067	26916	22621	17178	57818	15178	15157	14975	12576	34339	12488	8518	7248	6282	37140	9730	9579	9179	8651	47970	10611	10903	15302	11155	42177	9676	12573	12674	7255	48895	9894	13078	14760	12615	40566	9786	10478	13018	7284	31295	15827	6741	5436	4809	22329	9240	3790	4609	5112	5789	647	4453	325	364	514	168	109	114	123	406
Chi phí tài chính###Financial Expenses	21425	27077	98859	22245	25696	29024	21894	96054	16983	25219	26680	27172	97685	28652	23880	24737	20417	84756	24026	21405	21705	17498	89482	30711	21262	20164	17345	67341	18554	16790	17131	14865	16456	15107	4347	814	702	4453	623	1014	1284	1532	7183	2474	1369	1669	1394	3408	955	727	434	1293	23597	-3510	4959	14942	7354	38495	5175	5420	25803	2006	17291	898	5573	5372	5538	11214	3447	3233	2519	2016	5684
Chi phí bán hàng###Selling Expenses	161635	154225	687045	224576	170006	170055	122408	724885	234535	164990	182824	144007	732085	243174	195927	151131	142694	631640	186202	153844	159592	128297	457614	151205	105480	96037	104167	1098587	427666	249204	248777	171682	770103	269259	180818	158294	157691	709601	266147	204164	104739	137682	558863	155170	103956	121086	145443	483630	178101	129537	88036	94116	409533	105275	115849	70331	118947	521505	142384	112605	127616	143976	469324	169669	116253	81680	75236	311953	111628	74412	62005	63908	155063
Chi phí quản lý doanh nghiệp###Managing Expenses	71252	79359	333830	111540	70963	83583	67744	285637	87059	70375	68839	60853	318386	85330	67473	86720	78863	297319	107571	73806	56283	74401	262310	86569	57945	59675	56634	312776	118921	64368	71586	57602	270758	73598	69039	73981	47850	218227	64523	53739	56799	42722	185188	53215	44287	35104	41964	134944	34247	43356	38399	24397	113701	28328	31143	26152	30130	103918	41414	23603	17180	17012	59819	21580	15554	12712	10472	55881	13439	12583	18022	11837	39787
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	204585	199227	714933	235959	135762	192683	150529	717845	213458	149555	185678	169645	722533	229094	142707	179936	170908	756903	240029	191518	164657	160682	636890	177796	188352	155018	119665	688957	188558	172590	184058	145429	631127	188509	145129	153047	150190	553507	131274	118909	184498	116260	496399	142794	125088	138851	101676	433135	154193	89404	110923	81531	408040	163611	82795	118539	44715	149430	37614	36659	35192	41994	127858	39136	29699	28882	29186	86911	26206	18461	24363	17881	54500
Thu nhập khác###Other incomes	1510	563	15583	8184	1825	1328	4247	18210	7430	3644	5186	1950	6757	1169	2465	1326	1796	15121	3234	-13238	12080	13058	84857	20623	9930	30874	22074	36845	22271	5892	7300	2022	182012	24824	134927	2536	12338	39625	31049	2155	4801	1434	9934	3174	3939	1282	987	9234	1529	6300	516	1722	14225	12224	1085	209	313	1531	1754	4324	372	131	1351	544	432	143	232	1406	354	429	550	74	1187
Chi phí khác###Other Expenses	890	3221	17321	12121	1999	1855	1346	4273	692	1804	958	818	10041	7119	892	1819	211	15367	-12	3452	8981	2946	20439	5966	2065	5692	6715	3864	2551	366	174	757	31238	15281	7705	-5729	12165	8344	1432	3014	2635	1113	15391	3165	9143	1568	1111	8224	1917	6293	1208	1051	12571	10943	188	670	42	6077	490	3250	822	463	897	696	144	112	209	1257	160	728	318	52	308
Lợi nhuận khác###Other profits	620	-2658	-1738	-3938	-174	-528	2901	13937	6739	1840	4228	1132	-3284	-5950	1573	-492	1585	-246	3247	-16690	3099	10112	64419	14657	7864	25182	15359	32980	19720	5526	7126	1265	150774	9543	127222	8265	173	31281	29618	-860	2166	321	-5457	9	-5204	-286	-124	1010	-388	7	-693	670	1653	1281	898	-461	271	-4547	1264	1074	-451	-332	454	-151	288	31	23	149	194	-299	232	22	879
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	205206	196569	713195	232021	135588	192156	153430	731782	220197	151395	189906	170777	719249	223144	144280	179444	172493	756657	243275	174828	167756	170794	701309	192452	196217	180200	135024	721937	208279	178116	191184	146694	781500	198052	272351	161212	150064	584788	160968	117749	187034	116281	490942	142503	120202	138265	101252	434145	152823	89326	107533	82230	409590	165098	83391	117776	44986	145025	38878	37733	34742	41662	128312	38985	29986	28913	29209	87060	26400	18162	24595	17903	55379
Chi phí thuế TNDN###Corporate Income Tax Expenses	19470	19599	81932	28176	18111	17389	18256	80693	17074	12605	51205	-203	76860	78396	6181	-6360	-1382	68016	905	11411	12735	18652	108624	23924	32042	30788	22734	188165	91411	35754	38196	28448	188248	58135	63144	0	0	93495	0	0	0	12840	71180	19975	18165	17038	13120	50809	17811	10398	13144	9437	47249	16496	7715	10915	4875	15031	4445	3969	3301	0	0	0	0	0	0	0	-12131	0	0	0	11077
Chi phí thuế TNDN###Corporate Income Tax Expenses	19639	19250	83856	27834	17992	19562	18468	55333	15577	12686	25329	1728	77572	72607	1970	2572	398	89002	5695	14416	15848	19804	108690	25671	30604	31657	21622	193926	90880	35683	37739	29033	190665	58163	63322	36728	32179	93826	26255	17973	27120	14076	72904	20108	18681	16785	13474	51234	17810	10520	13119	9457	46968	16995	8048	11680	4295	18673	4445	3969	7641	0	0	0	0	0	0	0	5280	0	0	-5280	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-169	348	-1924	342	119	-2173	-212	25361	1497	-80	25875	-1932	-712	5789	4210	-8932	-1780	-20987	-4791	-3005	-3113	-1151	-67	-1747	1438	-869	1112	-5761	531	71	458	-585	-2416	-28	-177	-1318	-835	-331	207	181	516	-1236	-1724	-133	-517	253	-354	-425	1	-123	25	-21	281	-499	-333	-765	580	-3642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	185756	176981	627138	201904	117284	173418	134533	649149	202699	138898	138701	170485	642370	144148	138075	185764	174660	691637	242371	163417	155021	152142	596669	168529	164175	149412	112290	534271	116867	142362	152987	118246	593252	139917	209207	125802	118720	491293	134506	99595	159398	103441	419762	122527	102038	121227	88132	383335	135013	78928	94389	72793	362340	148602	75676	106861	40111	129995	34433	33764	27101	41662	128312	38985	29986	28913	29209	87060	21120	18162	24595	23183	44302
---Cac Chi So Tai Chinh---																																																																									
EBITDA	0.48	0.50	1.07	1.07	0.92	0.92	0.92	0.79	0.79	0.83	0.81	0.77	0.56	0.56	0.80	0.47	0.85	0.84	0.84	0.69	0.85	0.76	0.58	0.58	0.58	0.32	0.53	0.81	0.81	0.84	0.91	0.84	0.72	0.72	0.74	0.67	0.59	0.53	0.53	0.47	0.29	0.28	0.19	0.19	0.22	0.26	0.22	0.34	0.34	0.49	0.54	0.70	0.70	0.70	0.72	0.73	0.68	0.73	0.73	0.74	0.83	0.81	0.52	0.52	0.48	0.57	0.74	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	90.52	75.71	87.69	87.69	89.89	103.96	112.83	74.07	74.07	93.77	94.68	102.59	106.28	106.28	97.12	112.34	81.36	57.61	57.61	65.84	60.55	47.35	37.49	37.49	37.49	41.43	48.58	52.11	52.11	49.67	52.38	55.73	45.70	45.70	44.10	34.43	31.48	28.20	28.20	27.77	24.16	23.94	20.95	20.95	24.50	19.95	17.06	17.50	17.50	16.48	16.91	16.98	16.27	16.27	17.66	12.08	11.24	12.61	12.61	13.70	14.84	16.30	24.14	24.14	20.56	22.36	12.60	11.70	11.70	0.00	0.00	0.00	0.00
