CAN DOI KE TOAN	 2019	 2018	 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006
Thu nhập khác###Other incomes	896	6687	309	153	6	83	6	0	0	890	27	150	0	713	537	30	78	364	65	8937	8060	77	1056	273	3536	368	1072	998	1108	2961	10053	302	1217	658	3835	2352	334	958	191	2813	113	1225	1338	137	3581	299	944	1760	578	3127	540	870
Chi phí khác###Other Expenses	3398	2144	1585	943	7456	417	1110	5749	180	1453	213	449	369	423	2947	2199	159	444	145	7112	6611	169	309	304	14510	2809	2014	6195	629	2239	2900	247	487	355	1395	309	278	637	171	2071	603	539	792	137	3508	294	922	1718	574	1402	389	646
Lợi nhuận khác###Other profits	-2502	4543	-1277	-790	-7450	-334	-1104	-5749	-180	-563	-186	-298	-369	290	-2410	-2169	-81	-79	-81	1825	1449	-92	747	-32	-10974	-2441	-942	-5197	479	722	7153	54	729	303	2439	2042	56	321	20	742	-490	687	546	0	73	6	22	42	3	1725	151	225
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	3653	4141	6720	3562	5728	-699	4138	-4	2399	3464	238	1568	3502	1889	-11531	-6735	-115	-1904	-2778	-3822	-607	-1503	643	220	-12601	-1185	2703	-6752	-2660	-19164	-1704	-871	3550	2849	11534	3713	2591	3524	1889	11379	2152	3716	2748	2502	4535	1360	1992	1636	1397	3598	1864	886
Chi phí thuế TNDN###Corporate Income Tax Expenses	1116	1329	1877	935	3581	176	1176	1353	869	1057	37	59	101	18	172	0	17	155	0	6613	124	-433	543	0	-2871	0	0	0	11	-4008	0	0	642	712	3511	1176	648	1261	472	1403	235	325	297	219	694	190	279	228	195	526	931	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	1389	1239	2073	933	3569	176	1176	1344	869	999	37	59	47	18	17	0	17	0	0	357	124	0	0	0	0	0	5	-11	11	0	0	0	1122	712	3511	1176	648	1261	472	1403	235	325	297	219	694	190	279	229	196	526	931	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-273	91	-196	1	12	0	0	10	0	59	0	0	54	0	155	0	0	155	0	6256	0	-433	543	61	-2871	0	0	-1915	0	-4008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	2537	2812	4843	2627	2147	-875	2963	-1357	1530	2407	202	1509	3401	1871	-11703	-6735	-132	-2059	-2778	-10435	-730	-1069	100	158	-9730	-1185	2698	-4825	-2671	-15157	-1704	-871	2428	2137	8022	2537	1944	2263	1417	9976	1917	3391	2451	2283	3841	1170	1713	1407	1201	3072	933	886
---Cac Chi So Tai Chinh---																																																				
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	6.00	5.00	5.00	4.70	4.80	4.80	5.70	5.00	7.40	4.60	4.60	9.00	8.80	10.00	4.80	4.80	4.80	0.00	10.10	9.60	9.60	13.10	14.10	13.00	12.80	12.80	10.90	14.00	13.30	10.00	10.00	18.20	15.20	27.14	35.06	35.06	37.87	48.20	54.91	48.58	48.58	46.70	20.06	12.13	15.42	15.42	24.55	25.17	19.23	80.73	80.73	0.00
