CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	196274	101867	1033254	409128	291972	156402	175752	1030080	416497	221504	140285	251553	1069930	283063	387994	156123	243970	853955	328390	218703	186659	118925	855514	357080	246422	123860	126612	923558	392026	317175	152386	176635	1105680	386652	325574	176409	229458	1384643	440488	461018	191258	301080	1837202	543712	626158	212861	441540	1028421	355787	363722	152199	156713	648310	276683	196699	70729	104199	728795	199492	303432	95854	127581	703796	253618	234750	602105	433185
Các khoản giảm trừ doanh thu###Deduction revenues	0	165	175	124	0	38	13	29	29	0	0	0	23	23	0	0	0	746	74	516	96	60	248	121	78	49	0	0	7	527	149	389	5559	1838	1998	413	1309	7692	4159	1593	1940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	196274	101702	1033079	409004	291972	156364	175739	1030051	416467	221504	140285	251553	1069907	283040	387994	156123	243970	853209	328316	218187	186563	118865	855266	356959	246343	123810	126612	923558	392019	316648	152237	176246	1100122	384814	323575	175996	228148	1376951	436329	459424	189318	301080	1837202	543712	626158	212861	441540	1028421	355787	363722	152199	156713	648310	276683	196699	70729	104199	728795	199492	303432	95854	127581	703796	253618	234750	602105	433185
Giá vốn hàng bán###Cost of goods sold	154700	64123	762644	297023	243844	111304	99926	685180	309997	166978	90840	121823	751490	222483	302792	87586	127725	637944	224762	182286	149254	73762	652463	261659	204654	80717	105049	638078	321709	215010	117769	121116	675168	222254	220609	89736	146128	823644	251626	284378	100419	209377	970978	182768	401022	102377	275069	565358	169208	212768	87939	94319	414850	161815	124645	48529	80547	476771	151059	199700	47053	76265	448004	182140	167099	370319	265319
Lợi nhuận gộp###Gross profit	41574	37579	270435	111981	48128	45060	75813	344871	106470	54526	49446	129730	318417	60557	85201	68537	116245	215265	103554	35901	37308	45103	202802	95300	41689	43094	21563	285480	70310	101638	34468	55130	424953	162560	102967	86260	82020	553307	184703	175046	88899	91702	866224	360943	225136	110484	166471	463062	186579	150954	64260	62394	233460	114868	72054	22200	23652	252024	48433	103732	48801	51316	255792	71478	67651	231785	167866
Doanh thu hoạt động tài chính###Financial activities Revenues	15769	16258	68669	19216	16765	14038	13393	65197	18716	15185	20216	10964	56874	13346	14102	17454	10145	52272	13488	14436	13790	10424	54884	14735	11596	16801	11757	53997	16016	9439	16959	12786	73042	26237	6890	25642	13950	97995	25939	13879	28576	29601	107103	44041	9906	32963	17607	36181	11948	7702	10475	6096	27186	9232	6456	6484	4288	23224	14612	4519	2316	1830	18868	13141	1535	12061	6347
Chi phí tài chính###Financial Expenses	5825	4466	22917	1688	6411	12731	2440	15694	4190	2538	6748	2269	12344	653	3669	5188	2351	6176	-810	3052	3749	880	16243	12362	665	-4570	6575	18820	1266	3956	1513	1172	22852	11246	14533	-271	2495	5318	3778	2107	3943	-4666	8444	1692	1066	1875	3852	13009	1690	4156	2439	4684	8814	6113	-1246	1307	2253	25410	6939	2397	11816	2236	10664	3486	4957	3975	716
Chi phí bán hàng###Selling Expenses	4056	2910	19411	8048	4747	3683	2814	16194	7550	3261	2855	2525	14924	5085	4383	2958	2462	14586	5579	3789	2591	2752	16145	5786	3512	3150	3587	19217	8601	3917	3805	3251	18208	7083	4417	4030	2668	14438	7769	2882	406	3894	14384	4887	4346	1923	3235	12071	4988	3594	2666	973	5643	2595	1092	905	869	11243	2941	4658	1689	1911	10676	6365	2381	7122	4367
Chi phí quản lý doanh nghiệp###Managing Expenses	16183	15742	81561	27841	21941	18474	12964	87238	28012	20138	23529	13385	79174	27673	17965	15390	16489	66009	24047	14959	13436	12226	65446	19406	18300	15889	11080	51134	16685	13759	11825	11496	55682	18688	11183	10472	13497	54183	20479	11628	11841	11425	85414	-23361	15721	9863	14336	73643	26403	22238	8236	9379	28917	7975	6302	5760	4917	29683	9390	8886	6283	5294	27927	10298	9054	34527	22546
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	31279	30718	215214	93620	31794	24210	70988	290943	85435	43775	36530	122514	268849	40492	73286	62454	105088	180766	88226	28537	31322	39669	159852	72481	30807	45425	12078	250306	59545	89516	34226	52213	401253	151780	79723	97671	77309	577108	178617	172308	101285	110650	861853	421766	213909	129786	162656	400251	165444	128668	61394	53453	217271	107416	72362	20712	19901	208912	43775	92310	31329	43704	225394	64469	52795	198222	146584
