CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	 2007	 2006
Chi phí khác###Other Expenses	11	309	363	65	612	-4	306	152	15	0	87	46	393	131	15	244	3	252	117	6	12	117	587	370	0	120	97	987	228	310	373	3	5265	0	3	5162	2	2799	2492	292	0	15	318	188	0	128	0	107	0	0	43	0	563	65	279	0	210	888	888	0	352	5
Lợi nhuận khác###Other profits	29	-185	-27	-19	61	49	-118	1407	268	827	273	100	727	55	371	40	263	505	158	215	126	6	349	-330	135	518	25	-74	-66	-9	-351	424	798	15	381	172	-2	549	-1667	-287	137	394	1247	252	445	541	173	1351	-481	1939	-43	0	243	7	-13	315	322	948	263	447	823	439
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	360	370	1642	53	1341	614	684	4521	2786	1893	2010	1512	11425	1461	3412	3078	3360	14007	5746	4214	-428	4101	21755	7145	4064	6577	4015	20837	5011	4638	6964	3892	17811	4376	5000	4287	4822	20820	5890	5993	5276	4353	21409	6169	5632	6927	3582	19209	6092	4271	5469	3563	19811	5558	4444	4182	3071	14291	3042	11041	9542	3990
Chi phí thuế TNDN###Corporate Income Tax Expenses	74	128	394	24	268	124	201	1152	564	389	412	315	6366	322	686	668	676	2788	1171	844	-83	844	4704	1572	812	1447	883	4457	1734	938	1532	856	4045	1017	899	0	0	2737	0	0	0	1088	4017	570	1408	1709	1025	2674	926	537	696	445	2464	711	555	523	384	1985	426	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	74	128	394	24	268	124	201	1152	564	389	412	315	6366	322	686	668	676	2788	1171	844	-83	844	4704	1572	812	1447	883	4457	1734	938	1532	856	4045	1017	899	1078	1205	2737	960	1049	910	1088	4017	570	1408	1734	893	2674	926	537	696	445	2464	711	555	523	384	1985	426	1546	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	286	242	1248	29	1073	490	483	3369	2222	1505	1599	1197	5059	1140	2726	2410	2684	11219	4575	3370	-345	3258	17051	5573	3253	5130	3132	16379	3277	3700	5432	3036	13766	3359	4101	3208	3616	18083	4930	4945	4366	3265	17393	5598	4224	5193	2689	16535	5167	3733	4773	3118	17347	4847	3888	3659	2687	12306	2616	9495	9542	3990
---Cac Chi So Tai Chinh---																																																														
EBITDA	-0.34	-1.10	3.14	3.14	1.82	1.24	0.91	0.39	0.39	0.32	0.15	-0.70	-0.18	-0.18	0.21	0.03	0.07	0.05	0.05	-0.01	0.25	0.10	0.02	0.02	0.02	-0.09	0.47	0.75	0.75	0.90	0.88	0.45	0.21	0.21	0.22	0.33	0.49	0.26	0.26	0.25	0.23	0.13	0.23	0.23	0.46	0.71	1.12	1.09	1.09	1.50	1.20	1.11	1.05	1.05	0.90	0.98	0.51	0.77	0.77	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	12.90	11.40	7.80	7.80	9.40	26.50	15.90	10.00	10.00	11.30	9.50	16.90	8.20	8.20	7.48	8.04	8.23	9.54	9.54	8.57	9.09	8.66	8.74	8.74	8.66	9.00	9.08	8.36	8.36	8.44	6.92	8.17	7.07	7.07	6.04	5.92	5.92	4.95	4.95	4.42	5.12	4.31	3.96	3.96	4.10	3.89	5.68	6.49	6.49	7.48	9.63	6.66	7.50	7.50	9.02	5.28	3.73	4.05	4.05	0.00	0.00	0.00
