CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Chi phí tài chính###Financial Expenses	19103	22433	99356	24796	25205	28170	26817	124343	27324	34367	19024	48060	213096	38721	54385	78398	41592	129643	36556	32708	13461	57510	159496	38349	70062	39132	42880	296982	99241	68162	65149	64430	527376	305887	72001	69048	75437	357208	57993	99501	91483	107569	436805	139613	100066	109660	83017	101012	22954	12588	9505	8841	35837	6941	8100	8514	12282	60457	17353	14235	20859	8010	68057	23318	19358	13027	12354	0	75987
Chi phí bán hàng###Selling Expenses	35946	26121	124444	25914	24606	44788	29135	163724	74466	35149	32416	23026	120732	50771	19008	29807	21146	167303	61277	42726	39088	24212	157150	41736	27475	24287	38721	204418	83362	40840	38352	41864	149821	50256	28754	36449	38005	147572	24066	35883	42280	43123	157045	63864	43095	26647	25695	78375	30123	13620	19544	15088	75021	24772	19227	17269	12800	49348	21861	9297	7875	10315	160275	69215	31837	31140	27181	0	107512
Chi phí quản lý doanh nghiệp###Managing Expenses	29521	27796	113391	29043	27509	32545	24294	112939	40808	25837	32276	18361	104533	24075	23719	36403	20336	116992	27029	27965	42377	19622	129524	37393	37221	30625	27338	116010	44220	24384	28646	18760	91322	26709	19612	24820	20596	76445	17574	21319	16802	19571	133342	38567	27972	43290	24075	87599	29108	16430	15394	26666	109940	24784	27835	34680	20752	65043	21835	17534	12851	12194	48150	12515	11858	11600	12093	0	49097
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	12345	14738	74010	15940	14920	17319	25831	38046	18182	55	39106	-18558	3503	4122	-6897	-13765	19631	164350	53263	16293	69252	20285	142094	17849	-25616	14031	136252	115241	88015	21958	6655	-1272	-231778	-179049	-16602	12982	-48656	-46426	33250	-76528	-2109	1974	-2809	-8387	4276	1852	-938	82214	12184	10045	29693	31268	149022	26003	41245	48370	32832	119182	40483	24680	44600	10997	90423	33318	10661	31731	20728	52400	74740
Thu nhập khác###Other incomes	7532	710	3124	901	1154	-559	1628	4668	1913	877	1046	832	2149	664	1159	1077	599	2911	944	4316	1182	399	5545	2743	1107	1262	433	12112	3239	2434	3188	3252	13267	4100	3212	487	4963	26743	8578	7616	10423	127	2809	397	167	1241	1004	2285	526	321	1376	62	1592	1327	205	362	212	2320	4360	275	5339	143	10673	3332	283	879	361	0	1413
Chi phí khác###Other Expenses	158	62	329	69	78	94	89	981	121	590	91	178	618	280	851	208	217	436	123	124	77	112	62	3	4	4	51	5567	1321	1200	1214	1832	7044	2265	1417	1274	1811	12138	4860	0	7278	0	0	0	0	0	0	84	0	84	0	0	0	0	0	0	0	142	3517	8	6141	0	72	70	5	-4	0	0	0
Lợi nhuận khác###Other profits	7374	648	2795	832	1076	-653	1540	3687	1791	286	955	654	1530	385	308	869	382	2475	821	4192	1105	287	5483	2740	1103	1258	383	6545	1918	1234	1974	1419	6222	1835	1795	-787	3153	14605	3718	7616	3145	127	2809	397	167	1241	1004	2201	526	237	1376	62	1592	1327	205	362	212	2179	843	268	-802	143	10601	3262	278	883	361	769	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	19719	15386	76804	16772	15995	16666	27370	41733	19974	341	40061	-17904	5034	4506	-6589	-12896	20013	166825	54084	20484	70358	20572	147577	20589	-24513	15289	136634	121785	89932	23192	8628	147	-225555	-177213	-14807	12194	-45504	-31821	36968	-68913	1036	2100	0	-7990	4444	3093	66	84415	12710	10282	31069	31330	150613	27329	41450	48732	33044	121360	41325	24947	43798	11140	101024	36580	10939	32614	21089	53169	76153
Chi phí thuế TNDN###Corporate Income Tax Expenses	-3938	3938	18466	4323	4510	3736	5898	21600	18223	120	4556	0	1825	1720	0	-2422	4003	34079	11096	4097	14506	4114	5902	0	0	3362	1876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	555	716	8	11057	1589	1285	3930	3916	18827	3416	5181	6091	4131	16990	16969	0	0	0	0	0	0	0	0	3345	10279
Chi phí thuế TNDN###Corporate Income Tax Expenses	-3938	3938	18466	4323	4510	3736	5898	21600	18223	120	4556	0	1825	1720	0	-2422	4003	34079	11096	4097	14506	4114	5902	0	0	3362	1876	0	0	0	0	0	0	0	0	0	0	0	4621	0	129	263	0	0	555	387	8	11057	1589	1285	3552	3916	18827	3416	5181	6091	4131	16990	16969	0	0	0	0	0	0	0	0	3345	10279
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	23658	11448	58338	12449	11486	12931	21472	20132	1750	221	35505	-17904	3209	2787	-6589	-10475	16010	132746	42988	16387	55852	16458	141675	20589	-24513	11927	134758	121785	89932	23192	8628	147	-225555	-177213	-14807	12194	-45504	-31821	32347	-68913	906	1838	0	-7990	3888	2707	58	73358	11121	8997	27517	27413	131787	23913	36269	42640	28914	104370	24356	24947	43798	11140	101024	36580	10939	32614	21089	49824	65873
---Cac Chi So Tai Chinh---																																																																					
EBITDA	0.44	0.16	0.27	0.27	0.22	0.26	0.05	-0.20	-0.20	-0.36	-0.34	-0.42	0.07	0.07	0.43	-0.26	0.08	0.70	0.70	1.09	0.71	0.67	0.89	0.89	0.64	0.86	0.55	0.70	0.70	0.87	0.76	1.41	0.80	0.80	0.79	0.58	0.42	0.43	0.43	0.42	0.78	1.18	1.27	1.27	1.23	0.94	0.65	0.60	0.60	0.41	0.51	0.76	0.76	0.76	0.78	0.92	0.88	0.94	0.94	0.95	0.79	0.57	0.00	0.00	-0.03	-0.01	-0.03	-0.22	0.00
Giá giao dịch cuối quý###Last Price of Quarter	3.59	3.69	4.17	4.17	4.17	4.27	4.27	5.15	5.15	5.15	4.95	4.85	4.37	4.37	5.34	6.99	8.16	9.51	9.51	9.51	8.54	8.64	8.74	8.74	8.64	9.22	9.81	7.38	7.38	6.60	4.95	5.83	4.08	4.08	3.98	4.17	3.59	3.50	3.50	4.66	6.21	4.27	3.40	3.40	4.85	5.86	8.89	9.33	9.33	7.91	9.95	9.71	9.79	9.79	12.34	11.76	7.15	8.55	8.55	11.35	11.64	16.37	24.72	24.72	31.69	33.71	31.86	16.67	0.00
