CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	152216	117217	1231904	533638	261006	276874	160385	741772	185424	168628	201854	185865	908833	254459	145939	371222	137278	774689	281508	199724	117359	175221	1043585	286354	273747	308607	175947	1034933	424002	301447	252818	56618	872818	439340	105817	150018	108501	635380	205785	108730	247471	102108	534196	241606	148169	63609	79597	307285	153502	54817	80671	67432	509422	196691	154550	111503	46678	369266	65577	106841	136840	60008	573522	43129	160009	149538	99166	710758	342783
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	507	0	0	0	0	33	0	0	-15	15	115	27	49	18	96	111	21	24	25	24	96	25	25	25	21	63	24	40	14	6	376	0	0	376	0	37	0	0	16	21	354	-14	188	95	85	97	0	18	21	0	113	0
Doanh thu thuần###Net Sales	152216	117217	1231904	533638	261006	276874	160385	741772	185424	168628	201854	185865	908833	254459	145939	371222	137278	774182	281508	199724	117359	175221	1043552	286354	273747	308622	175932	1034818	423975	301398	252800	56523	872706	439319	105793	149993	108477	635284	205760	108705	247447	102087	534133	241582	148129	63596	79591	306910	153502	54817	80296	67432	509385	196691	154550	111487	46657	368912	65591	106653	136745	59923	573426	43129	159990	149517	99166	710645	342783
Giá vốn hàng bán###Cost of goods sold	127508	113138	1133626	492117	240906	248861	151743	690401	178487	153086	194215	165772	697315	246562	129147	208947	113761	657444	223563	167003	95751	171663	875402	241328	229993	265363	139533	721518	283131	175069	218650	46098	687320	350630	69308	125706	90283	467335	175393	84529	157352	68866	397549	173674	114953	49184	60393	241783	126001	44327	59333	56267	441967	173307	128118	98282	42260	317289	49122	96831	123699	47636	492439	38461	136190	130477	82987	617682	293480
Lợi nhuận gộp###Gross profit	24707	4080	98278	41522	20100	28012	8643	51371	6937	15542	7639	20093	211518	7897	16791	162276	23517	116737	57946	32721	21607	3559	168150	45026	43754	43259	36400	313300	140843	126329	34150	10425	185386	88689	36485	24286	18194	167948	30367	24176	90094	33221	136585	67908	33176	14411	19199	65126	27501	10490	20963	11165	67419	23383	26432	13206	4397	51623	16469	9821	13046	12287	80987	4669	23800	19040	16179	92963	49303
Doanh thu hoạt động tài chính###Financial activities Revenues	338	181	1461	289	258	657	256	181334	337	3869	174423	2649	14466	2965	5384	2764	5588	12584	356	2368	7130	2085	35615	4395	30996	4346	3793	16961	5022	5465	5124	3958	18510	16661	1396	-10	356	6876	554	3354	2810	793	21216	3798	5407	10592	1939	58534	7477	2374	26216	19375	28438	25761	1577	369	731	28420	27519	660	525	313	10934	13310	200	2361	1609	4894	3247
Chi phí tài chính###Financial Expenses	2868	2247	16636	7192	3453	3433	2505	21043	2868	5869	6736	4398	14112	3973	4968	3706	3816	33368	4843	14242	6368	7506	34428	2683	15947	13541	2140	75483	10560	10565	45664	10140	76333	27672	19175	10728	13786	81826	26167	12596	21713	14408	98775	29348	18353	35941	14556	87332	24496	21809	23288	17814	89200	28288	18272	16795	25845	80561	18093	34190	18045	10830	39573	11841	6257	6084	7756	30045	19358
Chi phí bán hàng###Selling Expenses	508	455	1271	263	160	701	121	32844	253	153	32048	391	2381	967	371	580	462	4346	1219	809	687	1632	2178	584	445	470	677	2798	1003	588	642	269	1137	200	88	-395	422	1759	291	406	549	422	1841	391	603	277	532	1761	491	439	409	445	2109	481	346	718	564	2016	613	774	458	172	2496	66	1702	516	33	2115	272
Chi phí quản lý doanh nghiệp###Managing Expenses	11139	10941	67074	31966	10633	13274	11265	77177	13888	11229	40500	11418	115710	18341	13843	68828	13703	70197	20288	16502	20050	11495	64042	18924	15962	14029	14498	83512	41254	15236	14245	9724	102904	60465	9022	6830	9082	63684	12949	9635	17524	8886	39290	14333	8613	9761	7473	44539	11991	8224	10867	6274	32619	12209	7513	6224	6673	30910	8587	6912	12090	3321	27281	4759	7404	6214	2737	39061	22799
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	10669	-9367	14825	2493	5924	11344	-4917	91743	-13546	1791	97047	6549	94645	-12343	2848	92392	11395	19487	32723	3542	1981	-14687	107393	25923	45641	20171	23107	174586	96705	106879	-20930	-5014	23521	17013	9595	7113	-4740	7177	-8485	4892	53118	10297	6193	27633	11013	-20976	-1424	-8482	-1999	-17607	12615	6007	-28071	8166	1878	-10162	-27953	-33443	16696	-31396	-17022	-1721	22571	1313	8637	8587	7261	26635	10120
Thu nhập khác###Other incomes	255	6	5052	1430	414	3126	88	4685	2080	237	1140	1292	12377	2296	1005	7244	6396	9430	2682	1546	2720	2514	29878	6065	384	14725	1027	8003	4815	1495	1084	928	6229	1109	387	3360	425	4903	1361	851	628	2010	4607	2053	633	1111	833	120035	9915	91578	1044	595	403419	40771	8108	353182	1359	76995	65391	5592	1166	4846	43880	33747	18776	4222	4932	65855	39653
Chi phí khác###Other Expenses	139	228	2806	424	258	136	2041	20824	19684	64	539	575	9359	909	520	1308	10985	18712	422	1060	16676	420	8320	1013	1809	611	834	60317	53021	597	833	5577	7800	2074	226	4999	260	1582	271	498	290	107	3089	355	914	368	385	87803	976	68219	22	67	274599	4865	5607	263442	685	31247	21330	8424	1158	335	16672	13644	13616	44	3	45208	35206
Lợi nhuận khác###Other profits	116	-223	2246	1005	157	2991	-1953	-16139	-17604	173	602	717	3017	1387	485	5936	-4589	-9282	2260	486	-13955	2094	21558	5052	-1425	14114	193	-52314	-48207	898	251	-4649	-1571	-965	161	-1639	164	3321	1090	353	338	1903	1518	1698	-281	744	448	32231	8940	23359	1023	528	128820	35906	2501	89740	673	45748	44061	-2832	8	4511	27208	20103	5161	4178	4929	20647	4447
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	10785	-9589	17070	3499	6081	14335	-6870	75605	-31149	1964	97648	7266	97663	-10956	3333	98328	6805	10205	34983	4028	-11975	-12593	128952	30975	44216	34285	23300	122272	48499	107777	-20679	-9663	23461	6815	10046	5347	-4449	10498	-7048	145	49194	11237	7711	25732	7313	-22477	-656	23749	7032	6074	15738	6863	111012	45519	9339	82392	-26238	415	57075	-44025	-16127	3977	61041	21416	15885	15138	12191	47282	14568
Chi phí thuế TNDN###Corporate Income Tax Expenses	797	336	7407	1538	2007	3227	596	-7421	-912	800	-9138	1781	31846	838	655	27568	2717	4725	-3187	650	1444	5727	22406	7155	9117	6961	5450	29207	9686	1462	17812	113	8302	6025	341	0	0	10002	0	0	0	6128	-11715	-11096	-2	-82	225	6413	2647	981	2761	887	17192	5775	561	5903	105	972	635	142	41	399	2661	1415	442	0	0	4598	7623
Chi phí thuế TNDN###Corporate Income Tax Expenses	490	369	6314	1373	1746	2451	700	3872	-1472	742	2807	1746	32290	883	575	27782	2981	14279	2852	3472	2422	5290	29203	7565	9085	6973	5438	12530	10309	1469	420	197	7704	6091	436	143	217	13663	90	441	10292	6128	1615	1931	396	-123	266	7427	2516	981	2974	887	17192	10624	561	5903	105	972	635	142	41	399	2661	1416	443	211	0	4598	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	307	-33	1093	165	260	776	-104	-11292	560	58	-11945	35	-444	-45	80	-214	-264	-9554	-6038	-2823	-978	437	-6797	-410	31	-12	12	16677	-622	-8	17392	-85	598	-66	-95	0	-48	-3661	0	0	-123	0	-13330	-13027	-398	41	-41	-1014	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	10285	-10471	9432	2851	4405	11241	-9048	81622	-29819	404	106787	5158	68141	-10936	3084	71505	4441	879	38170	3379	-13418	-18320	110073	23820	35100	27324	17849	97139	38812	106315	-38491	-9776	15159	790	9705	5156	-4618	496	-7138	-296	39025	5110	19426	36828	7314	-22395	-882	17336	4385	5093	12764	5976	93820	34895	8778	76489	-26342	-558	56440	-44167	-16168	3578	58380	20000	15442	14926	12191	42684	6945
---Cac Chi So Tai Chinh---																																																																					
EBITDA	0.69	0.44	1.03	1.03	1.24	0.96	0.80	0.70	0.70	0.58	0.54	0.51	0.59	0.59	0.33	0.46	0.47	-0.02	-0.02	0.16	0.19	0.29	0.63	0.63	0.80	1.21	1.52	1.32	1.32	1.34	1.49	1.25	1.01	1.01	1.18	1.25	1.48	1.64	1.64	1.74	1.69	1.50	1.32	1.32	1.40	1.50	1.69	1.87	1.87	1.50	1.17	1.13	1.06	1.06	0.98	0.88	0.65	0.82	0.82	0.90	1.25	1.51	1.74	1.74	1.95	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	4.30	3.45	3.62	3.62	3.41	4.28	4.25	3.92	3.92	6.16	6.04	6.52	7.01	7.01	7.15	8.74	7.88	6.49	6.49	4.87	7.95	8.97	8.81	8.81	8.77	9.69	9.55	7.00	7.00	5.88	4.42	5.32	4.63	4.63	3.32	3.46	3.94	4.42	4.42	4.22	4.77	3.80	2.07	2.07	3.80	3.72	4.99	6.66	6.66	8.08	10.30	6.22	5.85	5.85	7.48	5.23	2.70	3.15	3.15	4.66	5.40	9.56	21.23	21.23	21.04	0.00	0.00	0.00	0.00
