CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q2 2006	 2005
Chi phí khác###Other Expenses	9	14	2525	179	7256	1232	10	7896	3402	5324	1471	191	3313	179	327	907	2315	2187	774	309	1614	81	2585	915	1227	282	636	24121	708	23076	210	127	118	55	134	53	50	7640	199	1	2121	98	26356	26591	9	5	226	243	117	103	1	21	594	540	52	0	3	702	322	36	1	342	294	98	38	2	155	461	0	0	0
Lợi nhuận khác###Other profits	59	43	596	-128	1172	364	238	-996	6888	-4595	-1339	-44	-2539	212	10	-2572	-193	-647	-48	516	-1405	289	1199	-62	1259	545	-533	867	-342	356	942	41	217	-25	-54	-49	-37	3201	1009	20	2218	-40	18686	18194	53	131	3888	3824	3160	312	213	139	2271	1359	-17	597	6	8937	8809	114	104	-94	168	55	80	82	-26	1357	0	0	194
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1527	1089	27487	15168	1349	4272	5413	44620	16534	13202	8801	5988	39689	9032	12611	12294	5644	31952	5339	5337	10396	10875	36003	7822	10267	12682	5245	15252	6431	3222	4496	1104	11519	5869	1847	3510	101	10644	7054	2782	276	69	11701	12520	-1644	318	19724	21807	12901	4310	1204	3136	18925	12811	3191	1786	946	22188	14617	94	4134	259	36085	7931	7882	15618	4664	53484	12192	11627	31522
Chi phí thuế TNDN###Corporate Income Tax Expenses	-477	535	9504	5307	710	931	1087	11883	6239	2665	1797	1201	8037	1666	2506	2518	1125	6618	1100	1103	2205	2178	8148	1873	2259	2793	1154	3512	1531	711	975	276	2959	1509	473	0	0	2810	0	0	0	17	2902	2776	-35	61	57	2691	1597	533	177	384	2434	1126	725	241	98	2586	2033	26	578	0	4978	1130	1003	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-477	535	9504	5307	710	931	1087	11883	6239	2665	1797	1201	8037	1666	2506	2518	1125	6618	1100	1103	2205	2178	8148	1873	2259	2793	1154	3512	1531	711	975	276	2959	1509	473	894	25	2810	1823	703	91	17	2902	2776	-35	50	2465	2691	1597	533	145	384	2434	1126	725	241	98	2586	2033	26	579	0	4978	1130	1003	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	2004	554	17983	9861	638	3342	4327	32737	10295	10537	7004	4787	31651	7366	10104	9776	4518	25334	4238	4235	8191	8697	27854	5949	8009	9890	4091	11741	4900	2510	3520	828	8560	4360	1374	2617	75	7834	5231	2079	185	52	8799	9744	-1609	268	17258	19115	11303	3777	1059	2751	16491	11685	2466	1545	848	19602	12584	68	3555	259	31106	6801	6879	15618	4664	53484	12192	11627	29967
---Cac Chi So Tai Chinh---																																																																							
EBITDA	-0.17	0.18	-0.05	-0.05	0.08	0.13	0.10	0.07	0.07	0.21	0.22	0.38	0.64	0.64	0.21	0.26	0.41	-0.15	-0.15	0.30	0.34	0.14	0.26	0.26	0.16	0.10	0.39	0.44	0.44	0.53	0.56	0.54	0.56	0.56	0.65	1.29	1.53	1.04	1.04	1.17	0.55	0.61	1.07	1.07	0.91	1.30	1.90	1.77	1.77	2.12	1.71	1.17	1.17	1.17	0.91	0.88	0.82	0.92	0.92	1.00	1.08	1.01	-0.08	-0.08	-0.11	-0.15	-0.16	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	15.00	13.50	14.83	14.83	15.99	14.34	15.22	16.23	16.23	16.42	17.17	17.46	19.73	19.73	15.87	16.14	16.95	16.24	16.24	13.15	12.89	13.12	12.31	12.31	12.23	12.31	12.23	11.27	11.27	11.11	10.64	7.17	5.58	5.58	5.13	5.58	5.96	6.45	6.45	5.37	8.02	6.02	5.39	5.39	8.22	4.70	6.63	9.28	9.28	11.27	16.39	8.71	8.30	8.30	8.43	6.53	4.46	5.03	5.03	6.61	6.72	10.09	23.29	23.29	25.49	24.66	34.93	24.50	0.00	0.00	0.00
