CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-8182	1268	7818	7582	-1418	-4505	1737	3367	5062	3286	-4891	-45	10025	7450	847	1597	459	3057	41363	592	-38185	-54	10402	4986	-452	-2578	1053	7259	2872	1387	523	2040	5440	2016	1825	-313	1784	9796	2893	18	1518	4031	18111	7740	3850	4491	5770	33896	24162	3147	3296	3033	7781	71696	14723
Thu nhập khác###Other incomes	72	206	4743	1508	3104	80	205	11711	360	11278	-1198	1503	1459	548	234	253	442	7646	6186	676	424	1617	1538	296	136	773	89	9011	142	253	7339	789	4049	35841	272	173	169	2592	698	684	706	327	5775	4725	233	619	190	1733	1158	426	310	346	21528	9335	6114
Chi phí khác###Other Expenses	71	234	927	85	349	95	287	5100	-21	4744	453	733	1028	208	376	80	368	3437	2650	982	672	433	1933	372	338	842	130	11262	518	501	8009	1461	2734	34202	506	182	195	2095	546	690	450	496	4816	3687	204	663	102	1378	971	150	151	106	9325	1793	3874
Lợi nhuận khác###Other profits	0	-28	3816	1424	2755	-15	-81	6611	380	6535	-1651	770	431	339	-142	173	75	4209	3536	-306	-248	1183	-395	-76	-202	-69	-41	-2250	-376	-247	-670	-672	1314	1639	-234	-9	-26	496	151	-6	255	-169	959	1038	29	-45	88	355	187	276	159	240	12203	7542	2240
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-8182	1240	11635	9005	1337	-4520	1655	9978	5442	9821	-6542	725	10456	7789	705	1770	534	7265	44899	286	-38433	1130	10007	4910	-654	-2647	1012	5009	2496	1139	-147	1368	5017	2755	1591	-1381	1758	10292	3044	12	1773	3862	19070	8778	3879	4446	5859	34251	24349	3422	3455	3272	23396	82158	18009
Chi phí thuế TNDN###Corporate Income Tax Expenses	1534	390	7612	2288	347	112	672	5385	3287	1285	9	294	3521	2365	235	931	0	1100	597	0	0	337	2824	1201	828	513	299	1036	348	316	99	222	3430	1893	719	226	0	2059	0	0	0	644	4182	2281	770	837	765	8238	6643	579	484	559	6322	26958	2994
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	390	3051	2288	347	112	672	5385	3287	1285	9	294	3521	2365	235	931	0	1100	597	0	0	337	2824	1201	828	513	299	1036	348	316	99	222	3430	1893	719	226	475	2059	949	376	319	644	4182	2281	770	837	765	8238	6643	579	484	559	6322	26958	2994
Chi phí thuế TNDN###Corporate Income Tax Expenses	1534	0	4561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-9488	1597	7898	8426	1655	-4018	1871	8178	3479	10179	-6551	771	8668	5550	930	1674	939	7326	44302	286	-38433	793	10822	3709	-1482	-3160	713	6400	2148	823	-246	1146	1587	862	871	-1607	1283	8234	2095	-365	1454	3218	14887	6497	3109	3609	5094	26014	17706	2843	2970	2714	17075	55199	15016
---Cac Chi So Tai Chinh---																																																							
EBITDA	0.28	0.21	-0.37	-0.37	-0.44	-0.10	0.16	0.23	0.23	0.40	0.26	0.15	-0.39	-0.39	-0.44	0.77	0.95	1.14	1.14	0.97	0.94	1.16	1.08	1.08	1.21	1.58	1.88	1.57	1.57	1.67	1.37	0.83	0.69	0.69	0.83	1.12	1.53	1.85	1.85	1.76	1.52	1.15	0.83	0.83	0.84	1.07	1.22	1.40	1.40	2.29	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	2.96	2.80	3.83	3.83	4.49	4.86	4.60	4.90	4.90	3.97	3.04	3.45	3.68	3.68	3.78	3.71	3.34	1.96	1.96	2.36	3.53	3.34	3.63	3.63	3.83	4.32	4.91	5.30	5.30	6.38	5.69	8.24	4.81	4.81	2.94	3.44	3.83	3.73	3.73	4.42	4.91	4.81	3.73	3.73	5.84	4.90	10.65	12.63	12.63	14.00	0.00	0.00	0.00	0.00	0.00
