CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	17598	2443	-8158	-12621	-7067	2765	2960	49002	35061	-5002	6138	1094	51629	51377	-2720	3018	3033	-4039	5118	-9597	1817	-848	39844	19229	2001	2704	1310	51037	46910	3206	-1226	2059	113130	134406	32323	-62879	8651	56534	169	-3248	-10377	29935	110382	52703	8234	34298	14967	86350	36153	14726	7154	23612	59719	30324	13836	-449	14117	81811	-2774	28473	10202	43878	47087	33746
Thu nhập khác###Other incomes	1490	409	38643	7230	1780	4270	376	3869	1694	321	262	1591	4379	723	784	438	2676	7598	708	1426	-1028	6583	22697	9106	4707	4146	4739	24216	6477	3083	9575	5068	55298	8680	34976	9236	2407	62421	45804	3106	9221	3645	56861	19547	15723	9706	11885	125691	32802	7569	78186	13188	69984	42333	8655	16635	1847	69642	54357	4010	6618	3360	20624	0
Chi phí khác###Other Expenses	1217	255	14595	15123	77	470	642	1214	614	215	218	167	5698	2349	3457	506	1212	2164	483	687	215	875	9823	3816	2285	2233	1479	20803	12422	2008	3680	2692	102470	39660	51271	3711	7829	62815	53613	1436	5185	1946	39423	19469	9276	6668	3970	135952	38348	5680	72229	15011	69856	41496	9057	14833	4141	61158	28149	4186	5074	21530	20128	0
Lợi nhuận khác###Other profits	273	154	24048	-7893	1703	3800	-266	2655	1080	106	44	1425	-1319	-1626	-2673	-68	1464	5434	225	738	-1244	5709	12874	5291	2422	1913	3260	3413	-5945	1075	5895	2376	-47173	-30980	-16295	5525	-5423	-394	-7809	1670	4037	1700	17438	78	6447	3038	7915	-10261	-5546	1889	5957	-1823	129	837	-402	1802	-2294	8484	26209	-177	1544	-18170	496	379
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	17871	2597	15889	-20514	-5364	6566	2694	51657	36142	-4896	6182	2518	50310	49750	-5393	2950	4497	1395	5344	-8858	573	4861	52718	24520	4423	4616	4571	54450	40964	4281	4669	4435	65957	103425	16028	-57354	3228	56140	-7640	-1577	-6340	31635	127821	52781	14681	37336	22883	76089	30607	16614	13111	21789	59848	31161	13434	1353	11823	90295	23434	28297	11745	25708	47583	34125
Chi phí thuế TNDN###Corporate Income Tax Expenses	3574	519	9891	1476	0	1313	539	10344	14141	0	1236	504	13803	0	0	590	899	447	384	0	261	826	11214	4904	885	923	914	11247	0	856	934	887	6659	6259	0	0	0	12162	0	0	0	6327	17248	4549	1161	5493	2288	9163	6188	3323	1311	2179	6239	3116	1343	135	1182	0	0	0	-2349	5141	13546	10263
Chi phí thuế TNDN###Corporate Income Tax Expenses	3574	519	9891	1476	0	1313	539	10344	14141	0	1236	504	13803	0	0	590	899	447	384	0	261	826	11214	4904	885	923	914	11247	0	856	934	887	6659	6259	0	-646	646	12162	-1528	-315	-1268	6327	17248	4549	1161	5493	2288	9163	6121	3323	2622	2179	6239	3116	1343	271	2365	0	0	0	0	0	13546	10263
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2349	5142	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	14297	2077	5999	-21990	-5364	5253	2155	41313	22001	-4896	4946	2015	36507	49750	-5393	2360	3598	948	4960	-8858	313	4034	41505	19616	3538	3693	3656	43203	40964	3425	3735	3548	59298	97167	16028	-56709	2583	43978	-6112	-1262	-5072	25308	110573	48232	13520	31843	20594	66926	24485	13291	10489	19610	53609	28045	12091	1082	9458	90295	23434	28297	9396	20567	34036	23862
---Cac Chi So Tai Chinh---																																																																
EBITDA	0.25	0.54	0.39	0.39	-0.01	0.09	0.14	0.23	0.23	0.30	0.38	0.68	0.49	0.49	0.66	0.90	0.91	0.83	0.83	0.69	0.15	0.16	0.08	0.08	0.20	0.59	0.89	1.15	1.15	1.20	1.27	1.15	0.61	0.61	0.76	0.71	0.92	1.07	1.07	1.14	1.18	0.96	0.94	0.94	0.87	0.81	0.95	0.84	0.84	0.95	0.91	0.95	0.96	0.96	0.86	0.92	0.84	0.83	0.83	1.01	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	4.20	4.10	4.60	4.60	4.40	5.00	4.89	4.98	4.98	4.26	3.71	4.23	3.81	3.81	3.81	3.81	3.98	4.49	4.49	3.89	5.25	4.04	3.71	3.71	3.55	4.17	4.52	4.49	4.49	4.61	3.85	4.93	2.51	2.51	2.23	2.95	2.90	3.00	3.00	3.08	3.40	3.96	1.89	1.89	2.51	2.42	2.83	2.98	2.98	3.29	4.11	3.67	3.60	3.60	4.06	3.38	3.10	3.79	3.79	4.76	4.00	0.00	0.00	0.00
