CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	 2008	 2007	 2006
Thu nhập khác###Other incomes	574	2564	730	810	510	514	8845	6640	699	657	849	21976	10252	18295	1202	257	3577	2290	329	340	273	8090	3221	1710	1835	1324	5658	1021	15728	10364	7042	27756	1717	9212	8385	8625	34651	11121	8830	5614	9086	35180	10225	9060	9721	6360	21180	5869	8687	4628	1933	25396	10327	11665	3481	28634	12681	13176
Chi phí khác###Other Expenses	0	402	86	9	15	1	735	87	8	149	42	4074	4479	7545	95	56	3	1	1	2	0	91	1	1	89	0	7	-1836	8353	5798	4920	14911	-571	4363	4835	6441	20629	4621	5198	4214	6595	21906	2920	7645	7299	4548	10055	298	6987	1891	1000	18951	6449	9999	2795	23249	3914	10681
Lợi nhuận khác###Other profits	573	2163	643	801	495	513	8110	6553	690	508	808	17902	5773	10750	1107	201	3574	2289	328	339	273	7999	3221	1708	1746	1324	5651	2857	7375	4567	2122	12845	2289	4849	3550	2184	14023	6501	3631	1400	2490	13273	7305	1415	2422	1812	11125	5572	1699	2737	933	6445	3878	1666	686	5385	8767	2495
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	7707	31061	13355	1342	6402	8737	26002	12290	2769	6928	4638	34822	15604	7584	2728	6937	30539	10869	5751	7149	7749	29612	15887	1837	7790	4098	15286	4349	3475	4462	2955	16855	3990	3108	5484	3309	17696	6483	3286	5684	2692	18926	5206	3641	5758	3428	17258	4077	4739	4803	2392	8209	2154	3116	1377	11066	10904	5942
Chi phí thuế TNDN###Corporate Income Tax Expenses	1735	5421	2512	531	767	1905	4822	1970	648	1596	958	6575	1849	2008	868	1733	6522	2137	1170	1461	1580	7409	4092	709	1686	921	3919	1296	769	1197	647	5823	1576	1017	0	0	4370	0	0	0	773	5699	2037	1909	1048	780	4676	2267	964	1002	716	1030	281	0	0	1397	1454	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	1735	5630	2376	630	1095	1520	4681	1842	653	664	1749	7623	1993	2008	1499	1733	6522	2137	1170	1461	1580	7409	4092	709	1686	921	3919	1296	769	1197	647	5823	1652	1017	2305	954	4314	1603	961	984	773	5792	2322	1822	985	780	4490	1082	964	1884	716	1008	259	476	181	1413	1468	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	-209	136	-99	-328	385	141	128	-5	932	-790	-1048	-144	0	-632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-75	0	0	0	57	-55	0	112	0	-93	5	0	64	0	185	0	0	-277	0	22	22	-349	0	4	-13	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	7326	29036	12806	399	5343	8297	22696	10939	2336	5332	3556	27756	15715	6355	141	5262	24372	8732	4581	5688	6169	22203	11795	1128	6104	3177	11368	3053	2706	3265	2308	11033	2414	2090	3179	2355	13325	4935	2325	4588	1919	13227	2879	1820	4710	2648	12582	2995	3776	3196	1676	7179	1873	2990	1196	9649	9450	5942
---Cac Chi So Tai Chinh---																																																										
EBITDA	0.63	0.59	0.59	0.40	0.11	0.28	0.31	0.31	0.35	0.36	0.06	-0.09	-0.09	-0.30	0.48	0.49	0.24	0.24	0.04	-0.49	-0.29	-0.23	-0.23	-0.13	-0.06	-0.05	-0.02	-0.02	-0.04	0.07	0.06	0.36	0.36	0.31	0.26	0.46	0.42	0.42	0.36	0.30	0.07	-0.19	-0.19	0.08	0.21	0.48	0.58	0.58	0.68	0.79	0.65	0.58	0.58	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	10.00	11.90	11.90	10.79	11.07	10.97	11.07	11.07	11.09	11.26	12.78	12.47	12.47	13.17	12.08	13.25	11.62	11.62	11.88	12.39	9.94	10.98	10.98	10.22	10.37	10.22	10.46	10.46	8.91	8.08	8.10	6.79	6.79	6.60	5.97	7.06	4.33	4.33	3.89	3.88	3.52	3.51	3.51	3.49	3.60	4.85	4.95	4.95	4.85	5.43	5.28	5.47	5.47	0.00	0.00	0.00	0.00	0.00
