CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Các khoản giảm trừ doanh thu###Deduction revenues	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	108	45	45	-4	23	279	8	0	272	4	208	0
Doanh thu thuần###Net Sales	146716	119048	563272	152893	148366	141050	123029	560144	143025	148713	141445	129015	518781	146311	135643	131435	105394	497132	138971	130578	125576	98102	437624	135579	112493	103357	86195	363533	113597	98468	84155	67314	297676	95546	70274	78665	55252	261287	81195	64351	64457	52434	233318	65696	63001	57533	47089	213923	52646	89386	45379	38134	154421	39582	42572	41091	31176	124472	33373	34857	31010	25207	96123	31185	24789	22851	17539	72107	41206
Giá vốn hàng bán###Cost of goods sold	110318	94180	430981	125721	116856	108024	94063	436541	107629	120885	115539	103013	409070	115184	109770	101678	79817	395774	114055	101233	100166	76160	345808	109816	85263	83676	67053	285935	92962	75794	65894	51285	228759	74650	55917	58847	41988	200985	63812	49493	50753	40714	183085	47031	43557	41105	33094	152015	36481	62846	31717	26949	108206	28738	28957	28774	21737	89082	24589	24309	22202	17909	54375	9780	5775	8688	4940	59912	23296
Lợi nhuận gộp###Gross profit	36397	24868	132291	27171	31510	33026	28966	123603	35397	27827	25907	26002	109711	31127	25873	29758	25578	101358	24916	29345	25409	21943	91817	25763	27231	19681	19142	77598	20635	22673	18261	16029	68917	20896	14357	19817	13263	60301	17382	14858	13703	11720	50233	18666	19444	16428	13995	61908	16165	26540	13661	11186	46214	10844	13615	12317	9439	35391	8784	10548	8808	7297	41748	21405	19014	14163	12600	12196	17910
Doanh thu hoạt động tài chính###Financial activities Revenues	223	275	835	-2009	2590	349	63	1238	153	570	397	118	565	980	65	242	79	1305	1413	167	548	658	2370	565	179	1154	315	3016	868	1255	737	157	3103	777	198	810	278	4007	865	361	1474	1014	5101	1553	574	640	1494	4764	1431	878	968	987	7887	1976	2564	2956	390	4432	1650	1391	732	300	7942	3157	575	648	3487	1934	244
Chi phí tài chính###Financial Expenses	410	473	2004	472	597	534	401	1987	660	169	592	298	1502	271	252	575	404	1723	511	418	360	435	392	-790	245	914	24	128	489	-399	29	10	29	-1046	7	16	4	590	-223	149	283	389	2818	1335	764	311	399	3110	182	1825	345	199	5277	1530	1025	1575	1147	3645	1	0	0	1	3679	2417	554	567	2269	753	7
Chi phí bán hàng###Selling Expenses	6917	7257	32102	9836	7877	7235	7019	27180	8849	7021	5587	5724	25433	5981	5139	7824	5049	22389	6597	4932	5894	4965	22425	7379	7566	3337	4143	17345	5801	4548	3759	3236	14187	5177	2428	4737	1922	14765	2976	2595	2630	2097	9666	2961	2266	2400	2040	7281	2066	2743	1250	1222	6289	1255	1913	1820	1300	4344	1506	1077	1108	773	5541	11384	10128	8482	2269	0	3327
Chi phí quản lý doanh nghiệp###Managing Expenses	16038	8599	55131	7385	11299	15224	9741	53573	12555	12738	9355	10455	40390	11193	14354	9140	9760	39658	7647	13746	8894	9317	36520	9146	11811	7728	7836	31610	7105	9054	9236	6215	36461	16255	5720	8579	5242	22007	8993	5537	5892	3506	17559	11027	10253	7149	6833	16599	6137	6508	5638	4019	14192	3704	4197	3687	2605	12210	3038	3717	4661	2377	17973	2149	3078	2395	2313	0	6503
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	13342	8811	44066	7483	14384	10438	11919	42304	13511	8524	10806	9732	43371	14765	6332	12590	10493	39260	11821	10476	10990	7909	35076	10660	7916	8886	7457	31532	8200	10835	5940	6701	21343	1287	6401	7295	6372	27248	6502	6937	6373	6743	25290	4897	6736	7208	6217	39682	9211	16341	7397	6733	28343	6331	9044	8190	4777	19623	5888	7145	3771	4447	22498	8611	5828	3368	9237	13376	8316
Thu nhập khác###Other incomes	-466	873	1683	636	369	648	30	2510	1369	413	151	577	2895	21	2383	461	14	1242	523	342	33	344	6376	4724	1284	88	279	388	335	11	19	22	468	313	122	181	3	974	816	104	9	45	316	73	39	15	189	121	14	90	8	9	420	51	67	24	278	541	62	59	129	325	189	276	19	36	38	184	24
