CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006	 2005
Doanh thu hoạt động tài chính###Financial activities Revenues	18644	18302	137492	93392	15755	14302	14043	54199	15076	15424	15497	8201	18489	2939	6376	5447	3727	13587	4006	3139	3680	2762	3566	3158	366	26	16	235	77	94	44	61	437	186	139	115	126	4997	32	1154	957	2510	2989	29641	521	808	356	4759	429	450	235	272	1469	1308	594	156	280	1341	223	-251	144	1226	1155	687	528
Chi phí tài chính###Financial Expenses	2178	17230	46523	13387	9994	12240	10902	44636	8834	16900	12361	6541	18671	1996	6176	5825	4675	8127	1612	2057	1990	2468	14010	3463	3982	3202	3363	22171	4584	5474	6016	6104	37252	7953	8640	8622	12066	63308	14377	12786	18099	18154	78808	24814	17923	17910	15262	43827	7251	12831	9160	5716	14974	5980	4562	10551	4423	19935	4666	4076	5791	1910	9285	14092	13352
Chi phí bán hàng###Selling Expenses	24729	26710	128026	38049	30784	32262	26930	143885	39700	34359	38360	31466	108194	34955	19162	27040	27036	82234	16056	25001	22054	19123	76813	20863	20534	22782	12615	115266	44754	21736	24323	24781	82665	25573	19292	18197	19603	66854	18720	17928	14414	16075	89189	33562	15575	9629	9136	67861	3604	14447	3173	9702	33478	11552	10334	3893	7530	36777	10276	13003	5599	7899	19753	14952	10004
Chi phí quản lý doanh nghiệp###Managing Expenses	9416	12265	46381	11248	11427	11078	12627	53724	14135	11000	14785	13804	53749	16648	12475	14284	10341	50166	9769	16101	13067	11229	40221	11069	14751	6447	7992	63208	10631	15318	20272	13532	55787	9003	11307	13315	10844	25875	6426	7275	7937	4337	30669	6149	6577	4993	5432	28695	6025	6195	5683	4243	18623	7762	4176	2625	3945	17888	3441	5523	2589	4448	14103	12006	9745
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	23718	9977	103757	94357	8079	1657	-335	20315	12815	-718	863	7354	88322	21710	23039	28615	14957	112614	44276	16765	26213	25361	78049	27061	11330	21864	17778	39416	6417	13671	12066	16086	38212	12702	10752	17183	3332	19884	10147	7508	-1142	3610	-32006	13902	9410	11724	16035	11846	14330	16653	12794	15673	73795	17036	15079	15753	14667	50552	13232	15263	15178	13041	46067	12208	9874
Thu nhập khác###Other incomes	284	77	2935	1132	1017	559	227	3366	268	220	2646	232	11117	-169	480	6704	4102	574	294	11	-269	538	1562	-347	1460	374	55	1354	292	116	221	726	2701	2154	987	338	806	2968	2026	404	822	255	3038	700	581	667	328	2627	914	559	1220	193	2539	948	500	800	292	2063	1268	259	384	152	1048	972	-1298
Chi phí khác###Other Expenses	69	236	1960	286	222	1240	212	3653	3332	15	110	195	1187	327	759	12	88	120	-4	66	45	13	169	26	29	109	5	510	87	554	-685	769	2483	2198	386	1534	77	3132	1422	476	1240	298	1910	1094	252	250	106	2771	1310	793	210	458	3344	2065	84	1094	101	1936	186	442	1124	185	1815	2693	0
Lợi nhuận khác###Other profits	215	-159	976	846	795	-681	16	-287	-3064	205	2536	37	9931	-496	-279	6693	4013	454	298	-55	-314	525	1393	-373	1431	265	51	844	204	-438	906	-43	218	-44	601	-1195	728	-163	604	-72	-419	-43	1128	-394	328	417	221	-144	-396	-234	1010	-264	-805	-1118	416	-294	190	127	1083	-183	-740	-33	-766	-1721	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	23934	9818	104733	95203	8874	976	-319	20028	9751	-513	3399	7391	98253	21214	22760	35308	18971	113068	44574	16710	25898	25886	79443	26688	12761	22128	17829	40259	6621	13233	12971	16043	38430	12659	11353	15988	4060	19720	10751	7436	-1561	3567	-30879	13507	9738	12141	16256	11702	13933	16419	13804	15409	60577	15918	15496	15459	14857	50679	14315	15080	14439	13008	45300	10487	8575
Chi phí thuế TNDN###Corporate Income Tax Expenses	4739	2073	17729	8500	3406	3455	2368	7330	4078	1747	535	969	23375	3177	7143	8578	4478	22919	8855	3367	5186	5511	18823	5812	2905	4896	5232	8559	1630	2715	1438	4490	8137	3629	2697	0	0	660	0	0	0	434	-57	0	973	395	1380	2	59	1689	133	1499	4139	920	1273	932	1130	4581	1432	1507	1443	1300	4593	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	4536	2311	17821	12258	3343	-283	2503	7100	3814	1757	-144	1673	23744	2090	6723	9367	5565	21612	6942	4121	4501	6048	17852	5277	3137	5322	4139	9811	2005	2242	2343	4223	11069	3629	2697	1784	7	847	405	6	2	434	0	0	973	395	1380	2	59	1689	133	1499	4139	920	1273	932	1130	4581	1432	1507	1444	1301	4593	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	203	-238	-92	-3758	64	3738	-135	229	264	-10	679	-704	-369	1087	420	-789	-1087	1308	1913	-755	685	-537	970	535	-232	-425	1093	-1252	-375	473	-905	267	-2931	0	0	96	154	-188	72	-1	145	0	-57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	19902	8389	85534	86750	5165	-2982	-3401	12861	5306	-1897	2864	5788	75451	17656	16184	27119	14492	90149	35718	13343	20713	20375	60620	20876	9855	17232	12597	31700	4991	10518	11533	11553	30292	9030	8656	14107	3899	19061	10274	7431	-1707	3133	-30822	13507	8765	11746	14876	11700	13875	14730	13671	13910	56438	14998	14223	14527	13728	46098	12884	13573	12995	11707	40707	10487	8575
---Cac Chi So Tai Chinh---																																																																	
EBITDA	0.13	0.11	0.60	0.60	0.87	0.83	0.97	0.66	0.66	0.76	0.88	0.84	1.54	1.54	1.59	0.64	0.56	0.80	0.80	0.68	0.60	0.65	0.39	0.39	0.44	0.40	0.54	0.75	0.75	0.94	0.81	0.59	0.46	0.46	0.66	0.98	0.89	0.99	0.99	0.73	0.74	0.59	0.26	0.26	0.49	0.39	0.71	1.19	1.19	0.99	0.69	0.63	0.49	0.49	0.68	0.74	0.90	1.08	1.08	-1.60	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	20.55	18.00	28.00	28.00	17.10	18.45	19.80	9.35	9.35	14.00	14.80	19.16	22.26	22.26	21.34	20.51	22.55	22.64	22.64	16.84	16.31	12.34	8.64	8.64	8.74	10.27	11.99	12.86	12.86	9.47	7.98	7.55	5.97	5.97	5.97	3.45	3.45	2.52	2.52	2.29	2.89	2.89	3.93	3.93	4.28	4.40	5.53	8.34	8.34	11.01	12.28	12.98	13.30	13.30	15.11	14.43	8.21	6.78	6.78	10.37	0.00	0.00	0.00	0.00	0.00
