CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	 2011	 2010	 2009
Thu nhập khác###Other incomes	3997	8	1016	10670	7	0	5	1469	4087	1	164	65	2475	172	246	-1266	1545	4810	1347	244	4627	0	26141	142	26148	-100	140	40451	48805	2802	7138	2701	181372	163049	18062	718	169	7261	24801	346	716	3003	4046	4495
Chi phí khác###Other Expenses	16328	97	856	34963	47	-1437	1740	7208	4	223	5713	232	25923	-11792	44	33108	1480	10968	23066	666	2413	968	550	143	46	389	164	5402	6131	3249	3719	2675	16727	9791	11473	-122	156	2924	2153	895	166	1368	1114	2197
Lợi nhuận khác###Other profits	-12331	-89	160	-24293	-40	1437	-1735	-5739	4083	-223	-5549	-167	-23448	11963	201	-34374	65	-6158	-21719	-422	2214	-968	25591	0	26102	-489	-24	35049	42674	-447	3419	26	164646	153259	6589	841	13	4337	22649	-549	550	1635	2932	2298
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	5101	1715	264490	99127	62500	122133	1221	12587	85	18728	2183	785	288579	287035	1093	30667	471	17769	31820	-8628	-16048	2717	24083	1562	17566	4964	483	37365	35496	473	1141	232	138079	53276	1626	2240	285	20136	-1086	3687	1858	53710	71384	37184
Chi phí thuế TNDN###Corporate Income Tax Expenses	48	1453	63460	22741	13255	31338	1021	4434	-1970	3583	1135	242	57219	55081	1	-81	416	10915	-1939	25	-224	2457	6057	1027	1270	3627	209	8959	7919	278	115	0	27581	14514	3	-42	0	9839	0	0	0	18691	13493	156
Chi phí thuế TNDN###Corporate Income Tax Expenses	48	1453	63460	22741	13255	30875	1483	4833	4308	3583	1135	242	57645	55081	1	58	416	10090	13	25	-224	2457	6057	1027	1270	3240	209	8959	7919	278	115	0	27581	14514	3	-42	42	9839	2138	1012	464	18691	13493	156
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	462	-462	-399	-6278	0	0	0	-426	0	0	-140	0	825	-1952	0	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	5042	258	200986	76377	49235	90782	195	8113	2044	15142	1048	542	231254	231943	1091	30739	49	7697	33759	-8653	-15825	260	17987	535	16296	1337	274	28177	27577	194	1026	232	110498	38762	1623	2282	243	10297	-3224	2676	1393	35019	57891	37029
---Cac Chi So Tai Chinh---																																												
EBITDA	0.10	0.41	-1.30	-1.30	-0.97	-0.25	-0.23	-0.17	-0.17	-0.13	-0.15	-0.12	0.42	0.42	-0.19	0.11	-0.42	-0.52	-0.52	-0.71	-0.47	0.08	0.35	0.35	0.55	0.95	0.88	0.90	0.90	1.04	0.89	0.67	0.94	0.94	0.33	0.48	0.45	0.19	0.19	0.19	-0.52	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	8.30	8.40	12.80	12.80	13.10	7.01	7.01	8.12	8.12	13.23	9.55	9.05	9.02	9.02	6.68	6.58	6.01	6.48	6.48	5.94	5.94	6.75	8.18	8.18	6.48	5.68	3.57	3.37	3.37	2.71	2.81	3.54	2.34	2.34	2.40	2.00	2.77	2.71	2.71	2.13	2.33	0.00	0.00	0.00
