CAN DOI KE TOAN	 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	 2005
Chi phí tài chính###Financial Expenses	5299	1480	5255	-3979	2825	3020	3389	7029	3527	3046	691	-235	15005	1340	3570	4287	5520	29055	9108	6118	11481	2269	39419	13129	7199	13758	4812	22405	7187	5429	6887	3979	10835	3642	2139	3779	1451	15320	10848	2717	1088	987	7704	4519	2497	1786	711	7964	2150	0	6196
Chi phí bán hàng###Selling Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	917	0
Chi phí quản lý doanh nghiệp###Managing Expenses	15247	3620	15509	6124	3425	2809	3194	9723	2882	1679	1713	2033	8532	2073	2271	2253	2137	15396	3513	3940	4462	3468	14174	3757	3336	4766	2567	16502	4925	3565	4465	3319	16054	4407	4337	2271	2919	10511	3664	2199	1963	2698	6960	4390	2357	1227	1130	4498	1550	1319	2843
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-3338	-1712	-54815	-39391	-4907	-5943	-4427	-58407	-14623	-26985	-4803	-8335	-5380	-1871	-732	-481	-3215	835	5	395	-1907	2968	-330	-777	5452	-3227	1469	15373	2307	3276	2035	9522	15443	5886	4691	5679	1492	10660	1908	3894	2814	3008	12508	7671	4952	3077	1876	8989	5005	1574	2455
Thu nhập khác###Other incomes	912	381	75177	74004	727	383	163	977	914	63	0	0	6616	1441	636	735	3803	1787	131	322	1177	0	3849	1023	0	2219	0	2153	1404	0	722	27	2000	-2	62	767	223	7289	13	200	6681	2	9686	9627	565	565	0	559	7	0	26
Chi phí khác###Other Expenses	4584	162	18838	17579	1240	9	1	236	209	27	0	0	600	50	0	569	0	1480	818	643	20	0	1548	112	93	1372	0	719	69	0	501	9	737	198	4	156	289	7229	117	95	6206	0	9219	9167	420	420	0	639	0	0	27
Lợi nhuận khác###Other profits	-3671	218	56339	56425	-512	374	162	741	705	36	0	0	6016	1391	636	165	3803	307	-686	-321	1157	0	2302	911	-93	847	0	1434	1334	0	221	18	1263	-199	58	611	-66	61	-104	105	476	1	467	460	145	145	0	-80	7	0	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-7010	-1493	1523	17034	-5419	-5569	-4265	-57666	-13918	-26949	-4803	-8335	636	-480	-95	-316	589	1142	-681	75	-750	2968	1972	134	5360	-2380	1469	16807	3642	3276	2256	9540	16705	5686	4749	6289	1426	10720	1804	3999	3289	3009	12975	8131	5097	3222	1876	8909	5012	1574	2455
Chi phí thuế TNDN###Corporate Income Tax Expenses	1741	-624	0	0	0	0	0	0	0	0	0	0	135	-120	-35	0	0	301	0	0	0	742	194	-226	661	-367	367	4091	906	819	334	2385	6255	1578	1615	2675	356	1495	252	560	460	421	1829	1138	714	451	262	1248	701	220	690
Chi phí thuế TNDN###Corporate Income Tax Expenses	43	-624	0	0	0	0	0	0	0	0	0	0	135	-120	-35	-91	147	301	23	13	-282	742	194	-226	661	0	367	4091	906	819	334	2385	5869	1578	1615	2675	356	1881	252	560	460	421	1829	1138	714	451	263	1248	702	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	1698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	386	0	0	0	0	-386	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-8751	-869	1523	17034	-5419	-5569	-4265	-57666	-13918	-26949	-4803	-8335	501	-360	-60	-224	441	841	-704	62	-468	2226	1778	360	4699	-2380	1102	12716	2735	2457	1921	7155	10450	4109	3134	3614	1069	9225	1551	3439	2829	2588	11146	6992	4384	2771	1613	7661	4310	1574	1765
---Cac Chi So Tai Chinh---																																																			
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	0.80	3.00	2.40	2.40	3.60	3.60	5.50	5.70	5.70	8.00	5.29	8.65	5.87	5.87	4.81	4.23	4.71	4.23	4.23	4.13	5.10	4.62	3.56	3.56	5.52	6.14	8.62	10.88	10.88	16.55	17.92	15.67	16.29	16.29	15.22	7.98	5.77	5.73	5.73	6.75	6.90	11.32	23.84	23.84	21.00	24.36	33.73	14.86	14.86	0.00	0.00
