CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006	 2005
Thu nhập khác###Other incomes	14988	8008	39881	38593	4	1263	21	5566	5510	0	5	51	6638	339	168	681	5474	5595	1715	1767	1659	454	2942	1214	826	591	311	1251	430	322	254	245	10066	7332	1752	954	27	572	351	46	126	48	1804	78	443	1118	165	506	211	86	40	0	141	45	0	95	0	384	310	0	69	5	1003	333	634	3	0
Chi phí khác###Other Expenses	501	0	1317	0	1317	0	0	2820	25	28	29	2738	5025	704	2995	1425	171	1782	208	257	1317	0	14011	9954	1000	2443	615	9179	4090	2543	2545	1	1863	1519	17	26	300	3983	3972	11	0	0	364	245	3	106	10	849	5	551	2	5	1	1	0	1	0	112	105	5	1	1	148	-2	68	3	0
Lợi nhuận khác###Other profits	14487	8008	38564	38593	-1313	1263	21	2746	5485	-28	-24	-2687	1613	-365	-2827	-743	5303	3814	1507	1511	342	454	-11069	-8740	-174	-1851	-304	-7927	-3660	-2221	-2291	244	8203	5813	1735	928	-274	-3411	-3621	35	126	48	1440	-167	440	1012	155	-343	206	-465	38	-5	139	45	0	95	0	272	204	-5	69	3	855	334	566	1	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	7147	2856	20085	12355	2553	3996	1181	25015	5571	2190	5849	11404	21785	3285	3004	3570	11925	31655	14178	9092	4600	3784	23799	17632	2618	1591	1957	8655	1905	1543	2765	2442	5731	9048	189	-3950	444	11664	8965	1911	237	551	11280	12793	5953	1090	5986	27679	8342	5573	6595	7501	15724	4136	2658	5270	3659	11927	4089	3502	2150	2198	7915	2825	5045	1801	2826
Chi phí thuế TNDN###Corporate Income Tax Expenses	2991	1602	7971	6748	1223	0	0	4925	660	852	980	2433	1877	-1145	795	386	1841	15104	8976	1796	3644	688	16647	14546	767	989	345	3848	1662	764	998	424	1596	1596	0	0	0	6765	0	0	0	13	2768	6	1359	291	1489	7306	2411	1394	1637	1876	3877	991	660	1313	912	3312	1147	975	589	604	2223	790	0	230	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	2991	1602	7971	6748	1223	0	0	4925	660	852	980	2433	1877	-1145	795	386	1841	15104	8976	1796	3644	688	16647	14546	767	989	345	3848	1662	764	998	424	1596	1596	0	-226	226	6765	6214	485	52	13	2768	6	1359	291	1489	7306	2411	1394	1637	1876	3877	991	660	1313	912	3312	1147	975	589	604	2223	791	1413	230	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	4156	1254	12113	5606	1330	3996	1181	20090	4911	1338	4869	8972	19908	4430	2209	3184	10084	16551	5203	7295	956	3096	7152	3087	1851	602	1612	4808	243	779	1767	2018	4135	7452	189	-3725	219	4899	2751	1425	185	537	8513	-243	4595	799	4497	20373	5932	4179	4958	5625	11847	3145	1997	3957	2747	8614	2941	2527	1561	1594	5693	2034	3632	1570	2429
---Cac Chi So Tai Chinh---																																																																			
EBITDA	0.41	0.85	0.15	0.15	-0.18	0.26	0.12	0.22	0.22	0.27	0.11	0.18	-0.03	-0.03	-0.40	-0.36	0.62	0.65	0.65	0.72	0.41	0.81	0.66	0.66	0.60	0.74	0.93	1.24	1.24	1.57	1.57	1.38	1.08	1.08	0.67	0.60	0.57	0.61	0.61	0.62	0.63	0.95	1.07	1.07	1.19	1.54	1.52	1.65	1.65	2.11	1.80	1.25	1.09	1.09	0.71	0.72	0.90	1.05	1.05	1.22	1.34	1.28	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	4.48	6.10	5.81	5.81	5.81	6.77	7.11	8.14	8.14	9.00	10.46	13.24	13.55	13.55	13.94	19.03	17.08	11.68	11.68	14.38	11.33	7.89	7.17	7.17	6.49	4.67	3.87	4.16	4.16	3.48	3.28	4.21	2.55	2.55	1.52	1.86	2.25	2.16	2.16	2.20	4.02	4.36	2.64	2.64	4.41	4.90	7.10	8.82	8.82	11.90	12.58	12.23	10.89	10.89	10.56	4.71	3.99	3.11	3.11	3.99	3.35	5.73	15.30	15.30	0.00	0.00	0.00
