CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006
Giá vốn hàng bán###Cost of goods sold	1348429	893899	8191446	3209932	1867443	1981126	1462486	8520971	2893751	1914351	2121052	1576717	9129593	3420471	2116959	1796509	1750267	7109844	2565154	2017634	1682567	994740	6756050	2487392	1692820	1456377	1267962	7371250	2539300	2106441	1719150	1388345	9659202	2460839	2334197	2830207	2169985	10797639	4469227	1886342	2305384	2188860	11902382	4533133	3220822	2885933	2248920	12873130	5785599	3236484	2482406	2399650	11249788	4661863	2028967	2852044	1857268	8640902	3089406	2616012	2767492	6085549	5118609
Lợi nhuận gộp###Gross profit	184441	106606	1310867	401375	426220	302002	198161	1210026	446830	307559	273073	188022	1767922	807092	318552	351465	290813	1437997	439636	355203	323974	244185	1270154	391176	316971	294392	225014	1005220	305644	244217	249084	199546	1444946	461027	366526	385433	336900	1867794	487812	331337	513922	429315	2553665	999368	568444	477077	334330	2189366	565308	516676	654959	429071	1767379	736269	344358	388393	249916	710760	133979	293115	374871	962002	588079
Doanh thu hoạt động tài chính###Financial activities Revenues	59012	678333	249904	81832	68934	48568	43860	259460	84303	54453	65494	54404	1015000	798099	124122	42071	50708	198609	85171	37747	36906	33561	359611	39221	125951	85885	67937	192966	45070	53028	47353	24612	408813	175846	59327	4933	175025	417786	149369	180842	68053	149478	833055	30816	228138	180353	347836	924318	251689	339308	127209	137712	409051	63954	190722	54301	36324	302226	130538	121557	124954	124919	83988
Chi phí tài chính###Financial Expenses	62710	89186	313001	82224	97897	62710	70128	293649	70629	70495	87221	66588	305981	88402	73886	73036	70657	290316	72262	81624	70657	79359	419901	112625	100225	101965	95021	299920	68803	65010	54606	49951	839629	70500	202784	163328	241602	1096755	290982	417772	219913	344356	1917207	339342	402327	307876	480523	1324964	214134	517165	287780	221328	687181	251820	124208	174310	88571	286238	89049	122795	117638	249555	216411
Chi phí bán hàng###Selling Expenses	7287	21700	80374	19922	24954	22777	13437	75571	29647	15828	19822	10274	99649	21189	33602	23892	20966	47033	10249	16644	10681	9392	41393	7829	10249	6109	15973	54016	11279	14623	16847	10282	188488	40527	52844	61190	51792	235380	69940	51783	59344	52848	218889	87692	55395	40933	33046	412785	92195	85207	172932	93593	336032	127832	88999	92833	52215	97698	34286	26704	41936	60140	49679
Chi phí quản lý doanh nghiệp###Managing Expenses	-220867	573848	444972	96812	140884	100867	83037	445121	174687	85102	128331	85605	533216	216809	108144	111505	96758	495933	188556	94843	112245	86448	452285	71304	127531	131307	86856	526656	200325	90234	128518	94194	516515	179034	104489	17319	119932	798989	198081	158394	198819	150819	923639	263064	162260	175365	163324	766879	276345	168392	208015	116647	597995	219286	95364	165757	92691	485535	183040	124905	149266	354389	288339
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	422667	100923	863600	307128	270773	202562	114257	744682	291010	201109	131596	100592	1940683	1284553	274560	221585	159985	812189	224763	220741	178234	112671	556800	147700	128935	126197	103320	408407	124944	128148	104839	84408	309128	346813	65736	148529	98599	155560	78178	-115770	103900	30770	310758	340085	176601	133255	5273	707460	234324	85221	113441	135215	555222	201286	226509	9794	52764	143515	-41857	140268	190986	422838	117638
Thu nhập khác###Other incomes	-5059	22121	138735	25186	26954	72720	8807	93711	62799	15458	16324	4662	82371	43958	10465	11662	16286	82596	53748	60994	-66	19810	87526	82648	27582	11402	9200	234378	25422	12675	76633	81893	435138	39199	9503	29288	12108	107544	64796	14404	16637	7535	110991	56371	66791	69286	14802	161178	19427	64066	15024	41613	180240	10117	-68428	156118	6129	447842	303169	33616	35982	81125	59125
Chi phí khác###Other Expenses	-13938	16100	37071	23180	5806	5148	5219	45586	13328	3940	10198	7872	71565	46693	10211	3177	11483	57931	27160	62944	-2784	16381	41357	62110	6257	5249	4634	210210	24865	10814	10588	165762	61606	17457	2840	24770	4017	69440	35311	5674	6923	5101	33795	11777	6677	8063	6452	127822	50046	5035	5886	27207	579554	-124716	16348	121002	762	17260	7697	4914	5336	39254	21927
Lợi nhuận khác###Other profits	8879	6021	101664	2007	21148	67572	3588	48125	49471	11518	6125	-3209	10806	-2736	254	8485	4803	24665	26588	-1950	2718	3429	46168	20538	21325	6153	4566	24168	558	1861	66045	-83869	373532	21742	6662	4518	8091	38104	29486	8730	9714	2434	77196	44594	60115	61223	8351	33355	-30619	59031	9138	14405	-399314	134833	-84776	35116	5367	430582	295473	28702	30645	41871	37198
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	431546	106944	965264	309134	291921	270134	117845	792808	340481	212627	137722	97383	1951490	1281817	274814	230070	164788	836853	251351	218791	180952	116099	602968	168238	150259	132350	107887	432575	125502	130009	170883	539	713013	505540	77995	58271	85887	193664	138234	-94320	109852	51403	387954	818698	434968	219320	27879	740816	232441	159009	153782	171145	191417	358121	145604	55441	61698	596266	245197	190679	244877	476311	154836
Chi phí thuế TNDN###Corporate Income Tax Expenses	82258	43102	178633	62411	39237	57539	18423	156063	72684	27270	25843	26817	322351	275570	15090	14683	17008	124228	74618	18440	14429	8389	79341	49741	25892	5433	7521	56345	20049	4414	15613	10734	190092	123972	27660	12907	0	113221	0	0	0	26060	285356	103139	66414	35212	29002	274746	105760	59684	52399	51579	-12068	42744	65198	37065	15400	50638	25969	-761	0	42037	30425
Chi phí thuế TNDN###Corporate Income Tax Expenses	83645	42033	178376	65915	37642	57547	17155	154874	73149	26790	22686	27420	292211	249277	13097	13818	16019	115621	73310	14126	13757	6871	57324	35525	4941	7239	5785	60805	18538	9259	12853	8462	70519	28962	14611	10847	7608	94453	38403	-1986	33920	25464	243907	113487	73436	32365	27433	284001	98380	62349	60086	58573	256727	114405	65198	37065	15400	73943	25969	20947	30897	41891	30425
Chi phí thuế TNDN###Corporate Income Tax Expenses	-1387	1070	257	-3504	1595	-8	1267	1189	-465	480	3157	-603	30140	26293	1993	865	989	8607	1308	4314	672	1518	22017	14216	20951	-1806	1736	-4460	1512	-4845	2761	2272	119574	95010	13049	2060	5424	18768	11372	13239	-544	596	41449	-10348	-7022	-1572	1569	-9255	7381	-2665	-7687	-6994	-268795	-71661	0	0	0	-23305	0	0	0	146	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	368919	60786	889682	275775	318667	231402	110207	782232	314398	229674	111879	92958	1916894	1189075	277063	269541	181215	925664	176733	200351	166522	107710	656681	118498	124368	126916	100366	441332	105453	125595	155270	-10196	522921	381568	50335	45364	72856	80443	88459	-105572	76476	25342	102598	280591	173116	188527	-1122	466069	126680	99325	101382	119566	203485	315376	80406	18375	46298	545628	219228	169732	213979	434274	124411
---Cac Chi So Tai Chinh---																																																															
EBITDA	0.19	0.29	0.28	0.28	0.39	0.77	0.83	0.81	0.81	1.13	1.16	1.67	2.30	2.30	1.90	2.69	3.13	3.05	3.05	2.97	1.74	1.57	1.58	1.58	1.71	1.79	1.86	1.84	1.84	1.80	1.93	2.23	2.37	2.37	2.46	1.96	1.85	1.43	1.43	1.42	1.51	1.64	2.00	2.00	1.70	1.60	1.40	1.40	1.40	1.71	1.75	1.60	1.53	1.53	1.26	1.26	1.07	1.06	1.06	1.85	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	26.20	24.50	26.90	26.90	26.20	26.10	26.80	21.54	21.54	18.30	15.34	21.75	20.26	20.26	18.53	18.41	13.59	11.61	11.61	13.51	12.22	8.31	9.21	9.21	9.21	11.08	9.75	9.90	9.90	11.00	9.91	12.34	7.64	7.64	6.58	8.78	8.33	6.43	6.43	5.75	8.63	8.93	6.74	6.74	9.61	10.29	15.97	18.69	18.69	19.53	23.40	27.13	28.14	28.14	31.39	14.92	8.30	8.30	8.30	12.76	0.00	0.00	0.00
