CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Doanh thu thuần###Net Sales	32676	41151	1284093	316656	246869	362944	523191	1172595	534061	311986	403582	206829	857674	718465	40265	55515	47517	191636	116519	57273	-614	18660	121581	46589	48715	116748	36835	183890	114446	27727	27079	14638	68330	11726	15383	7758	27467	116361	28610	66457	27457	35171	333344	103114	66457	101168	77344	241264	54386	76679	67554	42645	251256	84984	64643	67977	33920	225891	138818	102242
Giá vốn hàng bán###Cost of goods sold	67306	31347	997456	299047	198276	266442	383695	883902	406196	217817	330482	180225	625855	507116	33050	50184	38145	137259	101519	47942	4818	6824	65742	36887	39913	73483	30755	138868	98483	15947	20101	4337	45708	10070	7988	-823	20510	69252	21107	48770	15687	23149	269915	88196	48770	70928	60505	198660	52781	60072	54206	31648	203528	73020	53655	51416	26219	189344	121088	94712
Lợi nhuận gộp###Gross profit	-34630	9804	286638	17610	48593	96502	139496	288693	127865	94169	73100	26604	231818	211349	7215	5331	9372	54378	15001	9331	-5432	11836	55839	9701	8802	43265	6079	45022	15963	11779	6978	10301	22622	1656	7395	8581	6957	47109	7503	17688	11770	12022	63429	14918	17688	30240	16839	42605	1605	16607	13348	10997	47729	11964	10989	16561	7702	36546	17729	7530
Doanh thu hoạt động tài chính###Financial activities Revenues	1202	277	24220	43125	909	25691	2051	6137	1487	717	1815	1491	7528	4696	53	778	65	387	303	24	-787	845	1320	6	65	282	966	26893	14364	130	5528	6872	3164	17543	345	846	1805	14876	5770	488	5711	1753	16368	2656	488	10359	2605	44732	10710	11500	3513	18933	13063	10375	691	798	1199	4170	856	29
Chi phí tài chính###Financial Expenses	14302	5454	88694	61137	23201	20104	37300	126500	38907	69398	33115	4629	73566	51621	1891	70	1394	15438	5674	2464	2469	5890	14108	3464	529	6129	3994	14280	6036	1121	1397	5726	55858	19177	7010	41899	6113	39669	7998	9780	13017	8771	50520	10932	9780	25646	8237	23223	10754	5493	3655	3202	5525	1626	1633	696	1570	10430	3339	0
Chi phí bán hàng###Selling Expenses	79	656	139354	7688	1229	50383	70721	39025	27573	1001	332	0	1168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-384	384	0	0	0	-747	747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chi phí quản lý doanh nghiệp###Managing Expenses	8087	6082	32601	7081	7529	3041	3932	9030	5352	3924	3074	2690	34831	43918	2386	3405	1475	13502	1563	2046	1039	3231	26969	4518	4024	7643	2866	15743	4739	1930	4356	1654	12310	2229	3959	4976	1393	13593	2475	5672	4434	2119	21754	4480	5672	6046	4796	17931	5446	4327	3978	4069	10642	3869	2410	2563	1801	6743	5009	3732
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-61869	-931	73935	1654	20175	47736	30525	131753	78597	12390	37671	22793	125529	125716	3514	2148	6568	22306	9256	5798	-10958	2261	10618	279	2897	28431	-1155	41892	18334	7625	5650	8404	-42382	-2206	-3229	-37065	872	6172	2800	2724	777	2138	7523	2162	2724	8907	6411	46183	-3885	18287	9228	22660	44625	16844	7637	14101	5531	23543	10237	3827
Thu nhập khác###Other incomes	2169	3500	11226	9062	5648	1307	698	25277	7210	19300	4067	62	62	41	20	0	0	523	365	66	91	0	9654	8955	238	-24091	24550	5682	0	5289	391	2	3193	1561	91	215	1326	6331	0	1820	9	0	2949	1330	1820	5	9267	13640	12861	84	522	173	2903	1	24	2758	0	2553	5837	884
Chi phí khác###Other Expenses	-20	626	7359	1795	2150	4879	2	6588	712	3447	5862	0	253	7	37	209	0	1093	544	20	287	16	7348	6518	14	-16311	17107	6012	471	5289	301	-49	2547	856	0	745	618	5978	0	557	17	0	981	0	557	0	1511	6169	5746	28	288	108	3005	0	7	1967	0	2092	1450	701
Lợi nhuận khác###Other profits	2190	2874	3868	7267	3498	-3572	696	18689	6498	15853	-1795	62	-191	35	-17	-209	0	-570	-179	46	-196	-16	2306	2437	225	-7780	7443	-330	-471	0	90	51	646	705	91	-530	708	352	0	1263	-7	0	1968	1330	1263	5	7756	7471	7115	56	234	65	-102	1	17	791	0	462	4387	183
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-59679	1943	77802	8921	23673	44164	31221	150442	85095	28243	35876	22855	125338	125751	3497	1939	7048	21735	9077	5844	-11154	2245	12923	2716	3122	20651	6288	36619	17864	7625	5740	8454	-46867	-1360	-4524	-39641	939	6524	2800	3988	770	2138	9491	5939	12152	8912	14167	53653	3230	18343	9463	22726	44523	16845	7653	14892	5531	24005	14624	4010
Chi phí thuế TNDN###Corporate Income Tax Expenses	-649	1103	9054	1047	12985	6604	5528	36067	17687	8240	13724	5262	31477	31029	305	35	503	5109	431	515	-2188	834	1248	413	316	713	2534	3736	427	194	1343	601	1698	527	855	441	0	2817	0	0	0	708	2279	1366	1410	-3038	3542	6362	-1102	2028	2048	3389	7565	2641	1339	2282	1260	6689	3683	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-936	1080	15027	1047	12985	6604	5528	39375	17687	8240	13724	5262	29465	27705	702	555	503	1556	480	596	193	564	3490	393	283	809	2534	2565	427	862	676	601	2629	471	855	497	788	2521	812	1410	167	708	4126	1366	1410	3414	3542	6362	-1102	2028	2074	3389	7565	2641	1339	2592	1260	6646	3726	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	287	23	-5973	0	0	0	0	-3309	0	0	0	0	2012	3324	-397	-520	0	3553	-48	-81	-2381	270	-2241	20	33	-96	0	1171	0	-668	668	0	-931	56	0	-56	0	296	0	0	272	0	-1847	0	0	-1812	0	0	0	0	0	0	0	0	0	0	0	43	-43	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-58938	936	75307	7874	10847	36501	26751	117768	70593	20315	22152	17593	96147	94632	3193	2615	7211	18223	8645	5329	-8966	1410	15205	2303	2806	19938	3754	35573	17437	7431	4397	7853	-48565	-1887	-5379	-40082	150	3707	1988	2577	331	1430	7212	2126	2577	7309	10625	47291	4332	16315	7388	19336	36957	14204	6314	12300	4271	17316	10941	4010
---Cac Chi So Tai Chinh---																																																												
EBITDA	0.56	0.66	0.79	0.79	0.39	0.13	0.32	0.34	0.34	0.45	0.65	0.66	0.51	0.51	-0.13	0.22	0.58	0.55	0.55	0.79	0.21	0.36	0.20	0.20	0.30	0.66	1.29	1.41	1.41	1.45	1.26	0.57	0.24	0.24	0.32	0.55	0.79	0.94	0.94	0.89	0.91	0.70	0.63	0.63	0.89	1.07	1.51	1.94	1.94	2.39	2.42	2.57	2.86	2.86	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	5.19	3.90	8.23	8.23	8.97	8.79	7.95	6.10	6.10	6.26	6.01	6.17	7.39	7.39	7.20	6.01	4.66	5.13	5.13	4.39	4.55	4.12	3.86	3.86	4.23	4.18	4.18	3.48	3.48	3.43	2.30	3.00	1.82	1.82	1.39	1.61	1.71	1.93	1.93	1.82	3.11	3.32	3.59	3.59	4.60	5.41	7.50	10.92	10.92	11.47	15.35	13.83	13.14	13.14	0.00	0.00	0.00	0.00	0.00	0.00
