CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	 2007	 2006
Thu nhập khác###Other incomes	29	708	674	608	0	28	38	3188	1250	25	1900	14	5113	1463	176	3745	0	861	7	161	653	40	9237	4810	1693	2206	1364	3752	1121	191	391	457	1362	297	281	610	162	1566	794	391	257	295	2751	2826	225	343	154	1560	900	169	249	242	1375	999	83	146	147	1903	3091	2809
Chi phí khác###Other Expenses	7	702	1741	1282	4	449	6	2541	1709	284	547	0	238	225	145	139	0	996	-147	623	89	431	556	963	158	107	0	717	473	53	11	106	682	329	198	21	133	2148	78	683	34	1353	2723	2254	221	106	142	251	123	115	13	0	188	53	26	75	30	2874	1322	3344
Lợi nhuận khác###Other profits	22	6	-1066	-673	-4	-421	32	648	-459	-260	1353	14	4875	1239	30	3606	0	-135	154	-462	564	-391	8681	3847	1535	2099	1364	3035	648	138	380	352	680	-32	83	589	29	-582	716	-292	223	-1058	27	572	5	236	12	1309	777	54	236	242	1187	946	56	71	117	-971	1770	-535
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	4249	-1610	16159	6955	4847	2846	2019	17791	11660	3073	1043	2015	15342	-3675	5647	7853	4201	27895	11155	3642	8703	4503	31188	11897	3836	9986	5605	26614	6927	5727	8433	5450	33176	15695	5462	8688	3491	21665	8175	5329	5532	3708	17688	7157	3543	3760	4023	15948	5871	3342	3060	3638	11706	2069	3598	4807	1557	9730	6996	4207
Chi phí thuế TNDN###Corporate Income Tax Expenses	435	121	2113	209	969	563	473	4965	3224	752	565	424	4315	743	1129	1566	876	5689	2233	740	1765	987	6605	2845	623	1903	1250	5994	1483	1302	1857	1253	15465	10935	1415	0	0	5333	0	0	0	1011	4743	2004	668	1265	1006	4042	1469	877	777	909	2961	483	957	1119	388	1449	917	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	435	121	2113	209	969	563	473	4897	3224	752	542	379	4209	743	1129	1566	770	5288	2149	665	1669	907	5822	2308	378	1910	1243	5963	1475	1294	1834	1245	15358	10926	1407	2231	835	5369	1726	1228	1620	1002	4943	2004	668	1265	1006	4042	1469	877	777	909	2961	483	957	1119	388	1449	917	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	68	0	0	22	45	106	0	0	0	106	401	83	75	96	80	783	538	245	-7	7	31	8	8	23	8	106	9	9	18	71	-36	9	9	9	9	-199	0	0	-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	3814	-1731	14046	6746	3877	2283	1546	12826	8436	2321	478	1591	11027	-4418	4517	6287	3324	22206	8923	2902	6938	3517	24583	9052	3213	8083	4355	22696	5444	4425	6576	4197	17712	4760	4047	6439	2585	16332	6439	4092	3903	2684	12945	5153	2876	2503	3017	11906	4402	2465	2283	2728	8745	1586	2641	3688	1169	8281	6079	4207
---Cac Chi So Tai Chinh---																																																												
EBITDA	0.01	0.31	1.16	1.16	0.99	0.63	0.24	0.19	0.19	0.11	0.03	0.09	-0.37	-0.37	-0.33	-0.13	1.01	0.83	0.83	0.85	-0.08	-0.10	-0.09	-0.09	-0.02	0.21	0.14	0.27	0.27	0.18	0.22	0.16	0.88	0.88	0.80	0.70	0.81	0.69	0.69	0.61	0.61	0.75	0.86	0.86	1.14	1.26	1.42	1.48	1.48	1.64	1.39	1.02	0.96	0.96	0.75	0.81	1.02	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	9.00	9.70	9.90	9.90	9.90	11.60	10.31	9.21	9.21	9.58	10.95	11.39	10.80	10.80	10.29	10.12	10.71	9.84	9.84	11.09	12.91	10.40	9.41	9.41	8.27	8.48	9.03	8.78	8.78	7.81	7.07	7.76	5.82	5.82	5.21	4.55	4.73	3.42	3.42	3.19	3.08	4.17	1.89	1.89	2.61	3.06	3.13	4.15	4.15	5.64	7.39	5.77	6.15	6.15	6.83	3.39	2.59	0.00	0.00	0.00
