CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	 2007	 2006
Giá vốn hàng bán###Cost of goods sold	6102	1129	48290	7845	21135	17092	2218	43918	8710	17538	14188	3481	44154	6641	22423	12261	2829	42190	8578	16760	14196	2656	39639	6890	13395	16701	2653	38096	6538	15423	13677	2459	39078	6879	14540	14920	2739	34591	6621	11590	14188	2192	31845	5864	11007	14974	2306	29406	6612	9373	11816	1606	25897	6450	8564	8626	2257	25015	5729	8537	10748	19699	19021
Lợi nhuận gộp###Gross profit	1054	391	8723	1993	3635	2358	738	8496	1778	3586	2159	996	8914	1627	4556	1951	781	8054	1879	3227	2289	660	8541	1770	2909	2976	887	8554	2092	3418	2259	785	7838	1484	3059	2537	759	6563	1436	2515	2115	497	6481	1403	2437	2642	428	5486	1269	2013	1913	291	5131	1185	1860	1528	558	5061	1037	2000	2023	4088	3311
Doanh thu hoạt động tài chính###Financial activities Revenues	158	3	500	298	100	99	4	377	197	61	73	46	364	134	26	163	41	421	146	33	183	59	515	127	80	179	129	567	267	94	106	87	1854	156	267	58	1372	1046	213	299	271	242	878	269	255	354	190	795	195	274	169	158	821	146	294	189	192	723	186	255	282	73	0
Chi phí tài chính###Financial Expenses	51	53	219	112	67	136	75	581	272	64	78	166	659	252	141	113	153	793	209	126	172	286	824	240	189	169	225	554	332	95	68	70	385	102	59	232	0	66	7	8	21	7	31	3	11	40	7	198	8	80	47	19	188	25	75	64	24	121	20	41	59	115	0
Chi phí bán hàng###Selling Expenses	776	193	5368	1719	1942	1372	318	4863	1077	2040	1345	454	5312	1108	2693	1245	366	4191	1131	1616	1283	151	4555	1097	1373	1667	276	4927	1447	1922	1257	283	4590	809	1800	1543	437	3777	942	1276	1226	335	3774	902	1365	1496	284	3026	717	1203	917	199	2706	703	951	646	405	2505	427	1019	1059	2079	1634
Chi phí quản lý doanh nghiệp###Managing Expenses	256	102	1965	354	763	526	166	1716	440	603	378	237	1548	279	655	350	166	1596	433	586	448	138	1508	428	530	494	199	1291	323	438	356	174	1411	377	457	414	163	1219	313	418	321	167	1134	306	302	526	191	1032	289	288	276	178	956	215	275	221	245	926	216	307	403	847	762
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	130	46	1673	105	962	422	182	1713	186	941	431	185	1759	121	1093	407	137	1894	252	931	568	145	2170	132	897	825	316	2348	256	1057	684	345	3307	351	1010	406	1531	2547	387	1111	817	231	2421	461	1014	934	136	2026	450	715	842	52	2102	388	854	785	75	2232	560	889	783	1120	872
Thu nhập khác###Other incomes	10	0	40	34	3	-2	6	37	3	2	0	3	13	1	2	1	9	8	2	1	5	0	12	1	3	2	1	253	242	6	3	2	19	1	4	3	11	39	8	5	6	1	13	2	0	11	1	132	4	96	31	1	76	16	7	1	24	24	7	13	3	28	0
Chi phí khác###Other Expenses	0	3	10	9	0	0	0	7	0	3	0	0	1	0	0	0	0	1	1	0	-5	5	67	23	21	10	12	108	62	23	12	11	89	29	12	35	14	117	36	52	15	14	105	34	44	27	13	88	39	15	24	10	106	10	28	9	31	33	7	26	0	14	0
Lợi nhuận khác###Other profits	10	-3	31	25	3	-2	5	30	2	-1	0	3	12	1	2	0	9	7	1	1	10	-5	-55	-23	-18	-8	-11	145	180	-17	-9	-10	-70	-28	-8	-32	-3	-77	-28	-47	-9	-12	-92	-32	-44	-16	-13	44	-35	82	7	-9	-30	6	-21	-8	-7	-9	1	-13	0	14	44
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	140	44	1703	130	965	420	188	1744	188	940	431	188	1771	121	1095	407	146	1901	253	931	579	140	2115	109	878	817	305	2493	436	1040	676	335	3237	324	1002	374	1528	2470	359	1064	808	218	2329	430	970	919	123	2070	415	797	849	43	2072	394	832	778	68	2223	560	875	787	1134	916
Chi phí thuế TNDN###Corporate Income Tax Expenses	25	12	340	30	190	80	41	353	42	188	82	41	358	29	218	78	31	387	54	189	116	28	501	31	220	182	67	586	110	246	155	74	734	88	206	0	0	524	0	0	0	58	482	0	258	198	34	532	111	203	216	10	371	71	152	136	12	316	83	122	110	159	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	25	12	340	30	190	80	41	353	42	188	82	41	358	29	218	78	31	387	54	189	116	28	501	31	220	182	67	586	110	246	155	74	734	88	206	89	382	524	-44	277	201	58	482	0	258	232	34	532	111	203	216	0	371	71	152	136	12	316	84	123	110	159	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	115	32	1363	100	775	341	147	1391	147	752	349	148	1413	93	878	329	115	1514	199	742	463	112	1613	79	658	635	238	1907	327	794	521	261	2503	236	795	285	1146	1946	403	787	607	160	1847	429	712	686	89	1538	304	593	633	33	1701	323	680	642	56	1906	477	753	676	975	916
---Cac Chi So Tai Chinh---																																																															
EBITDA	0.44	0.58	-0.11	-0.11	-0.54	0.31	0.22	0.06	0.06	-0.01	-0.36	-0.72	-0.26	-0.26	-0.08	0.42	0.43	0.31	0.31	0.31	0.34	0.28	0.28	0.28	0.20	-0.04	-0.08	0.17	0.17	0.34	0.37	0.60	0.23	0.23	0.32	0.16	0.09	0.42	0.42	0.42	0.49	0.76	0.64	0.64	0.37	0.33	0.27	0.09	0.09	0.45	0.44	0.34	0.36	0.36	0.26	0.27	0.16	1.36	1.36	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	12.50	21.60	44.50	44.50	49.00	49.00	49.00	37.11	37.11	25.41	11.51	11.51	10.55	10.55	10.95	11.38	11.82	11.71	11.71	9.71	10.43	9.63	9.95	9.95	10.57	9.43	10.45	9.14	9.14	9.07	8.27	8.47	6.75	6.75	5.96	5.85	4.64	3.52	3.52	4.44	3.60	4.64	2.32	2.32	2.66	2.28	3.80	3.54	3.54	3.80	4.27	3.93	4.65	4.65	4.29	4.02	5.15	4.51	4.51	0.00	0.00	0.00	0.00
