CAN DOI KE TOAN	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006
Chi phí khác###Other Expenses	0	2	0	0	0	2	178	0	38	0	0	230	0	50	0	0	3751	0	0	0	0	0	0	0	0	0	565	262	0	300	0	756	756	0	0	0	450	0	0	0	0	0	0	0	0	0	93	49	0	44	0	398	0	0	133	265	1441	556	214	196	47	183	183	0	1063
Lợi nhuận khác###Other profits	0	-2	0	0	0	-2	32	110	62	0	0	-229	0	-50	0	0	-3750	0	0	0	0	239	227	12	0	0	3795	300	103	3067	0	42	39	0	0	4	-450	0	0	0	0	0	0	0	0	0	373	209	89	75	0	1326	48	456	362	459	1442	1474	151	185	220	207	65	0	2
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	47	89	-230	144	37	139	-1729	-41	-354	110	233	329	118	349	46	195	-3637	-1394	358	454	189	1476	888	338	-356	526	211	-98	383	-143	56	3941	4381	-137	-161	693	11385	517	278	8678	2037	21367	2149	7255	7618	5061	25176	1295	12131	7437	5127	19898	12277	2837	2564	1153	8726	1958	2637	1653	3054	6433	3493	1310	1811
Chi phí thuế TNDN###Corporate Income Tax Expenses	9	18	0	29	7	28	0	0	-71	22	47	137	24	70	9	39	23	-200	72	87	42	325	195	74	-78	116	46	-19	84	-12	12	985	949	0	0	0	2812	0	0	0	509	4848	537	1814	1905	1265	6294	120	3033	1859	1282	3726	2579	497	449	202	1130	192	-290	462	854	887	632	0	254
Chi phí thuế TNDN###Corporate Income Tax Expenses	9	18	0	29	7	28	985	382	-71	333	338	1787	293	516	944	39	2549	-200	72	87	42	325	195	74	-78	116	46	-19	84	-12	12	985	949	0	-25	270	2812	302	49	2170	509	4848	537	1814	1905	0	6294	120	3033	1859	1282	3726	2579	497	449	202	1130	192	-290	463	855	887	633	74	254
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	-985	-382	0	-311	-291	-1650	-270	-446	-935	0	-2526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	38	71	-230	115	29	111	-1729	-41	-283	88	187	192	95	280	37	156	-3660	-1194	286	367	147	1151	692	263	-278	410	165	-80	298	-131	44	2955	3433	-137	-136	423	8573	215	229	6509	1527	16519	1611	5442	5714	5061	18882	1175	9098	5578	3845	16172	9698	2341	2115	951	7596	1766	2927	1190	2199	5546	2860	1236	1557
---Cac Chi So Tai Chinh---																																																																	
EBITDA	0.78	-0.38	-0.38	0.48	-0.41	0.36	0.52	0.52	0.50	0.87	0.34	1.01	1.01	0.85	1.15	-0.14	0.41	0.41	0.72	0.21	0.38	0.12	0.12	0.32	0.35	0.53	0.62	0.62	0.48	0.74	0.66	0.67	0.67	0.66	1.00	1.02	1.06	1.06	1.11	0.99	1.12	1.19	1.19	1.18	1.32	1.20	1.16	1.16	1.25	1.19	1.15	1.09	1.09	0.94	1.10	1.05	1.26	1.26	1.42	1.31	1.47	0.52	0.52	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	0.80	1.20	1.20	2.00	2.40	2.30	2.60	2.60	3.80	6.30	13.10	12.10	12.10	9.30	8.10	5.50	4.10	4.10	6.50	6.50	7.50	6.30	6.30	4.20	4.80	4.80	4.70	4.70	7.29	5.54	6.27	3.86	3.86	5.36	4.16	4.64	4.58	4.58	4.40	5.60	5.48	4.43	4.43	4.89	6.01	9.07	11.42	11.42	12.89	14.13	15.42	11.07	11.07	19.62	7.08	5.08	4.66	4.66	7.27	5.96	7.43	22.83	22.83	0.00	0.00
