CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Doanh thu hoạt động tài chính###Financial activities Revenues	2734	5495	14707	5000	4035	2078	3686	17898	4512	5580	1171	6936	21271	7091	4715	4711	4754	15593	5167	5261	2752	3630	131314	48416	64851	8062	3414	11387	2909	2753	3101	2651	44460	16764	14750	11535	3916	28000	11788	4867	4794	7980	58885	26296	4822	17587	3721	58878	19600	22265	13795	2363	27799	16500	2849	7306	832	77488	39677	22205	-26871	44573	93199	24542	26427	31752	14034	61454	40426	9476
Chi phí tài chính###Financial Expenses	27668	32389	138509	38497	34975	35377	29749	87739	28671	22351	15987	20980	107874	30666	24923	22563	29737	70893	21567	19534	15628	14471	54132	13159	12834	14161	13541	67565	14948	17425	16003	19038	84772	14172	23858	22455	24697	183127	47852	34785	46767	51873	145893	38997	35729	38747	29219	59282	23982	20119	3443	11083	25937	11151	6489	-3613	11554	202502	142201	24365	-20609	52741	29303	11216	6131	4534	5330	17748	10739	13072
Chi phí bán hàng###Selling Expenses	94997	131701	557277	159447	130819	139551	123238	458727	143246	106042	108456	101166	415118	107551	109157	114860	81898	326616	107577	83175	74532	62769	233223	75044	58204	51730	47095	187250	59785	47488	38211	41288	169500	49437	42681	39523	37844	171736	62366	52214	40844	44384	146918	43211	40558	28358	32814	100126	35917	27637	23075	19304	72187	24481	17116	14502	17255	61719	20986	14492	10538	11590	45101	17857	10142	8620	9530	36673	1372	38327
Chi phí quản lý doanh nghiệp###Managing Expenses	62428	76509	324687	85979	77953	79406	83455	289674	91025	68048	66276	64508	242352	76939	56565	56595	53625	210204	69870	50794	40712	48343	181800	64198	42006	27690	47610	165213	55385	41094	34892	34469	147306	40802	36394	33528	35174	150001	58672	31568	29525	33161	142145	47389	34240	30381	29495	90780	33272	19436	22229	15906	78616	28658	20349	17315	13233	49131	14032	12346	12926	12900	58934	22629	15977	10126	10588	41980	12436	32782
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-7987	-27126	134326	38470	12614	18249	65896	259407	102550	74859	46090	38212	-9368	-234	-15553	-10391	15240	140329	52873	29347	28850	29200	167816	43762	47792	48240	22020	100389	26157	20608	43212	8313	38569	9013	13723	12360	7121	-86107	-37890	-19214	-25286	16663	38988	9153	4898	7343	2765	84163	30672	16361	20912	7286	107825	31805	15056	48777	12356	-63368	-88124	10147	17708	2990	69251	13464	21005	31010	9793	31838	19080	4254
Thu nhập khác###Other incomes	21858	43854	144518	46122	42935	27690	30143	106523	31408	20795	19402	36932	186203	58561	43670	51906	34809	75032	26415	21750	16288	12627	44054	20151	14271	12148	10630	51237	17723	17575	7611	15966	50190	9845	9654	21200	9472	157673	64404	33122	48048	25449	84189	-55258	121587	9149	10668	26236	12936	1193	4458	7087	15007	6516	940	2477	4612	120415	110747	800	3065	862	17391	3598	1821	2733	1113	26277	428	37535
Chi phí khác###Other Expenses	-3471	5286	4059	2786	1470	2015	535	3619	1057	1522	427	4957	2848	435	1549	21	2471	3207	3789	1316	540	1408	6483	11963	1498	4652	1546	32978	6221	8291	19533	4345	8007	2311	1999	2682	1015	10070	5590	2117	3377	5221	5244	-81871	85822	1116	309	2666	544	132	364	960	11373	9691	295	484	845	5848	4467	286	1077	-1	3255	991	517	1609	81	9228	109	11130
Lợi nhuận khác###Other profits	25329	38568	140459	43336	41465	25674	29608	102905	30352	19273	18975	31976	183355	58126	42122	51886	32338	71825	22626	20433	15748	11219	37571	8187	12773	7496	9084	18259	11502	9284	-11922	11621	42183	7534	7655	18518	8456	147603	58815	31005	44671	20229	78946	26614	35766	8034	10359	23570	12393	1061	4093	6127	3634	-3176	645	1993	3766	114568	106281	514	1988	863	14136	2607	1304	1124	1032	17049	319	32304
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	17342	11442	274785	81806	54079	43923	95504	362312	132902	94132	65065	70187	173987	57892	26569	41495	47577	212154	75499	49780	44598	40419	205387	51949	60565	55736	31104	118648	37660	29892	31291	19934	84711	16372	22805	28767	18200	61496	24420	12591	18926	4713	117934	39504	41578	14955	15651	107733	47332	18965	23960	17171	125650	33391	19455	56760	16121	61866	21520	13557	22390	9509	83968	20399	24529	28791	10447	48887	19399	36557
Chi phí thuế TNDN###Corporate Income Tax Expenses	2020	2623	41453	10455	7422	8907	15042	62045	23038	16070	9867	13003	34931	13252	5865	7117	8467	38334	12886	7800	7837	8317	42110	14834	10128	10119	6883	30867	10393	6053	11891	3746	23591	8429	4723	0	0	14735	0	0	0	1732	36501	18699	6248	5090	6895	19080	7836	3390	4108	3663	25775	5406	4511	10682	6457	6573	12138	2421	7845	4949	10148	4946	2477	2591	1069	3036	0	3558
Chi phí thuế TNDN###Corporate Income Tax Expenses	2305	3628	44108	10455	7422	8907	15042	62969	23963	16070	9867	13003	34353	12674	5865	7104	8467	38919	13834	7800	7837	8317	40963	14155	10128	10119	6883	31908	10167	6053	11891	3746	21825	7105	4723	7050	5204	13588	6693	1383	1301	1732	29860	11633	6248	5090	6895	20020	9666	3390	3642	3663	23840	4827	4511	8110	6457	21143	8828	2564	5394	3145	9169	4218	2478	2591	1069	2143	0	3558
Chi phí thuế TNDN###Corporate Income Tax Expenses	-285	-1006	-2655	0	0	0	0	-924	-924	0	0	0	578	578	0	13	0	-585	-948	0	0	0	1147	680	0	0	0	-1041	226	0	0	0	1766	1324	0	0	0	1147	883	0	0	0	6642	7067	0	0	0	-940	-1830	0	466	0	1935	580	0	2572	0	-14570	3310	-144	-2453	-1805	979	-729	0	0	0	894	0	522
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	18967	7620	312997	94062	57825	49592	112720	427531	159178	110083	55199	83216	196478	58790	30621	49177	57659	224647	62613	41980	36761	32102	222691	37115	50437	45617	24221	123754	27267	23839	19400	16188	61120	7944	18083	21717	12997	46761	16843	11208	17625	1788	81432	20804	35331	9865	8756	88653	39496	15575	19852	13509	99874	27985	14944	46078	9664	55292	9382	11136	19448	8169	73820	16909	22051	26200	9378	45850	19399	33000
---Cac Chi So Tai Chinh---																																																																						
EBITDA	0.45	-0.01	0.33	0.33	0.24	0.33	0.10	0.07	0.07	0.19	0.09	0.34	0.31	0.31	-0.04	0.68	1.29	1.21	1.21	1.34	0.98	0.84	0.70	0.70	0.69	0.63	1.15	1.35	1.35	1.43	1.48	1.31	0.64	0.64	0.72	0.90	0.93	0.91	0.91	0.72	0.27	0.11	0.15	0.15	0.43	0.75	1.19	1.42	1.42	1.52	1.55	1.46	1.39	1.39	1.28	1.27	1.14	1.29	1.29	1.35	1.40	1.29	0.74	0.74	0.71	0.70	0.65	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	52.50	34.04	31.82	31.82	29.60	30.00	32.10	30.71	30.71	32.07	33.45	31.40	34.59	34.59	31.26	35.49	34.21	32.45	32.45	33.60	33.80	19.58	26.93	26.93	13.66	11.91	11.91	9.82	9.82	9.41	8.72	10.26	8.55	8.55	7.76	6.85	6.43	7.23	7.23	4.68	5.06	6.89	8.04	8.04	8.50	8.66	10.01	10.64	10.64	12.21	14.00	14.75	14.71	14.71	20.43	14.71	4.78	4.58	4.58	8.25	8.99	14.26	34.32	34.32	40.82	34.73	52.91	51.07	51.07	0.00
