CAN DOI KE TOAN	 2019	 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	 2005
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	2053	2005	335	361	404	-633	545	-43	535	-6946	-751	-623	-3799	-2198	-5404	-1370	-509	-2410	-757	-5155	-116	232	-2141	2	-905	436	381	-1848	57	3139	-119	1019	1212	947	4188	1076	1192	986	2122	4947	1471	1275	1122	1117	2488	2576	446	198	61	2299	-1272	837	1231	532	1662	-6	302	430	937	2558	281	2477
Thu nhập khác###Other incomes	0	2	0	0	31	9	0	0	23	347	21	327	0	0	171	70	46	55	0	818	399	418	0	0	1206	7	837	338	5	280	16	0	44	220	462	96	17	36	313	92	8	42	41	0	710	0	0	0	0	229	61	204	236	242	689	176	170	234	109	942	331	0
Chi phí khác###Other Expenses	3	15	0	0	34	3	16	15	0	170	8	26	31	105	394	348	30	15	1	568	42	294	232	0	172	12	6	64	60	317	45	69	78	125	159	49	32	27	51	104	24	27	28	24	132	51	32	25	24	761	54	105	246	307	307	113	41	91	61	306	89	0
Lợi nhuận khác###Other profits	-3	-13	0	0	-3	6	-16	-15	23	177	13	300	-31	-105	-223	-278	16	40	-1	251	357	124	-232	0	1035	-6	831	274	-54	-37	-28	-69	-34	95	303	47	-15	9	262	-13	-17	15	13	-24	578	-50	-32	-25	-24	-532	7	99	-10	-65	382	63	129	143	48	636	242	-143
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	2050	1993	335	361	401	-628	529	-58	558	-6768	-739	-323	-3830	-2303	-5627	-1648	-493	-2371	-758	-4905	242	356	-2372	3	129	431	1212	-1574	3	3103	-148	950	1178	1042	4491	1123	1177	995	2384	4934	1455	1290	1135	1093	3066	2525	413	174	37	1768	-1265	936	1221	467	2045	56	431	572	985	3194	523	2334
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	40	28	0	0	0	765	0	0	0	220	801	312	116	393	120	1163	777	133	146	132	839	674	35	49	0	326	-37	114	183	0	0	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	1	40	28	0	-1	1	765	151	66	208	220	801	312	116	108	120	1163	777	133	146	132	839	674	35	49	0	326	-37	114	183	0	0	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	2050	1993	335	361	401	-628	529	-58	558	-6768	-739	-323	-3830	-2303	-5627	-1648	-493	-2371	-758	-4905	242	356	-2372	2	89	402	1212	-1573	2	2337	-299	884	971	823	3691	810	1061	887	2264	3771	678	1158	989	961	2227	1851	378	125	37	1441	-1228	822	1038	467	2045	56	431	572	985	3194	523	1629
---Cac Chi So Tai Chinh---																																																														
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	26.00	19.20	7.60	24.90	17.80	17.80	9.30	20.90	20.90	20.90	20.90	17.70	16.20	14.30	14.30	14.30	13.90	12.70	14.30	12.00	12.00	11.50	11.40	12.00	12.00	12.00	17.20	16.00	16.91	8.65	8.65	11.92	16.91	16.31	15.95	15.95	16.40	15.49	12.22	16.35	16.35	12.05	11.96	9.61	11.99	11.99	9.85	10.02	8.38	12.37	12.37	12.13	11.72	13.47	22.12	22.12	19.54	21.39	30.97	21.70	21.70	0.00
