CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	 2006	 2005
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-7471	-30787	-40943	-12253	-7046	-11335	-10309	-64084	-8958	-18779	-18082	-18266	-84631	-22775	-19232	-20168	-22642	-122954	-46137	-28584	-27522	-20710	-134468	-24008	-48078	-28613	-26362	-118724	-21781	-24603	-46815	-35748	-179328	-53749	-28262	-81678	-15639	-76163	-35495	-27755	-12727	182	-16195	-1367	-17541	400	-788	-87785	3017	1896	-11668	286	-28496	-17621	-6978	-4026	317	-29852	-38236	2209	4435	2180	20149	5466	7626
Thu nhập khác###Other incomes	583	80	344	171	0	0	173	881	333	72	27	450	31183	62232	121	150	0	6356	1276	662	474	3944	5859	6082	26	42	685	2287	173	1633	245	236	3759	237	790	1784	948	7698	4901	1120	1258	418	21970	1042	19251	380	921	18363	16270	47	1522	197	49013	48523	448	27	15	51352	0	840	50539	27	46435	2032	98012
Chi phí khác###Other Expenses	215	0	391	185	37	0	169	99	3	80	1	16	34754	64021	137	50	1866	488	318	0	68	102	9820	16846	0	85	1273	1639	162	1084	296	97	911	252	227	326	107	355	42	8	158	147	994	422	349	136	71	4894	2647	208	1501	285	19394	15347	455	3592	0	7543	91	54	7211	3	14966	163	39734
Lợi nhuận khác###Other profits	368	80	-47	-14	-37	0	4	782	330	-8	26	434	-3571	-1789	-16	100	-1866	5867	957	662	405	3843	-3961	-10764	26	-43	-587	647	11	549	-51	139	2848	-15	563	1458	842	7343	4860	1112	1100	271	20976	620	18902	244	851	13470	13623	-162	21	-88	29619	33176	-7	-3565	15	43810	-91	785	43328	25	31469	1869	58277
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-7103	-30707	-40990	-12267	-7083	-11335	-10306	-63302	-8628	-18787	-18056	-17832	-88203	-24565	-19248	-20067	-24509	-117087	-45180	-27922	-27117	-16867	-138429	-34772	-48052	-28656	-26949	-118077	-21770	-24054	-46867	-35609	-176480	-53764	-27699	-80220	-14797	-68820	-30635	-26643	-11626	453	4781	-747	1361	644	63	-74316	16640	1734	-11647	198	1124	15556	-6985	-7591	332	13957	-38327	2995	47763	2204	51618	7334	65903
Chi phí thuế TNDN###Corporate Income Tax Expenses	81	80	309	59	90	81	80	279	91	84	38	67	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	321	4597	0	0	0	0	0	0	0	-25	25	408	122	0	0	41	0	0	0	0	0	1343	1738	18453
Chi phí thuế TNDN###Corporate Income Tax Expenses	81	80	309	59	90	81	80	279	91	84	38	67	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	0	0	0	321	4597	0	0	0	0	0	0	0	0	25	408	122	0	0	41	0	0	0	0	0	676	2406	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	667	-667	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-7107	-30707	-41001	-12277	-7082	-11336	-10306	-63320	-8458	-18694	-18093	-17834	-88223	-24565	-19248	-20067	-24509	-117087	-45180	-27922	-27117	-16867	-138429	-34772	-48052	-28656	-26949	-118077	-21770	-24054	-46867	-35609	-176480	-53764	-27699	-80220	-14797	-69141	-30635	-26643	-11626	132	184	-747	1361	644	63	-74316	16640	1734	-11647	173	715	15433	-6985	-7591	290	13957	-38327	2995	47763	2204	50275	5596	47450
---Cac Chi So Tai Chinh---																																																																	
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	0.40	0.70	0.90	0.90	0.50	0.90	1.20	0.90	0.90	1.10	1.10	0.70	0.70	0.70	0.90	1.10	2.00	1.90	1.90	1.60	0.80	1.30	1.40	1.40	1.40	1.20	1.90	2.20	2.20	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.70	0.90	0.90	1.40	3.00	3.10	2.40	2.40	4.20	5.00	7.10	6.40	6.40	8.00	11.40	12.80	11.25	11.25	15.64	10.33	7.57	10.24	10.24	19.00	0.00	0.00	0.00	0.00	0.00
