CAN DOI KE TOAN	 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	 2007	 2006
Chi phí tài chính###Financial Expenses	18372	16582	6226	2909	4168	3468	12001	3302	3107	3002	2489	8054	2515	1116	1991	1276	7519	1540	1226	3586	1301	8883	2209	1499	2995	2686	8922	5425	1422	1856	1390	9098	1848	1794	2873	2619	16306	3625	4795	5170	3086	8110	2350	1473	3278	896	4476	636	692	595	942	6412	1843	1836	4012	3779
Chi phí bán hàng###Selling Expenses	33287	24508	8033	7117	5298	4941	17187	6610	5027	2779	2659	5951	2663	1165	1098	1019	4198	1280	1075	106	1627	4905	886	1709	1535	1355	7472	1747	1803	2230	1669	6054	1732	1233	1718	1342	11872	1600	4012	2411	2083	9405	3816	1461	2563	2333	8254	3158	1939	1392	1765	4829	1049	1040	4795	4065
Chi phí quản lý doanh nghiệp###Managing Expenses	13309	16161	4542	3788	4481	3453	14105	4224	3124	4013	2780	10266	1563	2781	3450	2465	11936	3293	1760	4577	0	8135	1732	2173	4680	1661	8417	163	1813	5122	997	7232	1718	922	1962	1102	6809	1498	1309	2590	909	4788	125	1033	1773	1126	3563	1239	996	1087	766	5401	748	725	2370	1724
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	72238	48354	4639	8676	12566	19027	50499	5959	16768	12538	19126	19193	8622	2803	4364	1811	9498	5659	6204	906	3885	6484	1595	387	-1304	2864	5456	2187	2828	-2955	2646	7905	2918	634	2955	2888	7608	5768	583	5448	3025	15183	1336	13994	344	8048	23696	5203	8274	6919	4386	9111	1407	1386	8948	8901
Thu nhập khác###Other incomes	1005	297	110	151	63	41	260	1031	887	42	115	493	1746	20	109	41	623	406	409	271	132	3133	384	19	105	2597	742	591	172	43	62	832	286	47	312	166	1053	38	816	63	10	997	466	4860	19	10	36	5	15	4	11	3530	3199	42	722	414
Chi phí khác###Other Expenses	1772	1952	523	523	1097	129	1957	999	1164	218	1011	1370	1883	143	533	118	3459	1405	1097	379	3	4187	849	127	297	2785	1715	282	51	513	7	685	20	27	137	109	1577	312	708	199	5	71	-198	3199	5	0	28	11	0	16	2	2424	2106	54	604	373
Lợi nhuận khác###Other profits	-767	-1655	-413	-371	-1034	-87	-1697	32	-277	-176	-897	-877	-137	-123	-424	-77	-2836	-999	-688	-108	129	-1053	-465	-107	-192	-187	-973	309	121	-470	55	147	266	21	176	57	-524	-274	108	-136	5	925	664	1660	13	10	8	-5	15	-12	10	1107	1094	-11	118	41
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	71471	46699	4226	8305	11531	18940	48803	5991	16490	12362	18229	18315	8485	2680	3941	1734	6663	4660	5516	798	4014	5431	1130	279	-1496	2677	4483	2496	2949	-3425	2701	8052	3184	655	3131	2945	7084	5494	691	5312	3030	16108	2000	15655	357	8058	23704	5198	8289	6907	4396	10217	2501	1374	9066	8942
Chi phí thuế TNDN###Corporate Income Tax Expenses	7615	3688	822	434	1005	1312	3245	92	553	111	1964	3423	2580	772	573	552	2928	784	719	475	854	2507	1228	183	281	1079	2398	331	797	-72	0	598	0	0	0	697	1259	562	473	-107	759	4020	-88	2833	1852	253	4338	2086	1451	485	317	1247	670	242	1819	1790
Chi phí thuế TNDN###Corporate Income Tax Expenses	7130	4692	822	434	1884	1312	4644	92	553	733	1964	4420	2580	772	943	552	3757	784	719	459	854	2693	1251	183	283	1079	2464	331	797	40	715	722	600	138	-99	697	1259	562	473	-92	757	4564	-88	2833	1852	253	4338	2086	1451	1209	317	1247	670	242	1819	1790
Chi phí thuế TNDN###Corporate Income Tax Expenses	485	-1004	0	0	-879	0	-1399	0	0	-622	0	-997	0	0	-370	0	-829	0	0	16	0	-186	-22	0	-2	0	-66	0	0	-112	0	-124	0	0	-87	0	0	0	0	-15	0	-544	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	64515	44075	3404	7871	11612	17627	46911	5899	15937	12450	16265	15276	5906	1908	3367	1182	3963	3875	4797	323	3160	2774	-98	96	-1777	1598	2085	2165	2152	-3353	1985	7454	2584	517	3317	2248	5825	4932	217	5419	2272	12088	2088	12822	-1495	7805	19366	3111	6839	5699	4079	8970	1830	1132	7247	7152
---Cac Chi So Tai Chinh---																																																								
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	26.40	24.97	24.97	20.31	17.65	22.22	29.32	29.32	38.12	20.70	10.03	11.08	11.08	11.08	11.23	10.11	11.23	11.23	13.40	6.59	37.13	37.13	37.13	14.30	8.98	8.76	8.76	8.76	6.93	6.57	6.50	6.42	6.42	11.39	9.12	6.93	3.65	3.65	9.12	9.20	14.00	16.80	16.80	28.94	31.43	27.07	21.47	21.47	29.98	16.82	10.75	15.62	15.62	22.93	0.00	0.00
