CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	 2006	 2005
Chi phí khác###Other Expenses	1738	134426	1422	2142	4660	566	11172	50797	3490	969	2599	23620	842	2464	14639	3160	42800	26511	6574	8525	7055	31670	1905	1349	10618	4371	25098	4431	1880	3186	3638	28798	6327	4337	6577	3530	33901	5154	4460	3079	10909	25916	28002	1946	2732	31149	2743	135	314	117	445	1622	225	911	79	464	1731	679	153	809	90	462	28	40	132	261	139	296
Lợi nhuận khác###Other profits	56677	-113946	1918	-705	-4504	2219	145476	-24882	123902	146	-985	-14556	-63614	-1348	73462	-945	-603	-17612	-3321	-5582	9536	198320	-381	7038	75804	-2295	-17636	-2292	3182	-3987	-54	-7178	-2598	-1399	-292	-40	3821	766	201	2341	-198	1580	-924	1337	396	3667	2846	1022	482	1199	688	11023	2805	3481	4217	514	3311	1293	615	893	465	3950	-126	978	77	322	466	348
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	1125	-1002661	-382448	-177771	-319799	351	-804700	27504	-33025	-734636	2797	2470	22235	3253	17585	-16569	-442498	-145047	-398721	-1150697	-68056	-57030	78089	117330	134449	35397	84925	76226	36498	26478	2150	-4173	3718	1665	-20	1969	-697	-4056	14296	1178	3785	16995	29003	1932	15517	10821	59194	22949	20752	37219	6856	28939	14146	9395	5161	4581	23406	7445	2089	8658	13856	58304	27159	3367	14033	12919	15981	5058
Chi phí thuế TNDN###Corporate Income Tax Expenses	-575	-73	1408	0	383	0	0	0	15	0	0	125	-23	0	-33	157	0	-41	0	-10420	0	41116	7121	16182	27637	9332	17741	15672	3846	6491	1083	520	3307	549	-68	0	2206	0	0	0	605	5960	3265	275	935	351	3986	3382	346	823	542	4580	807	849	336	454	2112	1293	0	276	552	2274	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	1791	1408	0	383	0	0	0	15	0	0	125	-23	0	124	0	0	-41	0	-10409	0	35166	7108	16169	24961	9328	22157	15590	3736	6380	1083	1128	3307	545	795	661	2515	368	1902	848	605	6576	3265	275	2079	351	3986	3382	346	1057	542	4580	807	849	336	454	2112	1293	0	276	553	2274	5247	0	0	62	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	-575	-1864	0	0	0	0	0	0	0	0	0	0	0	0	-157	157	0	0	0	-11	0	5950	13	13	2676	3	-4416	82	109	111	0	-608	0	4	-863	20	-309	0	0	8	0	-617	0	0	-793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-884	-1108145	-445027	-185567	-326601	-1564	-894238	25951	-69559	-734636	5384	-6048	21481	-414	19197	-18787	-466416	-145006	-398721	-1140277	-68056	-87697	70969	101148	106812	26065	63748	60554	32653	19988	1067	-4693	410	1116	48	1288	-2902	-4424	12393	322	3180	11035	25738	1657	14231	10469	55209	19567	20406	36162	6314	24359	13338	8545	4825	4127	21295	6152	2089	8381	13303	56030	21912	3367	14033	12857	15981	5058
---Cac Chi So Tai Chinh---																																																																				
EBITDA	0.56	0.59	0.59	0.86	0.77	1.10	1.08	1.08	0.79	0.89	0.48	0.00	0.00	0.93	2.15	1.14	0.45	0.45	0.39	0.07	0.27	0.76	0.76	0.95	1.39	1.46	1.46	1.46	1.56	1.32	1.11	0.55	0.55	0.78	0.80	1.11	1.27	1.27	1.12	1.15	0.83	0.82	0.82	0.98	1.17	1.30	1.30	1.30	1.53	1.48	1.36	1.31	1.31	1.16	1.28	1.18	1.17	1.17	1.27	0.74	1.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	1.84	2.64	2.64	2.84	3.37	3.66	3.25	3.25	5.60	4.03	6.05	7.39	7.39	7.61	7.65	7.30	5.39	5.39	8.04	37.80	24.80	29.00	29.00	17.50	11.30	10.88	10.38	10.38	9.79	9.49	10.68	6.23	6.23	4.95	5.50	5.60	5.04	5.04	3.88	6.69	5.57	4.68	4.68	6.15	7.00	9.77	13.46	13.46	14.92	19.92	15.11	13.57	13.57	17.84	9.89	4.99	4.81	4.81	8.88	7.88	15.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00
