CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
KET QUA KINH DOANH	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Tổng doanh thu hoạt động kinh doanh###Gross Sale Revenues	20694236	19451061	64677907	18282088	15349519	15866326	15179973	56580424	14592380	14393503	14432747	13161794	46854826	12928386	12730448	10765212	10430779	33884892	10175571	8308847	8143555	7256919	27864558	7253822	6948322	7740367	5927284	25851816	6685697	5827401	6762401	6576317	19200234	6537147	4252701	4414508	3995878	17122074	4304016	4098756	4606242	4143971	18092906	4511616	4237566	4570212	4798560	14492718	4559899	3981283	3394596	2556940	8244252	2417867	2146848	2063387	1612249	8502113	1856335	1652031	2679863	2307630	5733717	1853138	1458574	1358978	1063133	1329748	909085
Các khoản giảm trừ doanh thu###Deduction revenues	272034	218353	1019714	306786	262488	233718	216722	743965	206170	205157	171808	160830	693134	183524	190456	153130	166025	601682	225071	166768	95305	114532	411626	132046	103122	92601	89348	326468	103975	80541	81133	60818	265942	76866	57853	69613	61609	295222	68493	76766	91714	58250	241010	79304	91618	60790	51053	225634	72648	65395	48754	38838	120857	35339	31148	33304	25467	137309	43142	37271	38758	21640	90783	31505	26065	26787	8411	10865	77
Doanh thu thuần###Net Sales	20422202	19232708	63658193	17975303	15087031	15632608	14963251	55836458	14386211	14188346	14260938	13000963	46161692	12744862	12539992	10612083	10264754	33283210	9950500	8142079	8048250	7142387	27452932	7121777	6845199	7647766	5837936	25525349	6581723	5746859	6681268	6515499	18934292	6460281	4194847	4344895	3934269	16826852	4235523	4021991	4514528	4085721	17851897	4432313	4145948	4509422	4747507	14267084	4487251	3915888	3345842	2518103	8123395	2382528	2115699	2030083	1586783	8364805	1813193	1614760	2641105	2285990	5642934	1821632	1432509	1332191	1054722	1318883	909008
Giá vốn hàng bán###Cost of goods sold	16716700	15469650	52472820	15139622	12385058	12605804	12342336	44165626	11825379	10925130	11379663	10035454	35536121	9554317	9708780	8423125	7801256	24532650	7311373	6025172	5476741	5711521	21858956	5816929	5284713	5948386	4821932	20338347	5547368	4417029	5248527	5125829	15650541	5368957	3537874	3509118	3242648	14341643	3529131	3481553	3831206	3539010	14979113	3861717	3580212	3704226	3758058	11808396	3674790	3280199	2798560	2054898	6147352	1875742	1576631	1547188	1139824	7106496	2005448	1304318	2061806	1732409	4676412	1477011	1195965	1101007	882428	1192355	893694
Lợi nhuận gộp###Gross profit	3705502	3763058	11185372	2835681	2701974	3026804	2620914	11670832	2560832	3263216	2881275	2965509	10625571	3190545	2831212	2188958	2463498	8750560	2639127	2116908	2571508	1430865	5593976	1304848	1560486	1699381	1016004	5187002	1034355	1329831	1432740	1389670	3283752	1091323	656973	835776	691621	2485209	706392	540438	683322	546711	2872784	570596	565736	805196	989448	2458688	812461	635689	547282	463205	1976043	506787	539069	482894	446958	1258309	-192254	310442	579299	553581	966522	344621	236544	231184	172294	126527	15313
Doanh thu hoạt động tài chính###Financial activities Revenues	395037	108980	471054	122444	138551	118366	91859	294408	71689	79985	79416	63318	186215	45836	34226	32303	73851	197181	45693	43254	55061	57974	248608	65772	62375	52535	73230	160288	34583	55707	32839	37122	276279	37681	34766	65861	136397	164625	26193	94968	40250	21987	329279	78881	52702	107650	114978	204711	70041	48280	50893	35498	131695	34223	22068	57338	18066	149815	62795	36800	33896	23418	25887	12958	3963	3308	2551	145	90
Chi phí tài chính###Financial Expenses	621298	823114	1181676	312174	328517	300320	240830	772317	206973	234345	159250	171749	555757	146369	151088	146558	111742	367987	100756	83193	94783	94054	566234	108250	232000	122728	108564	563834	157196	100106	168414	138196	528409	147051	105360	170070	97890	585024	102142	124847	186480	190407	1069831	284164	319078	225452	317007	693801	269984	198206	137353	88296	281066	109156	75053	33502	63324	170814	40663	29190	94701	13873	45264	9498	5192	10041	20857	41744	20637
Chi phí bán hàng###Selling Expenses	259293	257877	873334	184758	226510	269463	192602	676809	191711	188484	154666	143872	594708	175147	137312	217819	113072	489954	156849	136066	103942	93097	424150	112472	115665	95907	100037	366088	111146	100550	73658	80734	253653	106975	52430	28177	66072	274040	133747	54216	47946	38131	217417	47304	52185	71319	44297	179344	54194	49339	39195	36565	124506	45936	27584	25006	21488	106408	35169	19653	26493	21232	89006	33306	24136	18706	12477	2799	0
Chi phí quản lý doanh nghiệp###Managing Expenses	155261	153206	569006	191052	150483	105833	121634	444025	209630	51781	66201	114494	409038	176855	99812	59466	72905	404587	170078	83426	65181	93843	760823	420622	125472	101445	111243	607214	208832	116270	142131	139981	416175	289765	-67150	101209	90759	586966	311260	97144	94040	88406	401754	139107	90174	90989	84798	274509	86671	77103	59442	51277	196486	80883	46250	34506	27603	138460	40803	32315	40075	24025	106718	34582	22221	24725	23815	7693	10042
