CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	Q1 2006	 2005
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	56613	51344	194427	64884	44053	40880	44609	170603	48348	44133	38784	39338	145757	33460	36620	42694	32982	126777	46259	29096	24592	26830	119928	28446	22922	34152	33595	111168	24708	28150	28715	29204	98025	16289	26983	30094	26051	105099	16651	29805	28585	30059	111018	110980	28275	26814	26941	99297	22875	28633	25587	22218	83152	22486	23104	19372	18091	75128	19690	17845	18327	18911	62347	11107	17781	18644	13595	44306	12709	8385	13020	10427	29906
Thu nhập khác###Other incomes	2717	100	8178	245	6993	102	837	3419	1180	111	245	1884	1451	861	273	167	151	1600	1025	106	103	366	933	146	84	316	505	809	333	191	203	82	4149	1037	574	402	3042	2649	1410	517	579	143	4369	4369	972	678	1686	3428	364	376	275	2414	37139	35605	196	466	894	1001	338	49	504	110	4144	2742	456	66	53	4632	735	1109	59	39	2119
Chi phí khác###Other Expenses	31	51	176	82	3	47	44	252	36	64	30	124	649	-1206	486	629	741	1861	371	371	631	656	2182	443	462	421	975	1695	-2735	1399	1515	1516	6616	2732	1364	2767	1509	4113	1518	702	818	1075	4899	4885	320	1025	1524	4605	2454	475	1039	636	39763	36589	1990	385	803	5356	1629	1207	1425	1095	3260	1608	156	146	63	1824	1361	200	175	88	2018
Lợi nhuận khác###Other profits	2686	49	8002	163	6990	56	793	3167	1144	47	216	1760	802	2067	-213	-462	-590	-261	654	-265	-527	-291	-1249	-296	-378	-105	-470	-886	3068	-1208	-1313	-1433	-2468	-1694	-790	-2365	1533	-1464	-109	-185	-239	-932	-530	-516	652	-348	162	-1177	-2090	-100	-765	1778	-2623	-984	-1793	81	91	-4355	-1291	-1158	-921	-985	884	1134	300	-80	-10	2808	-626	909	-116	-49	101
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	59299	51393	202429	65047	51044	40936	45402	173769	49492	44180	38999	41098	146559	35527	36407	42233	32392	126516	46913	28831	24065	26539	118679	28150	22544	34047	33125	110282	27776	26942	27403	27771	95557	14594	26193	27729	27583	103635	16542	29621	28346	29126	110488	110464	28928	26466	27103	98121	20785	28533	24822	23996	80528	21501	21311	19452	18182	70773	18399	16687	17406	17926	63231	12241	18081	18563	13585	47114	12083	9294	12903	10378	30008
Chi phí thuế TNDN###Corporate Income Tax Expenses	11987	10279	40042	13111	9529	8322	9080	35086	10096	8836	7935	8220	29199	7092	7281	8346	6478	25357	9606	5766	4677	5308	25769	6450	4960	6893	7287	24503	5764	5699	6830	6110	34933	14755	6548	0	0	26022	0	0	0	7281	32882	15955	6002	5662	5519	17655	6983	883	4973	4819	14822	2223	6320	1945	1818	12507	2906	1734	1727	1814	8712	2404	1802	1856	1358	4838	1233	929	1290	1032	3515
Chi phí thuế TNDN###Corporate Income Tax Expenses	11987	10279	40042	13111	9529	8322	9080	35086	10096	8836	7935	8220	29199	7092	7281	8346	6478	25357	9606	5766	4677	5308	25769	6450	4960	6893	7287	24503	5764	5699	6830	6110	34933	14755	6548	7491	6897	26022	4454	7416	6870	7281	32882	33139	6002	2662	5519	17655	6985	883	4973	4819	14336	4101	6320	1945	1818	12240	2811	1734	1727	1815	8499	2757	1803	1856	1359	5804	1233	929	1290	1032	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	485	-1878	0	0	0	267	96	0	0	0	213	353	0	0	0	-966	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	47311	41114	162387	51936	41515	32614	36322	138683	39397	35344	31064	32878	117360	28434	29126	33886	25914	101159	37307	23065	19388	21231	92910	21700	17584	27154	25837	85779	22012	21243	20573	21661	60624	-161	19645	20238	20686	77614	12087	22205	21476	21845	77606	77325	22925	23804	21584	80466	13800	27650	19849	19177	65707	19278	14991	17507	16364	58266	15492	14953	15678	16111	54518	9131	16278	16707	12227	42276	10850	8364	11613	9346	26493
---Cac Chi So Tai Chinh---																																																																									
EBITDA	0.64	0.36	-0.10	-0.10	0.06	0.02	0.34	0.37	0.37	0.39	0.36	0.18	0.08	0.08	0.04	0.68	0.46	0.58	0.58	0.48	0.60	0.58	0.54	0.54	0.58	0.52	0.90	1.34	1.34	1.58	1.38	1.04	0.33	0.33	0.36	0.29	0.27	0.11	0.11	-0.03	-0.08	-0.17	-0.10	-0.10	0.16	0.26	0.59	0.69	0.69	0.61	0.60	0.68	0.67	0.67	0.66	0.62	0.55	0.69	0.69	0.80	0.90	0.79	0.53	0.53	0.45	0.49	0.56	0.23	0.23	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	46.29	34.74	39.32	39.32	40.96	38.75	41.68	47.90	47.90	40.90	41.29	43.09	45.14	45.14	42.76	43.10	40.69	34.05	34.05	37.51	26.02	26.27	20.83	20.83	23.83	25.27	23.87	21.55	21.55	21.91	18.56	20.85	12.44	12.44	11.49	11.04	10.75	11.10	11.10	11.11	10.83	9.93	10.14	10.14	11.79	10.74	11.60	15.21	15.21	12.95	13.49	15.23	18.00	18.00	17.04	13.00	10.18	15.68	15.68	18.56	20.01	24.37	37.97	37.97	32.29	23.75	22.80	17.27	17.27	0.00	0.00	0.00	0.00
