CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005
Giá vốn hàng bán###Cost of goods sold	767449	918704	3650652	1031995	983010	860412	775235	3025953	855085	706970	790264	673634	3085309	766523	686707	763345	868734	2220056	681331	520692	515064	502969	1857541	574312	451921	445855	385453	1354182	428875	349868	350344	225094	915143	215657	337305	178768	183413	638665	160016	172548	211273	94828	598852	145631	119886	129729	203494	649238	186726	158343	143151	155530	375006	119755	90114	100307	64829	255811	71406	60347	63209	59973	184641	49187	153174	0
Lợi nhuận gộp###Gross profit	359273	449280	1912111	531515	490205	533739	356652	1495643	451365	355611	396727	291939	1267215	343770	335571	325613	262260	991434	309373	246893	224200	210967	758624	206741	217168	191981	142734	709331	155629	312594	179068	62040	395639	93539	125082	102347	74672	325933	80813	83185	78865	83070	290842	109968	86212	63369	31406	161480	44154	34901	42486	35752	146349	32918	40622	44958	27852	115174	30358	29770	30075	27432	75429	19728	46550	0
Doanh thu hoạt động tài chính###Financial activities Revenues	7185	8496	26341	6650	6704	6154	6832	41397	6255	14474	12882	7786	54377	6109	12080	26917	9272	25934	6051	4975	933	13976	25512	4956	6054	7505	6998	31284	13403	11922	2824	3135	8284	1915	3409	2130	831	5973	1128	1747	1883	1216	63601	1626	6784	18103	37088	40326	19347	6357	6981	7610	16504	9500	3852	1425	1727	14397	4437	5676	2572	810	1258	412	447	0
Chi phí tài chính###Financial Expenses	12545	43869	68019	23523	22926	12255	9315	69868	18917	19786	18703	12461	48814	9163	11156	11059	17436	70953	27789	13245	13623	16297	169980	22399	60513	39444	47624	334076	22186	248574	39179	24137	174522	29277	70354	41859	33033	145627	30806	33506	47772	33543	141415	61453	30234	33072	16656	57431	19163	9767	18299	10013	33472	8617	7303	10321	7231	31785	10677	9121	5538	5039	26242	5615	31211	0
Chi phí bán hàng###Selling Expenses	28331	38050	154062	40128	43476	35096	35362	99926	26590	24616	27750	20970	95648	22830	26148	24892	21779	76844	21824	17110	16650	21260	76966	18556	23251	19083	16077	67651	16759	19803	19629	11459	56959	14220	15015	17292	10432	55356	14024	17586	14897	8848	37395	8945	9354	12972	6125	21313	5837	5108	5289	3994	16559	5549	4379	4591	2039	13189	3618	3630	3763	2425	7877	2367	6173	0
Chi phí quản lý doanh nghiệp###Managing Expenses	19495	18899	62394	18796	15630	15136	12832	46096	10743	10912	13001	11439	52200	14400	12061	12420	13319	59392	18560	15918	12196	12719	55524	13228	14953	13836	13506	88012	10610	19528	39658	18215	96085	35274	21659	20812	18341	73765	21854	16791	18539	16581	53145	19359	11483	12036	10267	30973	7963	7096	7385	7588	22002	6972	5173	6762	3095	13107	4197	3243	2941	2286	8871	2975	7402	0
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	306088	356959	1653977	455719	414878	477406	305975	1321150	401370	314771	350155	254854	1124930	303486	298286	303117	220041	814033	249736	205324	183727	175247	487391	159193	126955	127852	73391	250877	120781	37956	86425	12227	76357	16683	21463	24513	13697	54623	15257	17048	-460	25315	117988	21837	41925	23392	35447	95384	30538	19286	18494	21767	90821	21281	27619	24709	17213	71490	16304	19452	20406	18493	33697	9182	2211	-9718
Thu nhập khác###Other incomes	376	351	1448	361	390	415	282	1510	417	371	422	300	1179	348	194	353	284	870	268	204	215	183	827	-459	485	318	482	5503	1204	1530	116	2653	5164	3085	1477	495	107	6830	4354	363	1535	578	15437	3839	3359	2455	5784	33998	3212	3732	24331	2829	12065	6161	3053	302	2550	11072	2794	3141	2906	2247	9102	3470	3429	0
Chi phí khác###Other Expenses	1539	3709	2762	1534	587	359	282	4149	3162	373	318	296	1097	313	189	380	215	1141	59	1052	21	8	9004	64	262	8655	23	1419	1053	110	28	227	11128	2432	3781	4170	746	4326	2082	704	1014	527	1998	362	689	179	768	945	422	43	103	289	1109	1000	25	30	54	42	6	0	0	0	1651	81	17	0
Lợi nhuận khác###Other profits	-1164	-3358	-1314	-1173	-197	56	0	-2639	-2744	-2	105	3	82	34	5	-27	69	-271	209	-848	193	175	-8177	-523	224	-8336	459	4084	151	1420	88	2425	-5964	654	-2304	-3675	-639	2504	2272	-341	521	51	13439	3477	2671	2275	5016	33054	2790	3690	24228	2540	10956	5161	3027	272	2496	11030	2789	3141	2906	2247	7452	3389	3411	1755
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	304925	353601	1652663	454545	414681	477462	305975	1318511	398625	314769	350260	254857	1125012	303520	298291	303090	220111	813762	249945	204475	183920	175422	479214	158670	127178	119516	73850	261472	120932	39376	86513	14652	70680	17390	19618	20721	12952	57126	17278	15505	103	24241	131427	28212	39448	23417	48353	128437	33329	26378	45684	26418	100971	25635	30646	24981	19709	82514	19093	22593	23311	20740	41149	12571	5622	-7963
Chi phí thuế TNDN###Corporate Income Tax Expenses	48266	49315	242548	65355	64010	66929	46255	194967	65209	45421	48028	36308	3234	26494	31123	-98137	43755	137780	41681	34340	29532	32227	74580	24520	14200	27360	8501	49285	12454	26278	8857	1696	2413	-5660	10078	0	0	1068	0	0	0	3947	8558	1145	2781	-2463	7095	14259	6366	3452	2766	1813	7315	1397	2215	1679	2025	7892	1530	2259	4405	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	48035	52217	242548	65355	64010	66929	46255	194967	65209	45421	48028	36308	3234	26494	31123	-98999	44616	139608	43434	34393	29540	32240	74582	24521	14197	27364	8501	31057	0	10568	3422	2600	14635	7750	6320	2227	-1662	8212	-5625	5030	1083	7724	14445	7050	2781	-2481	7095	8380	201	3081	2728	1813	7231	1313	2215	1679	2025	8018	1530	2259	4405	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	230	-2902	0	0	0	0	0	0	0	0	0	0	0	0	0	861	-861	-1828	-1753	-54	-8	-13	-2	-1	3	-4	0	18228	12454	15711	5435	-904	-12222	-13410	3759	-3583	1012	-7144	3354	-1744	-4978	-3777	-5886	-5905	0	19	0	5879	5671	372	38	0	84	84	0	0	0	-126	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	256659	304286	1410115	389191	350671	410533	259720	1123544	333416	269347	302232	218549	1121778	277026	267168	401227	176356	675982	208263	170136	154388	143195	404633	134150	112978	92156	65349	212302	108478	13098	77656	12956	68268	23049	9539	22078	13602	56059	19548	12218	3999	20294	122868	27068	36667	25880	41258	114178	27457	22926	42918	24605	93656	24238	28431	23302	17684	74622	17563	20333	18906	20740	41149	12571	5622	-7963
---Cac Chi So Tai Chinh---																																																																		
EBITDA	1.17	1.23	0.69	0.69	0.95	0.71	1.09	1.08	1.08	0.91	1.03	0.33	0.46	0.46	0.92	0.94	1.63	1.75	1.75	1.60	1.45	0.96	0.95	0.95	1.03	1.47	2.01	1.88	1.88	2.00	1.85	1.55	1.19	1.19	0.92	0.92	0.70	1.09	1.09	1.09	1.20	1.25	0.91	0.91	0.93	0.56	0.58	0.55	0.55	0.53	0.77	0.86	0.98	0.98	1.06	1.05	1.17	1.17	1.17	1.15	1.26	1.13	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	61.20	53.00	68.26	68.26	100.00	57.23	58.58	62.36	62.36	87.36	70.41	117.57	103.26	103.26	90.62	61.22	55.80	42.40	42.40	43.17	29.93	20.55	16.71	16.71	8.83	7.27	6.28	5.56	5.56	5.90	2.58	3.50	2.49	2.49	1.66	1.59	1.66	1.90	1.90	1.64	2.40	2.49	1.68	1.68	2.20	3.22	2.96	2.84	2.84	3.76	3.96	4.33	4.68	4.68	4.47	3.82	2.06	1.81	1.81	2.79	1.60	2.21	4.67	4.67	0.00	0.00
