CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	 2006	 2005
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-1772	-2622	-61932	-28074	-141	-32041	-1676	1454	9345	-3736	-773	-3382	21313	6182	76	14844	210	1497	3103	309	464	-2352	2638	1883	-16818	391	289	2196	-557	-2245	3771	1313	14284	6718	617	5706	1244	5355	2152	1109	1792	218	1382	1233	-588	154	582	19776	19508	1630	618	1147	6891	4530	1545	556	237	1322	3967	726	1352	573	6156	1575	2744	3082
Thu nhập khác###Other incomes	0	0	0	0	0	0	0	67	17	0	0	283	73783	-7429	0	81483	2	313	276	3	7	1	324	58	19	126	145	3308	33	28	982	2	75	38	32	3	2	385	322	19	34	10	320	41	5	69	204	25	7	14	1	3	59	46	5	1	7	376	23	3	113	72	22	4	1658	0
Chi phí khác###Other Expenses	2	29	14	2	1	6	5	1001	601	369	-14	278	404	580	10	80	6	650	71	215	357	6	665	335	314	15	10	236	18	61	23	134	2821	2631	79	104	7	105	32	24	42	7	571	305	11	198	57	1422	80	1216	87	38	188	53	58	49	1	0	82	0	0	0	263	263	71	0
Lợi nhuận khác###Other profits	-2	-29	-14	-2	-1	-6	-5	-934	-584	-369	14	5	73379	-8009	-10	81402	-4	-337	205	-213	-351	-5	-341	-277	-295	111	135	3072	15	-33	958	-132	-2746	-2594	-46	-101	-4	281	290	-5	-7	3	-251	-263	-6	-129	147	-1397	-73	-1202	-87	-35	-129	-7	-53	-49	6	376	-59	3	113	72	-241	-259	1587	32
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-1773	-2651	-61947	-28076	-142	-32048	-1680	521	8761	-4105	-759	-3376	94692	-1826	66	96246	206	1160	3307	96	113	-2356	2297	1606	-17114	503	424	5574	-542	-2278	4730	1181	11538	4125	570	5604	1240	5636	2442	1104	1785	220	1130	970	-594	25	729	18379	19435	428	532	1111	6762	4523	1492	507	244	1698	3907	729	1465	645	5915	1315	4330	3113
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	443	443	0	0	0	19019	-285	13	19249	41	324	283	19	23	0	652	29	0	317	305	2284	592	310	1087	295	4000	2106	143	1442	0	1038	0	0	0	55	-15	-55	0	153	182	4760	542	180	133	278	1736	1179	393	108	52	1351	1280	324	211	96	1646	1238	1198	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	443	443	0	0	0	19019	-285	13	19249	41	324	283	19	23	0	652	29	0	317	305	2284	592	310	1087	295	3600	2106	143	1442	310	1038	193	276	466	55	385	-55	0	553	182	4760	542	180	133	278	1736	1179	393	108	52	207	1280	324	211	97	1646	1238	1198	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	-400	0	0	-400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-1773	-2651	-61947	-28076	-142	-32048	-1680	78	8318	-4105	-759	-3376	75673	-1542	53	76997	165	836	3025	77	90	-2356	1645	1578	-17114	185	118	-42	-1134	-2588	3642	886	7538	2018	428	4163	930	4599	2249	828	1319	165	1145	1025	-594	-129	547	13619	18894	248	399	833	5027	3344	1099	399	192	1491	2627	405	1254	548	4269	77	3133	2242
---Cac Chi So Tai Chinh---																																																																		
EBITDA	-0.15	-0.05	-0.22	-0.22	0.09	0.06	0.69	0.74	0.74	0.71	0.67	-0.08	0.31	0.31	1.05	1.85	1.42	0.49	0.49	-0.22	0.28	0.25	0.54	0.54	0.02	-0.43	-0.35	-0.15	-0.15	0.27	0.39	0.81	1.15	1.15	1.22	1.14	1.25	0.89	0.89	0.97	1.11	1.40	1.86	1.86	1.69	1.50	1.10	0.94	0.94	1.19	0.71	0.65	0.57	0.57	0.29	0.41	0.50	0.77	0.77	0.95	1.34	1.90	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	1.20	1.40	1.40	1.40	1.40	2.10	2.90	2.80	2.80	3.90	4.20	5.60	4.40	4.40	5.40	5.47	3.40	3.35	3.35	4.30	3.79	3.44	3.54	3.54	6.15	7.05	7.39	7.26	7.26	4.36	3.61	3.41	2.69	2.69	2.00	2.15	2.00	1.93	1.93	2.07	2.77	3.28	2.80	2.80	4.00	4.07	5.76	8.36	8.36	9.71	18.16	2.81	2.87	2.87	2.83	2.65	2.00	1.44	1.44	2.92	2.24	3.50	0.00	0.00	0.00	0.00
