CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	Q4 2006	Q3 2006	Q2 2006	 2005
Các khoản giảm trừ doanh thu###Deduction revenues	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Doanh thu thuần###Net Sales	5264	3303	30800	8949	8088	9892	3871	30974	6590	5335	7939	11110	47306	16437	9929	11548	9393	58098	14196	11817	20833	11252	50571	15955	14010	14195	6411	53293	11247	11684	21632	8731	54575	9562	18179	17340	9494	58172	16728	15197	16509	9738	82640	15564	16554	30877	19646	79207	20976	22622	23337	12272	74775	15633	20859	22462	15821	60207	14349	14265	13763	17830	41503	13326	28178	17749	6727	33242	7708	7403	7403	32895
Giá vốn hàng bán###Cost of goods sold	5116	2868	29061	8054	7504	9692	3810	26570	4913	4951	7132	9574	40445	13601	8496	11242	7106	48420	9741	9227	17469	9965	43612	14500	12221	12032	4910	43274	8311	9698	18399	6866	45631	7670	15929	14396	7597	43448	13233	11510	11634	6799	56072	9982	10667	21502	13923	50261	13861	14647	14523	7231	44402	8431	12526	13891	9554	31883	8083	7048	6091	10660	31450	10088	21834	13693	5046	26502	5781	5886	5886	26322
Lợi nhuận gộp###Gross profit	147	436	1739	895	583	200	61	4404	1677	384	806	1536	6861	2836	1432	306	2287	9678	4455	2590	3364	1287	6959	1455	1790	2163	1501	10019	2936	1986	3232	1865	8944	1892	2250	2944	1896	14724	3495	3687	4875	2939	26568	5582	5887	9375	5723	28945	7115	7975	8815	5041	30373	7202	8333	8571	6267	28325	6265	7217	7672	7170	10053	3238	6343	4057	1681	6740	1926	1518	1518	6574
Doanh thu hoạt động tài chính###Financial activities Revenues	610	46	1327	396	332	535	64	1413	536	107	683	87	1397	408	309	665	15	1252	746	-17	330	193	465	191	177	78	19	336	127	55	91	62	882	22	408	291	160	1317	428	170	315	425	2710	1343	103	936	537	2323	609	591	763	360	1412	641	310	339	123	745	376	205	94	71	380	347	33	10	1	4	0	1	1	19
Chi phí tài chính###Financial Expenses	11	28	75	16	24	22	13	553	205	24	35	32	158	23	37	48	50	629	55	55	395	92	177	150	143	-316	199	1420	334	270	501	314	2731	-197	241	2275	412	1962	673	360	531	420	1003	135	59	225	793	1425	-56	706	524	251	380	105	109	105	61	1454	195	-33	2187	249	1900	534	1366	950	471	1859	432	444	444	1501
Chi phí bán hàng###Selling Expenses	276	139	1092	345	279	332	136	1006	206	172	286	342	2249	741	464	635	408	2313	408	601	907	398	1763	529	495	492	247	1427	754	105	139	430	2364	580	675	690	419	2684	747	681	785	471	3495	1222	583	1008	682	4535	735	2157	812	831	3537	592	1392	744	809	4092	-8	943	1001	2156	2279	1147	1132	693	263	1421	153	414	414	1328
Chi phí quản lý doanh nghiệp###Managing Expenses	1312	802	5130	1194	1177	1626	1133	3930	725	1198	927	1079	3368	1335	696	410	926	6599	4264	1265	1847	1127	6038	1307	1529	1866	1337	6788	1876	1503	1999	1410	6080	1326	1218	2585	952	9756	2860	2213	2699	1984	10038	2521	2675	3544	1298	6754	1634	1713	1674	1732	6703	1485	1921	1587	1709	5045	-1255	1249	1952	1955	3170	1068	2102	1163	432	1888	518	434	434	1985
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	-841	-487	-3230	-265	-564	-1245	-1156	328	1077	-904	241	171	2483	1144	544	-124	918	1388	475	652	545	-136	-554	-341	-200	199	-262	719	98	164	684	-227	-1350	205	524	-2315	273	1639	-357	603	1175	490	14741	3048	2673	5534	3487	18554	5409	3990	6569	2586	21165	5661	5220	6474	3810	18479	7709	5262	2626	2881	3085	837	1776	1260	516	1576	823	226	226	1778
Thu nhập khác###Other incomes	57	24	185	71	59	36	20	132	44	27	36	26	545	418	1451	24	23	120	30	40	28	22	1529	961	19	-385	934	875	693	28	149	5	132	83	22	13	14	209	15	110	63	21	146	-462	522	64	23	92	37	8	32	14	115	78	10	9	17	552	18	24	16	494	270	193	77	65	10	2827	18	79	79	550
Chi phí khác###Other Expenses	277	167	1105	218	196	498	193	503	195	258	49	1	198	73	1395	-380	481	528	128	142	131	128	863	265	128	-260	730	862	128	161	379	195	2382	1664	0	206	512	1256	219	206	1103	0	38	-109	146	0	0	0	0	0	0	0	30	14	16	0	0	44	0	-29	30	44	67	24	43	42	0	0	0	0	0	97
Lợi nhuận khác###Other profits	-220	-143	-920	-147	-138	-462	-173	-371	-151	-231	-13	25	347	345	55	404	-458	-408	-98	-102	-102	-106	666	697	-109	-125	203	13	565	-132	-230	-189	-2249	-1581	22	-193	-498	-1047	-203	-96	-1041	21	108	-353	376	64	23	92	37	8	32	14	84	64	-6	9	17	508	18	54	-14	450	203	169	34	23	10	2827	0	79	79	453
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	-1061	-630	-4150	-412	-701	-1707	-1330	-43	926	-1136	228	196	2829	1489	600	281	460	980	377	550	443	-242	112	356	-309	74	-59	732	663	31	454	-417	-3599	-1376	547	-2508	-225	592	-560	507	134	511	14849	2694	3049	5598	3510	18646	5447	3998	6601	2601	21249	5724	5215	6483	3827	18987	7727	5315	2612	3331	3288	1006	1810	1283	526	4403	841	306	306	2232
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	97	148	-97	58	39	624	321	125	69	110	256	104	136	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	128	2624	-440	762	1399	878	2645	780	575	965	325	2851	729	652	810	478	2674	957	744	365	0	464	0	73	179	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	97	148	-97	58	39	624	321	125	69	110	256	104	136	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	-153	127	51	128	2624	-440	762	1399	878	2645	780	575	965	325	2851	729	652	810	478	2713	957	744	366	466	425	145	253	180	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-39	0	0	0	0	39	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	-1061	-630	-4150	-412	-701	-1707	-1330	-140	778	-1038	170	157	2206	1168	475	212	351	723	273	414	396	-242	112	356	-309	74	-59	732	663	31	454	-417	-3599	-1376	547	-2508	-225	476	-407	380	83	383	12225	3135	2287	4198	2633	16001	4666	3423	5636	2276	18398	4996	4563	5673	3349	16312	6770	4571	2247	2865	2823	861	1557	1104	526	4403	841	306	306	2232
---Cac Chi So Tai Chinh---																																																																								
EBITDA	-0.11	0.22	2.06	2.06	0.77	0.68	0.36	0.07	0.07	0.27	0.17	0.59	0.69	0.69	0.21	0.37	-0.50	-0.32	-0.32	-0.18	-0.08	0.06	0.03	0.03	0.21	0.50	0.38	0.72	0.72	0.79	0.75	0.99	1.12	1.12	0.34	0.24	0.25	0.14	0.14	0.31	0.26	0.53	0.60	0.60	0.48	0.51	0.44	0.44	0.44	0.71	0.86	0.99	1.01	1.01	1.07	1.02	1.00	0.94	0.94	0.90	0.87	0.82	-0.06	-0.06	-0.13	-0.15	-0.17	-0.20	-0.20	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	28.50	32.00	32.00	32.00	16.90	24.60	18.70	14.50	14.50	15.30	11.70	14.00	13.50	13.50	15.80	13.70	11.50	11.80	11.80	10.20	10.60	9.50	8.20	8.20	7.60	8.70	8.30	9.00	9.00	10.10	9.80	13.00	11.40	11.40	10.00	10.00	12.00	11.60	11.60	13.70	16.00	15.71	13.72	13.72	17.52	20.32	24.47	26.80	26.80	27.96	32.68	38.33	37.57	37.57	36.29	25.63	14.84	13.96	13.96	20.83	8.37	9.30	15.17	15.17	10.98	8.99	14.71	5.81	5.81	8.32	0.00	0.00
