CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	 2008	 2007
Thu nhập khác###Other incomes	40	38	276	0	0	0	275	627	5	6	3	613	1503	710	115	25	653	767	92	45	41	590	322	47	65	89	121	146	44	0	101	0	77	0	0	58	19	4784	419	33	4280	51	9466	51	0	9414	0	608	6792	0	608	0	69	54	0
Chi phí khác###Other Expenses	26	350	275	159	43	42	31	399	298	29	17	55	449	18	80	86	265	519	75	13	75	355	7167	98	117	77	127	358	84	105	0	144	28	14	0	9	5	600	269	5	248	79	232	222	0	2	7	655	82	1	572	0	65	0	0
Lợi nhuận khác###Other profits	15	-312	1	-159	-43	-41	244	228	-294	-23	-14	558	1053	692	35	-61	388	248	16	32	-34	234	-6845	-51	-52	12	-6	-212	-39	-105	101	-144	48	-14	0	49	14	4183	150	29	4033	-28	9234	-171	0	9412	-7	-47	6709	-1	36	0	4	54	0
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	3004	3287	-2079	1135	1247	-3700	13112	134	2696	1020	1469	4021	11622	3595	2024	3882	2120	11887	2297	11406	789	1623	-8935	-3965	61	-7935	1490	-24986	-1343	134	69	42	-5816	6820	45	-15572	57	187	46	54	63	23	13432	-16440	2540	18947	1808	51399	9002	9972	26423	5075	65911	87770	5911
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2236	-4162	543	3995	336	12076	1685	2670	6431	1286	11622	23287	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2236	-4162	543	3995	336	12076	1685	2670	6431	1286	11622	23287	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	3004	3287	-2079	1135	1247	-3700	13112	134	2696	1020	1469	4021	11622	3595	2024	3882	2120	11887	2297	11406	789	1623	-8935	-3965	61	-7935	1490	-24986	-1343	134	69	42	-5816	6820	45	-15572	57	187	46	54	63	23	11196	-12278	1997	14952	1472	39323	7316	7302	19992	3789	54288	64483	5911
---Cac Chi So Tai Chinh---																																																							
EBITDA	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	10.60	7.50	7.80	7.80	5.00	6.20	7.90	3.10	3.10	2.90	2.30	3.90	2.30	2.30	2.50	2.40	2.10	2.00	2.00	1.70	2.00	2.00	2.60	2.60	2.50	3.20	3.20	4.00	4.00	4.80	4.00	5.60	3.60	3.60	2.30	2.90	3.40	3.30	3.30	3.00	4.60	5.10	3.60	3.60	6.70	4.27	5.90	9.72	9.72	0.00	0.00	0.00	0.00	0.00	0.00
