CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006
Lợi nhuận thuần từ hoạt động kinh doanh###Net Profit from Operating activities	59105	13911	72496	63317	-1272	8542	2331	-33264	30659	-10361	-6541	-47218	-222552	-207416	1132	-34886	6794	-67395	-24314	-13798	-9785	-19859	-3362	-8962	832	3564	4142	-6463	-14294	4012	3681	138	-1934	-2590	-898	673	811	-3231	-6848	659	3126	-169	32040	-2724	3077	17019	14797	51231	19186	6090	6059	17783	68195	20459	24015	14370	9321	57948	8089	12726	14706	14707	46180	24436	7728	850	13166	25085
Thu nhập khác###Other incomes	164	40	14212	444	8302	5431	35	42422	7225	22992	12276	6709	15630	2901	2171	8738	1820	15428	2750	2897	6790	2990	25103	13366	4124	5120	2182	50982	35012	3971	7432	4566	24585	8584	6696	9540	1765	20707	12709	2005	3230	2763	96525	82122	8499	3149	2756	44393	6075	22200	12127	3964	23971	7649	3181	8969	4172	15313	8678	3981	5189	4665	23411	5002	10584	5756	2068	8031
Chi phí khác###Other Expenses	10929	904	13140	1237	1614	3483	990	5792	493	7364	983	3050	46911	10076	1975	9248	1669	19697	2201	2058	3524	2829	16612	7694	2826	3603	2355	24846	8182	5562	8141	2961	13703	3118	3975	5240	1245	10041	2612	2550	2955	1924	90647	76757	8175	3195	2521	21448	2657	11164	5581	2014	8919	827	841	5445	1807	6293	4041	447	996	809	6824	1120	3300	1707	697	4340
Lợi nhuận khác###Other profits	-10765	-864	1071	-793	6688	1948	-955	36630	6732	15627	11294	3659	-31282	-7175	196	-510	151	-4269	550	839	3266	161	8491	5673	1297	1517	-173	26136	26830	-1591	-708	1604	10881	5465	2721	4300	521	10666	10096	-545	276	840	5878	5365	324	-46	235	22945	3419	11036	6546	1950	15052	6822	2341	3524	2365	9020	4637	3534	4193	3856	16587	3882	7284	4049	1371	3691
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	48341	13047	73567	62524	5416	10490	1376	3366	37391	5267	4753	-43559	-253833	-214591	1328	-35397	6945	-71664	-23765	-12958	-6518	-19698	5129	-3290	2129	5080	3968	19672	12536	2421	2972	1742	8948	4456	476	5175	896	7435	3248	114	3402	671	37918	2641	3401	16973	15031	74176	22604	17183	12634	19768	83744	27110	26805	17897	11903	67586	13111	16337	18964	18755	63144	28695	15012	4899	14538	29277
Chi phí thuế TNDN###Corporate Income Tax Expenses	7	2	25	2	7	39	7	2754	1276	5	1685	9	12	12	-1443	-1443	1443	770	254	144	373	0	2379	474	396	1182	807	7185	5748	460	712	265	3008	1563	401	0	0	3505	0	0	0	566	10283	1275	1624	4035	3646	16082	5675	3985	2842	3077	12690	6614	3263	2226	1996	12902	3892	2826	1980	3259	10840	5681	0	0	0	527
Chi phí thuế TNDN###Corporate Income Tax Expenses	7	2	25	2	7	39	7	2754	1276	5	1685	9	12	12	-1443	-1443	1443	770	254	144	373	0	2027	494	30	1169	793	7065	5297	436	1084	249	3522	1563	401	1232	327	3505	1390	489	1060	566	10283	1275	1624	4035	3646	16082	5268	3985	2842	3077	12690	6614	3263	2226	1996	12902	3892	2902	1981	3259	10840	5682	671	0	0	527
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	352	-20	367	13	14	119	451	24	-373	16	-514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	48346	13049	73583	62524	5421	10465	1381	649	36151	5279	3068	-43554	-253830	-214566	2825	-33896	5368	-71485	-24045	-13102	-6891	-19698	3335	-3763	1733	3898	3161	13546	6788	1961	2261	1477	6747	2894	75	3943	569	3930	1858	-375	2342	105	27636	1366	1777	12938	11385	58093	17336	13198	9792	16691	71054	20496	23542	15670	9907	54684	9220	13434	16984	15495	52304	23014	14341	4899	14538	28751
---Cac Chi So Tai Chinh---																																																																				
EBITDA	1.52	1.37	-0.01	-0.01	0.09	0.40	0.51	0.31	0.31	0.34	0.18	-0.29	-0.01	-0.01	-1.41	-1.09	-0.31	-0.58	-0.58	-0.46	0.37	0.39	0.68	0.68	0.53	0.07	0.20	0.42	0.42	0.62	0.57	0.81	0.23	0.23	0.33	0.47	0.81	0.96	0.96	1.00	1.19	0.85	0.60	0.60	0.72	0.73	0.98	1.17	1.17	1.19	1.12	0.97	0.92	0.92	0.90	0.92	1.00	1.04	1.04	1.09	1.25	1.24	0.00	0.00	0.00	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	2.90	2.20	2.40	2.40	2.40	3.60	3.60	3.90	3.90	3.40	4.00	4.20	3.50	3.50	4.20	4.50	3.40	4.80	4.80	5.50	5.60	7.40	5.60	5.60	6.00	7.10	8.20	7.60	7.60	5.95	5.77	6.96	4.94	4.94	4.76	4.58	4.76	4.77	4.77	5.47	6.42	5.99	5.56	5.56	8.03	9.04	12.87	15.73	15.73	16.36	20.14	19.21	19.33	19.33	19.93	11.54	9.11	8.85	8.85	13.00	9.23	12.69	0.00	0.00	0.00	0.00	0.00	0.00
